year,economy_code,economy,labour,efficiency
1990,01_AUS,Australia,17004.135,12.147905529296125
1991,01_AUS,Australia,17248.461,11.821306167093887
1992,01_AUS,Australia,17457.924,11.87888488519565
1993,01_AUS,Australia,17640.653,12.3665232879977
1994,01_AUS,Australia,17805.169,12.837008394353541
1995,01_AUS,Australia,17989.698,13.309678789067211
1996,01_AUS,Australia,18200.991,13.772434002648183
1997,01_AUS,Australia,18409.624,14.304291550449708
1998,01_AUS,Australia,18600.201,15.017419737467103
1999,01_AUS,Australia,18803.233,15.683455108904564
2000,01_AUS,Australia,19016.729,16.093558620828155
2001,01_AUS,Australia,19248.213,16.37290360824898
2002,01_AUS,Australia,19482.653,16.823460566690567
2003,01_AUS,Australia,19708.057,17.258573664881563
2004,01_AUS,Australia,19930.852,17.78202997926111
2005,01_AUS,Australia,20162.502,18.061823596878718
2006,01_AUS,Australia,20426.478,18.378383847054614
2007,01_AUS,Australia,20754.641,18.784431815470914
2008,01_AUS,Australia,21154.456,18.93154971990272
2009,01_AUS,Australia,21586.721,18.812419341998016
2010,01_AUS,Australia,21979.301,18.8131989921576
2011,01_AUS,Australia,22303.86,19.04029168402632
2012,01_AUS,Australia,22655.69,19.388434928891407
2013,01_AUS,Australia,23049.598,19.511140511001003
2014,01_AUS,Australia,23422.943,19.64856238875188
2015,01_AUS,Australia,23768.258,19.848967018318724
2016,01_AUS,Australia,24127.746,20.11380561556084
2017,01_AUS,Australia,24532.18,20.316461557051316
2018,01_AUS,Australia,24929.897,20.57988054651488
2019,01_AUS,Australia,25309.514,20.446751874538123
2020,01_AUS,Australia,25655.914,20.163960067423126
2021,01_AUS,Australia,25831.668,20.698075087072123
2022,01_AUS,Australia,26081.167,21.540735317169336
2023,01_AUS,Australia,26320.802,21.980568399153906
2024,01_AUS,Australia,26581.446,22.063960959073977
2025,01_AUS,Australia,26798.519,22.180776555753813
2026,01_AUS,Australia,27010.34,22.47531957960513
2027,01_AUS,Australia,27212.229,22.77363121163996
2028,01_AUS,Australia,27412.646,23.08318390616249
2029,01_AUS,Australia,27609.736,23.398391082967695
2030,01_AUS,Australia,27769.555,23.717902499808133
2031,01_AUS,Australia,27928.287,24.059826416742087
2032,01_AUS,Australia,28083.167,24.377633817804757
2033,01_AUS,Australia,28231.874,24.6996391520703
2034,01_AUS,Australia,28377.807,25.03895760757614
2035,01_AUS,Australia,28503.384,25.382937548763532
2036,01_AUS,Australia,28629.925,25.731643014143813
2037,01_AUS,Australia,28754.824,26.085138921975936
2038,01_AUS,Australia,28870.995,26.443491082352267
2039,01_AUS,Australia,28990.972,26.806766209450394
2040,01_AUS,Australia,29103.32,27.175031933953274
2041,01_AUS,Australia,29218.759,27.548356815639977
2042,01_AUS,Australia,29336.903,27.926810356149424
