year,economy_code,economy,labour,efficiency
1990,02_BD,Brunei Darussalam,251.663,51.49955444794638
1991,02_BD,Brunei Darussalam,258.922,51.11563831662681
1992,02_BD,Brunei Darussalam,266.271,47.95440524386286
1993,02_BD,Brunei Darussalam,273.408,44.46776506369906
1994,02_BD,Brunei Darussalam,280.535,43.287868520063526
1995,02_BD,Brunei Darussalam,287.648,42.552499824290805
1996,02_BD,Brunei Darussalam,294.743,38.88472404779899
1997,02_BD,Brunei Darussalam,301.808,38.70527630504805
1998,02_BD,Brunei Darussalam,308.875,34.420753087743826
1999,02_BD,Brunei Darussalam,315.896,35.46827078733657
2000,02_BD,Brunei Darussalam,322.927,36.70231555208264
2001,02_BD,Brunei Darussalam,329.921,37.08609698493559
2002,02_BD,Brunei Darussalam,336.769,38.12618882421259
2003,02_BD,Brunei Darussalam,343.429,39.2743062369245
2004,02_BD,Brunei Darussalam,349.845,38.477783969277695
2005,02_BD,Brunei Darussalam,355.976,37.651289046501574
2006,02_BD,Brunei Darussalam,361.855,39.37686151497424
2007,02_BD,Brunei Darussalam,367.47,36.70996745230156
2008,02_BD,Brunei Darussalam,374.275,33.45127936710738
2009,02_BD,Brunei Darussalam,381.311,31.191709525598778
2010,02_BD,Brunei Darussalam,388.594,31.453206568716954
2011,02_BD,Brunei Darussalam,396.07,31.74655755830188
2012,02_BD,Brunei Darussalam,402.707,30.235975382705
2013,02_BD,Brunei Darussalam,408.406,27.3449114729343
2014,02_BD,Brunei Darussalam,413.998,25.30219122967436
2015,02_BD,Brunei Darussalam,419.503,24.209054925550156
2016,02_BD,Brunei Darussalam,424.92,22.53176621906665
2017,02_BD,Brunei Darussalam,430.208,22.301840449061984
2018,02_BD,Brunei Darussalam,435.336,21.367756514770438
2019,02_BD,Brunei Darussalam,440.283,21.918611360534946
2020,02_BD,Brunei Darussalam,445.077,21.66126041923138
2021,02_BD,Brunei Darussalam,449.73,20.62486346996215
2022,02_BD,Brunei Darussalam,453.711,19.678986758685237
2023,02_BD,Brunei Darussalam,457.028,19.722441250563005
2024,02_BD,Brunei Darussalam,460.869,20.35066349095485
2025,02_BD,Brunei Darussalam,463.69,20.362285360651416
2026,02_BD,Brunei Darussalam,466.324,20.162432705115805
2027,02_BD,Brunei Darussalam,468.826,20.117900260134498
2028,02_BD,Brunei Darussalam,471.344,20.24910473093292
2029,02_BD,Brunei Darussalam,473.647,20.398634238011883
2030,02_BD,Brunei Darussalam,475.233,20.449442461335817
2031,02_BD,Brunei Darussalam,476.821,20.50822853490431
2032,02_BD,Brunei Darussalam,478.259,20.619231627195393
2033,02_BD,Brunei Darussalam,479.398,20.762264591904177
2034,02_BD,Brunei Darussalam,480.554,20.9080134168181
2035,02_BD,Brunei Darussalam,481.324,21.053260732062785
2036,02_BD,Brunei Darussalam,482.046,21.218280595684178
2037,02_BD,Brunei Darussalam,482.567,21.40565733332955
2038,02_BD,Brunei Darussalam,483.068,21.609322961843116
2039,02_BD,Brunei Darussalam,483.736,21.8260668448962
2040,02_BD,Brunei Darussalam,484.095,22.058124942448625
2041,02_BD,Brunei Darussalam,484.289,22.308907971538588
2042,02_BD,Brunei Darussalam,484.492,22.57829666865386
2043,02_BD,Brunei Darussalam,484.502,22.865589288932398
2044,02_BD,Brunei Darussalam,484.382,23.17121589343778
2045,02_BD,Brunei Darussalam,484.143,23.48092757181557
2046,02_BD,Brunei Darussalam,484.001,23.794778926081097
2047,02_BD,Brunei Darussalam,483.575,24.112825288072493
2048,02_BD,Brunei Darussalam,483.051,24.43512272920567
2049,02_BD,Brunei Darussalam,482.423,24.761728070359684
2050,02_BD,Brunei Darussalam,481.659,25.092698891894237
2051,02_BD,Brunei Darussalam,480.738,25.428093543801047
2052,02_BD,Brunei Darussalam,479.647,25.76797115599094
2053,02_BD,Brunei Darussalam,478.257,26.11239164871841
2054,02_BD,Brunei Darussalam,476.678,26.461415743145547
2055,02_BD,Brunei Darussalam,475.036,26.81510497204713
2056,02_BD,Brunei Darussalam,473.168,27.173521690658838
2057,02_BD,Brunei Darussalam,471.232,27.536729087670434
2058,02_BD,Brunei Darussalam,469.06,27.904791196365913
2059,02_BD,Brunei Darussalam,466.756,28.277772905912535
2060,02_BD,Brunei Darussalam,464.378,28.655739972800745
2061,02_BD,Brunei Darussalam,461.91,29.03875903243702
2062,02_BD,Brunei Darussalam,459.324,29.426897610891654
2063,02_BD,Brunei Darussalam,456.714,29.820224136803564
2064,02_BD,Brunei Darussalam,453.868,30.218807953444234
2065,02_BD,Brunei Darussalam,450.857,30.622719330942896
2066,02_BD,Brunei Darussalam,447.694,31.032029478675124
