year,economy_code,economy,labour,efficiency
1990,03_CDA,Canada,27593.691,16.162924091620617
1991,03_CDA,Canada,27985.194,15.088975388181655
1992,03_CDA,Canada,28329.121,14.875241726627804
1993,03_CDA,Canada,28670.998,15.12083300258307
1994,03_CDA,Canada,28990.276,15.818154275728336
1995,03_CDA,Canada,29304.487,16.110327696605335
1996,03_CDA,Canada,29613.776,16.131861713402238
1997,03_CDA,Canada,29920.635,16.788883694132334
1998,03_CDA,Canada,30197.543,17.390317245508072
1999,03_CDA,Canada,30462.396,18.38573734995643
2000,03_CDA,Canada,30736.515,19.43428351461086
2001,03_CDA,Canada,31047.091,19.456642665646847
2002,03_CDA,Canada,31380.063,19.846906070734672
2003,03_CDA,Canada,31691.092,19.85247521607421
2004,03_CDA,Canada,31981.872,20.25055399014253
2005,03_CDA,Canada,32283.483,20.64619619484011
2006,03_CDA,Canada,32596.863,20.83427736446425
2007,03_CDA,Canada,32921.479,20.83491967831812
2008,03_CDA,Canada,33262.864,20.49384285838229
2009,03_CDA,Canada,33635.306,18.981210237500196
2010,03_CDA,Canada,34017.435,19.358390176348863
2011,03_CDA,Canada,34376.362,19.75880248555158
2012,03_CDA,Canada,34734.543,19.70443769382827
2013,03_CDA,Canada,35110.489,19.840001621598223
2014,03_CDA,Canada,35476.376,20.165071135674314
2015,03_CDA,Canada,35792.151,19.85466982898912
2016,03_CDA,Canada,36132.317,19.714813529262603
2017,03_CDA,Canada,36574.369,20.157279708200427
2018,03_CDA,Canada,37042.624,20.49636488237586
2019,03_CDA,Canada,37547.386,20.551943173772575
2020,03_CDA,Canada,38018.483,18.37598764893015
2021,03_CDA,Canada,38325.321,19.669915424146293
2022,03_CDA,Canada,38582.793,20.671515191955127
2023,03_CDA,Canada,39059.725,20.724684651577938
2024,03_CDA,Canada,39538.484,20.892683108366718
2025,03_CDA,Canada,39879.397,21.075061163125106
2026,03_CDA,Canada,40172.613,21.264313224529072
2027,03_CDA,Canada,40426.085,21.48933848711947
2028,03_CDA,Canada,40665.711,21.691256444533142
2029,03_CDA,Canada,40896.31,21.878964215015667
2030,03_CDA,Canada,41069.64,22.081296811166844
2031,03_CDA,Canada,41236.01,22.45138344946557
2032,03_CDA,Canada,41396.736,22.82767280860169
2033,03_CDA,Canada,41543.345,23.101120448555672
2034,03_CDA,Canada,41670.313,23.3995741104032
2035,03_CDA,Canada,41773.987,23.713146414962804
2036,03_CDA,Canada,41854.313,24.041998404734517
2037,03_CDA,Canada,41938.761,24.37541088720865
2038,03_CDA,Canada,42017.786,24.713447106927834
2039,03_CDA,Canada,42090.838,25.0561711855049
2040,03_CDA,Canada,42150.573,25.40364813378599
2041,03_CDA,Canada,42200.76,25.755943864182385
2042,03_CDA,Canada,42249.271,26.113125203173336
2043,03_CDA,Canada,42294.462,26.475259903982288
2044,03_CDA,Canada,42333.061,26.84241665942888
2045,03_CDA,Canada,42368.924,27.214665114959214
2046,03_CDA,Canada,42406.358,27.59207588185677
2047,03_CDA,Canada,42426.343,27.974720550636583
2048,03_CDA,Canada,42443.152,28.36267170462514
2049,03_CDA,Canada,42460.183,28.756002933728606
2050,03_CDA,Canada,42459.628,29.154788848392
2051,03_CDA,Canada,42469.21,29.55910509375192
2052,03_CDA,Canada,42475.39,29.969028363985593
2053,03_CDA,Canada,42485.304,30.384636416858868
2054,03_CDA,Canada,42480.239,30.806008088475973
2055,03_CDA,Canada,42473.264,31.23322330823384
2056,03_CDA,Canada,42465.575,31.66636311398378
2057,03_CDA,Canada,42458.442,32.10550966740346
2058,03_CDA,Canada,42452.83,32.550746269582014
2059,03_CDA,Canada,42455.808,33.00215737682132
2060,03_CDA,Canada,42453.567,33.45982861665641
2061,03_CDA,Canada,42443.146,33.92384680409799
2062,03_CDA,Canada,42436.29,34.394299958100326
2063,03_CDA,Canada,42433.257,34.87127731825737
2064,03_CDA,Canada,42424.984,35.35486936173053
2065,03_CDA,Canada,42411.797,35.84516782041114
2066,03_CDA,Canada,42395.277,36.34226569832097
2067,03_CDA,Canada,42376.781,36.846257289254005
2068,03_CDA,Canada,42364.651,37.35723819466291
2069,03_CDA,Canada,42336.863,37.87530534179354
2070,03_CDA,Canada,42306.513,38.400557002070926
2071,03_CDA,Canada,42272.288,38.933092809740245
2072,03_CDA,Canada,42238.291,39.4730137807663
2073,03_CDA,Canada,42199.996,40.0204223319951
2074,03_CDA,Canada,42152.875,40.57542230058115
2075,03_CDA,Canada,42106.11,41.1381189636842
2076,03_CDA,Canada,42065.603,41.70861905843909
2077,03_CDA,Canada,42027.233,42.2870308022026
2078,03_CDA,Canada,41972.421,42.87346391308102
2079,03_CDA,Canada,41928.164,43.46802963074243
2080,03_CDA,Canada,41873.688,44.0708407375176
2081,03_CDA,Canada,41818.026,44.68201157979352
2082,03_CDA,Canada,41771.59,45.30165808970357
2083,03_CDA,Canada,41706.357,45.92989780711857
2084,03_CDA,Canada,41653.471,46.566849901942724
2085,03_CDA,Canada,41591.489,47.21263519671878
2086,03_CDA,Canada,41522.239,47.86737618954672
2087,03_CDA,Canada,41455.137,48.531197077320215
2088,03_CDA,Canada,41380.415,49.20422377928539
2089,03_CDA,Canada,41333.834,49.88658396092627
2090,03_CDA,Canada,41257.448,50.578407058181405
2091,03_CDA,Canada,41175.042,51.279824301996484
2092,03_CDA,Canada,41110.179,51.990968743217266
2093,03_CDA,Canada,41036.097,52.71197527782786
2094,03_CDA,Canada,40968.745,53.44298067253892
2095,03_CDA,Canada,40898.755,54.18412359073075
2096,03_CDA,Canada,40831.197,54.93554461875615
2097,03_CDA,Canada,40765.402,55.69738629260806
2098,03_CDA,Canada,40718.306,56.46979312495699
2099,03_CDA,Canada,40665.131,57.25291163256345
2100,03_CDA,Canada,40604.295,58.04689036407048
