year,economy_code,economy,labour,efficiency
1990,04_CHL,Chile,13324.345,5.49968380121199
1991,04_CHL,Chile,13550.007,5.992785828232941
1992,04_CHL,Chile,13774.975,6.889120503348085
1993,04_CHL,Chile,13994.18,7.296084774865115
1994,04_CHL,Chile,14210.372,7.562134126236413
1995,04_CHL,Chile,14422.14,8.342545874119654
1996,04_CHL,Chile,14632.623,8.849072783442166
1997,04_CHL,Chile,14835.468,9.387542518996453
1998,04_CHL,Chile,15029.401,9.49074908178764
1999,04_CHL,Chile,15226.197,9.043179800844666
2000,04_CHL,Chile,15412.428,9.371631745320302
2001,04_CHL,Chile,15594.842,9.449559639088378
2002,04_CHL,Chile,15772.856,9.544706945850091
2003,04_CHL,Chile,15942.995,9.869886505379593
2004,04_CHL,Chile,16106.508,10.497220985739489
2005,04_CHL,Chile,16268.135,10.926578330749978
2006,04_CHL,Chile,16429.42,11.432921487077355
2007,04_CHL,Chile,16588.969,11.793034005602113
2008,04_CHL,Chile,16754.192,11.810342140014802
2009,04_CHL,Chile,16923.784,11.061774491366084
2010,04_CHL,Chile,17095.677,11.584293176521768
2011,04_CHL,Chile,17267.251,12.156368128386411
2012,04_CHL,Chile,17436.38,12.71079124144092
2013,04_CHL,Chile,17601.858,12.757858440828258
2014,04_CHL,Chile,17772.155,12.574229354529724
2015,04_CHL,Chile,17956.235,12.490104934891265
2016,04_CHL,Chile,18139.016,12.376873376658478
2017,04_CHL,Chile,18395.427,12.186657900292488
2018,04_CHL,Chile,18722.308,12.458207075814828
2019,04_CHL,Chile,19064.074,12.045975471847811
2020,04_CHL,Chile,19331.414,10.489788241492986
2021,04_CHL,Chile,19409.834,12.189240398539996
2022,04_CHL,Chile,19502.834,12.241575541954298
2023,04_CHL,Chile,19603.239,12.009641955536114
2024,04_CHL,Chile,19714.431,12.276891539464168
2025,04_CHL,Chile,19777.472,12.538716419735707
2026,04_CHL,Chile,19829.491,12.597032209030111
2027,04_CHL,Chile,19874.222,12.67289801044734
2028,04_CHL,Chile,19915.229,12.776329481810752
2029,04_CHL,Chile,19949.247,12.862563833239049
2030,04_CHL,Chile,19956.324,13.000623009199053
