year,economy_code,economy,labour,efficiency
1990,05_PRC,China,1143536.292,0.7769012201742964
1991,05_PRC,China,1163629.156,0.8511126892091129
1992,05_PRC,China,1177947.9,0.9927522031344542
1993,05_PRC,China,1191200.574,1.1315473967341545
1994,05_PRC,China,1203416.576,1.276641488716401
1995,05_PRC,China,1214589.617,1.4011103207670073
1996,05_PRC,China,1225678.238,1.5154633334930123
1997,05_PRC,China,1236211.386,1.6282916350188978
1998,05_PRC,China,1246067.858,1.7064513821272682
1999,05_PRC,China,1255626.395,1.7921522693716496
2000,05_PRC,China,1264726.915,1.9121230591865874
2001,05_PRC,China,1274435.436,2.027774911908837
2002,05_PRC,China,1283014.689,2.174419018332051
2003,05_PRC,China,1290718.988,2.3470877161292147
2004,05_PRC,China,1298315.664,2.5332341577294923
2005,05_PRC,China,1305884.967,2.7889835020274467
2006,05_PRC,China,1314169.304,3.1263976477971966
2007,05_PRC,China,1321938.768,3.585141480533362
2008,05_PRC,China,1329688.395,3.845502636712148
2009,05_PRC,China,1337953.637,4.060785368397456
2010,05_PRC,China,1347091.795,4.372637945062376
2011,05_PRC,China,1356031.233,4.655067742084999
2012,05_PRC,China,1364470.096,4.853392138827997
2013,05_PRC,China,1374571.633,5.061695832322401
2014,05_PRC,China,1383444.448,5.280596954425572
2015,05_PRC,China,1392459.496,5.491523515163691
2016,05_PRC,China,1399808.851,5.71277397829922
2017,05_PRC,China,1408296.413,5.964815268078022
2018,05_PRC,China,1416413.041,6.222404261632965
2019,05_PRC,China,1421604.871,6.448735394851562
2020,05_PRC,China,1425435.844,6.328131994709436
2021,05_PRC,China,1426776.342,6.886766835575523
2022,05_PRC,China,1426098.192,6.907224179306059
2023,05_PRC,China,1424260.946,7.202615405946342
2024,05_PRC,China,1420908.919,7.577576939337197
2025,05_PRC,China,1415568.387,7.983426847831562
2026,05_PRC,China,1410174.039,8.266756499041367
2027,05_PRC,China,1405005.983,8.556173629583952
2028,05_PRC,China,1399583.428,8.847929243951711
2029,05_PRC,China,1393869.213,9.1415942493177
2030,05_PRC,China,1386694.415,9.44209599941951
2031,05_PRC,China,1379307.121,9.801172284396753
2032,05_PRC,China,1371649.586,10.124654369515413
2033,05_PRC,China,1363748.789,10.489221080055461
2034,05_PRC,China,1355579.972,10.859826709860627
2035,05_PRC,China,1346426.161,11.225361323846615
2036,05_PRC,China,1337046.131,11.580861141097149
2037,05_PRC,China,1327427.083,11.943195068506181
2038,05_PRC,China,1317590.273,12.31241965081783
2039,05_PRC,China,1307578.679,12.689138825685559
2040,05_PRC,China,1297298.065,13.074093337936668
2041,05_PRC,China,1286788.338,13.467412585682387
2042,05_PRC,China,1276020.341,13.86186395229385
2043,05_PRC,China,1265019.966,14.262718700317883
2044,05_PRC,China,1253807.748,14.665053010999525
2045,05_PRC,China,1242350.186,15.068290430646329
2046,05_PRC,China,1230572.243,15.473329092289273
2047,05_PRC,China,1218447.474,15.881844875862775
2048,05_PRC,China,1206019.522,16.293386102481456
2049,05_PRC,China,1193212.749,16.70744090371201
2050,05_PRC,China,1180017.717,17.123356321300594
2051,05_PRC,China,1166460.592,17.54030478901698
2052,05_PRC,China,1152466.591,17.95734791273357
2053,05_PRC,China,1138029.471,18.37440680212429
2054,05_PRC,China,1123226.814,18.790691618773884
2055,05_PRC,China,1108037.395,19.20597295414468
2056,05_PRC,China,1092476.184,19.620068407749013
2057,05_PRC,China,1076577.6,20.03265530613789
2058,05_PRC,China,1060412.328,20.44315594601523
2059,05_PRC,China,1043972.859,20.85098593069941
2060,05_PRC,China,1027329.561,21.25556104573031
2061,05_PRC,China,1010527.326,21.65631507114579
2062,05_PRC,China,993656.541,22.05272346981011
2063,05_PRC,China,976735.53,22.44432121580252
2064,05_PRC,China,959837.028,22.83060097333049
2065,05_PRC,China,942932.908,23.211097318733557
2066,05_PRC,China,926119.093,23.585321418391302
2067,05_PRC,China,909383.389,23.952753000010894
2068,05_PRC,China,892736.19,24.312854492571965
2069,05_PRC,China,876217.28,24.665100341570515
2070,05_PRC,China,859799.556,25.00897891559754
2071,05_PRC,China,843503.561,25.343993769241372
2072,05_PRC,China,827291.132,25.669662907280937
2073,05_PRC,China,811138.79,25.985515196239668
2074,05_PRC,China,795035.1,26.291084390723157
2075,05_PRC,China,779000.231,26.585914605243328
2076,05_PRC,China,762991.913,26.869556448714977
2077,05_PRC,China,747009.995,27.141570419488044
2078,05_PRC,China,731059.159,27.41633812385686
2079,05_PRC,China,715122.195,27.69388743924513
2080,05_PRC,China,699196.127,27.974246525293673
2081,05_PRC,China,683313.67,28.257443826717445
2082,05_PRC,China,667506.966,28.543508076191493
2083,05_PRC,China,651833.696,28.83246829726612
2084,05_PRC,China,636277.486,29.12435380731156
2085,05_PRC,China,620838.716,29.419194220492454
2086,05_PRC,China,605599.649,29.71701945077246
2087,05_PRC,China,590580.705,30.017859714949267
2088,05_PRC,China,575764.011,30.321745535720332
2089,05_PRC,China,561157.387,30.628707744779657
2090,05_PRC,China,546767.072,30.938777485945916
2091,05_PRC,China,532606.106,31.251986218322255
2092,05_PRC,China,518646.533,31.568365719488064
2093,05_PRC,China,504856.093,31.88794808872308
2094,05_PRC,China,491222.326,32.21076575026411
2095,05_PRC,China,477736.963,32.53685145659475
2096,05_PRC,China,464377.606,32.8662382917684
2097,05_PRC,China,451126.552,33.19895967476485
2098,05_PRC,China,437976.99,33.53504936288099
2099,05_PRC,China,424931.703,33.874541455155715
2100,05_PRC,China,411989.378,34.21747039582955
