year,economy_code,economy,labour,efficiency
1990,06_HKC,"Hong Kong, China",5552.387,10.720547554362522
1991,06_HKC,"Hong Kong, China",5568.807,11.238481909994587
1992,06_HKC,"Hong Kong, China",5687.381,11.656169663138176
1993,06_HKC,"Hong Kong, China",5831.732,12.07542215065811
1994,06_HKC,"Hong Kong, China",5973.294,12.43811160528966
1995,06_HKC,"Hong Kong, China",6111.229,12.10129878814454
1996,06_HKC,"Hong Kong, China",6242.978,12.140900285821683
1997,06_HKC,"Hong Kong, China",6361.95,12.341359339985255
1998,06_HKC,"Hong Kong, China",6471.397,10.571856024407259
1999,06_HKC,"Hong Kong, China",6571.272,10.59467779843178
2000,06_HKC,"Hong Kong, China",6661.777,11.51675624794391
2001,06_HKC,"Hong Kong, China",6747.551,11.195203671865666
2002,06_HKC,"Hong Kong, China",6800.926,11.188534983780858
2003,06_HKC,"Hong Kong, China",6841.891,11.472194051084118
2004,06_HKC,"Hong Kong, China",6875.922,12.865885105104372
2005,06_HKC,"Hong Kong, China",6900.405,14.158129602687678
2006,06_HKC,"Hong Kong, China",6916.567,15.498032428802556
2007,06_HKC,"Hong Kong, China",6945.613,16.8094163378514
2008,06_HKC,"Hong Kong, China",6997.077,16.986672501311347
2009,06_HKC,"Hong Kong, China",7044.3,15.960123440190014
2010,06_HKC,"Hong Kong, China",7084.633,17.410531362113755
2011,06_HKC,"Hong Kong, China",7118.601,18.39832147294492
2012,06_HKC,"Hong Kong, China",7167.338,18.44440321179902
2013,06_HKC,"Hong Kong, China",7234.784,18.938491486267594
2014,06_HKC,"Hong Kong, China",7293.886,19.3906223418976
2015,06_HKC,"Hong Kong, China",7345.115,19.79342041637266
2016,06_HKC,"Hong Kong, China",7387.704,20.17047899431057
2017,06_HKC,"Hong Kong, China",7428.315,21.094083379119358
2018,06_HKC,"Hong Kong, China",7461.468,21.74373950428037
2019,06_HKC,"Hong Kong, China",7480.919,20.944025365811896
2020,06_HKC,"Hong Kong, China",7490.707,18.620643227099343
2021,06_HKC,"Hong Kong, China",7489.764,20.55028953757696
2022,06_HKC,"Hong Kong, China",7479.439,19.257659417288085
2023,06_HKC,"Hong Kong, China",7452.391,20.235374138168662
2024,06_HKC,"Hong Kong, China",7433.078,20.821395720947507
2025,06_HKC,"Hong Kong, China",7382.918,21.69396843068104
2026,06_HKC,"Hong Kong, China",7368.356,21.976623839138057
2027,06_HKC,"Hong Kong, China",7321.993,22.249731051519923
2028,06_HKC,"Hong Kong, China",7296.356,22.45200101489067
2029,06_HKC,"Hong Kong, China",7238.004,22.607372940282282
2030,06_HKC,"Hong Kong, China",7190.751,22.862612556156417
2031,06_HKC,"Hong Kong, China",7136.113,23.308717197759012
2032,06_HKC,"Hong Kong, China",7076.904,23.763526415479955
2033,06_HKC,"Hong Kong, China",7026.922,24.223161293976737
2034,06_HKC,"Hong Kong, China",6974.354,24.61555754834168
2035,06_HKC,"Hong Kong, China",6926.799,24.982898310707473
2036,06_HKC,"Hong Kong, China",6845.917,25.35572094101107
2037,06_HKC,"Hong Kong, China",6779.519,25.734107245790618
2038,06_HKC,"Hong Kong, China",6737.443,26.11814025239252
2039,06_HKC,"Hong Kong, China",6660.184,26.464124142220328
2040,06_HKC,"Hong Kong, China",6618.408,26.831434294478232
2041,06_HKC,"Hong Kong, China",6544.227,27.210790400584276
2042,06_HKC,"Hong Kong, China",6468.712,27.58088718774416
2043,06_HKC,"Hong Kong, China",6382.869,27.93971379646922
2044,06_HKC,"Hong Kong, China",6314.592,28.30320872982984
2045,06_HKC,"Hong Kong, China",6240.117,28.67143272260536
2046,06_HKC,"Hong Kong, China",6158.606,29.044447299732987
2047,06_HKC,"Hong Kong, China",6073.713,29.422314786587723
2048,06_HKC,"Hong Kong, China",5963.695,29.805098319396045
2049,06_HKC,"Hong Kong, China",5876.129,30.19286185578505
2050,06_HKC,"Hong Kong, China",5777.639,30.585670185468867
2051,06_HKC,"Hong Kong, China",5686.019,30.983588941074082
2052,06_HKC,"Hong Kong, China",5585.065,31.386684609106005
2053,06_HKC,"Hong Kong, China",5488.01,31.795024541057618
2054,06_HKC,"Hong Kong, China",5393.833,32.20867696466303
2055,06_HKC,"Hong Kong, China",5299.114,32.62771099529735
2056,06_HKC,"Hong Kong, China",5200.149,33.052196647524895
2057,06_HKC,"Hong Kong, China",5098.251,33.482204846797586
2058,06_HKC,"Hong Kong, China",4994.906,33.9178074413056
2059,06_HKC,"Hong Kong, China",4890.127,34.35907721398214
2060,06_HKC,"Hong Kong, China",4790.511,34.80608789466446
2061,06_HKC,"Hong Kong, China",4690.769,35.25891417241301
2062,06_HKC,"Hong Kong, China",4588.399,35.71763170799094
2063,06_HKC,"Hong Kong, China",4498.829,36.182317146505916
2064,06_HKC,"Hong Kong, China",4410.045,36.65304813021642
2065,06_HKC,"Hong Kong, China",4311.326,37.12990331150465
2066,06_HKC,"Hong Kong, China",4211.541,37.6129623660182
2067,06_HKC,"Hong Kong, China",4114.331,38.102306005982726
2068,06_HKC,"Hong Kong, China",4013.039,38.59801599368778
2069,06_HKC,"Hong Kong, China",3915.271,39.10017515514815
2070,06_HKC,"Hong Kong, China",3822.391,39.60886739394285
2071,06_HKC,"Hong Kong, China",3723.977,40.12417770523424
2072,06_HKC,"Hong Kong, China",3629.453,40.64619218996947
2073,06_HKC,"Hong Kong, China",3531.202,41.174998069266735
2074,06_HKC,"Hong Kong, China",3432.4,41.71068369898865
2075,06_HKC,"Hong Kong, China",3335.764,42.25333858450526
2076,06_HKC,"Hong Kong, China",3239.006,42.80305339564907
2077,06_HKC,"Hong Kong, China",3143.822,43.359919981864735
2078,06_HKC,"Hong Kong, China",3040.361,43.92403138755571
2079,06_HKC,"Hong Kong, China",2953.013,44.495481867630666
2080,06_HKC,"Hong Kong, China",2860.636,45.07436690325215
2081,06_HKC,"Hong Kong, China",2770.122,45.66078321779007
2082,06_HKC,"Hong Kong, China",2686.53,46.25482879298281
2083,06_HKC,"Hong Kong, China",2603.594,46.85660288530859
2084,06_HKC,"Hong Kong, China",2516.609,47.46620604256973
