year,economy_code,economy,labour,efficiency
1990,07_INA,Indonesia,181869.93,1.913697554377949
1991,07_INA,Indonesia,185132.265,1.9967415783734224
1992,07_INA,Indonesia,188424.211,2.066693445229902
1993,07_INA,Indonesia,191663.277,2.146443332833811
1994,07_INA,Indonesia,194947.058,2.246478522392072
1995,07_INA,Indonesia,198236.597,2.3665006421768187
1996,07_INA,Indonesia,201539.517,2.4661518809169034
1997,07_INA,Indonesia,204869.178,2.4542361415337135
1998,07_INA,Indonesia,208203.012,1.8564590996868933
1999,07_INA,Indonesia,211450.565,1.8189470313019203
2000,07_INA,Indonesia,214558.771,1.896250548270814
2001,07_INA,Indonesia,217596.809,1.9358867814339753
2002,07_INA,Indonesia,220598.994,2.001655950672821
2003,07_INA,Indonesia,223577.996,2.0809621893447576
2004,07_INA,Indonesia,226518.019,2.1579840424010825
2005,07_INA,Indonesia,229335.279,2.255086300660569
2006,07_INA,Indonesia,232408.021,2.3508735129978806
2007,07_INA,Indonesia,235495.283,2.4776027331914015
2008,07_INA,Indonesia,238629.392,2.588093147791715
2009,07_INA,Indonesia,241686.415,2.6513752343487393
2010,07_INA,Indonesia,244753.641,2.7817004857856666
2011,07_INA,Indonesia,247857.003,2.9114115086861663
2012,07_INA,Indonesia,251083.061,3.0344623964231023
2013,07_INA,Indonesia,254313.989,3.1429968917000113
2014,07_INA,Indonesia,257390.944,3.2330449467539584
2015,07_INA,Indonesia,260363.854,3.32240308121578
2016,07_INA,Indonesia,263234.644,3.4275227075051284
2017,07_INA,Indonesia,266020.192,3.538741096893193
2018,07_INA,Indonesia,268673.124,3.6598336639956957
2019,07_INA,Indonesia,271230.569,3.781514870877807
2020,07_INA,Indonesia,273748.193,3.5024595278216606
2021,07_INA,Indonesia,275881.538,3.576383417899451
2022,07_INA,Indonesia,277634.568,3.754028398715013
2023,07_INA,Indonesia,280026.489,3.916370430916699
2024,07_INA,Indonesia,282353.644,4.07956157948699
2025,07_INA,Indonesia,284101.732,4.261565314472579
2026,07_INA,Indonesia,285778.873,4.42802652568291
2027,07_INA,Indonesia,287389.676,4.616890725367471
2028,07_INA,Indonesia,288932.197,4.807328542794301
2029,07_INA,Indonesia,290400.433,5.00370180647371
2030,07_INA,Indonesia,291482.572,5.207275814020977
2031,07_INA,Indonesia,292501.278,5.415040420483464
2032,07_INA,Indonesia,293465.252,5.632002013008281
2033,07_INA,Indonesia,294371.575,5.854744154925777
2034,07_INA,Indonesia,295226.187,6.084306523689873
2035,07_INA,Indonesia,295801.442,6.3208753952603125
2036,07_INA,Indonesia,296311.474,6.564363354498832
2037,07_INA,Indonesia,296760.061,6.815422072531938
2038,07_INA,Indonesia,297149.518,7.073600845641015
2039,07_INA,Indonesia,297471.091,7.339200334810042
2040,07_INA,Indonesia,297727.332,7.61233352384667
2041,07_INA,Indonesia,297911.122,7.893094882693518
2042,07_INA,Indonesia,298023.278,8.181624345984446
2043,07_INA,Indonesia,298057.96,8.477933818798421
2044,07_INA,Indonesia,298016.543,8.782151262444353
2045,07_INA,Indonesia,297891.621,9.094361413089118
2046,07_INA,Indonesia,297680.242,9.414642144634573
2047,07_INA,Indonesia,297378.838,9.743067432853616
2048,07_INA,Indonesia,296991.018,10.079695210478862
2049,07_INA,Indonesia,296524.066,10.424595154048339
2050,07_INA,Indonesia,295961.302,10.77782286924928
2051,07_INA,Indonesia,295302.971,11.13942721113159
2052,07_INA,Indonesia,294545.161,11.50945037987943
2053,07_INA,Indonesia,293692.853,11.887927311512785
2054,07_INA,Indonesia,292751.172,12.274887889974035
2055,07_INA,Indonesia,291717.471,12.67035289656298
2056,07_INA,Indonesia,290595.39,13.07433530523654
2057,07_INA,Indonesia,289389.417,13.4868400952015
2058,07_INA,Indonesia,288094.659,13.907863995165602
2059,07_INA,Indonesia,286722.395,14.337395314214772
2060,07_INA,Indonesia,285269.328,14.775413198287165
2061,07_INA,Indonesia,283747.216,15.221887690679537
2062,07_INA,Indonesia,282156.706,15.676779492571399
2063,07_INA,Indonesia,280506.789,16.14003971195843
2064,07_INA,Indonesia,278803.748,16.611609614763566
2065,07_INA,Indonesia,277048.708,17.096957561315822
2066,07_INA,Indonesia,275248.056,17.59648611015078
2067,07_INA,Indonesia,273402.643,18.110609581515455
2068,07_INA,Indonesia,271516.266,18.63975440101483
2069,07_INA,Indonesia,269593.753,19.184359453298907
2070,07_INA,Indonesia,267637.474,19.744876446083506
2071,07_INA,Indonesia,265652.713,20.321770284806856
2072,07_INA,Indonesia,263640.093,20.91551945823264
2073,07_INA,Indonesia,261597.207,21.52661643531938
2074,07_INA,Indonesia,259522.381,22.155568073685284
2075,07_INA,Indonesia,257422.016,22.802896040007408
2076,07_INA,Indonesia,255289.222,23.46913724270375
2077,07_INA,Indonesia,253135.048,24.154844277257215
2078,07_INA,Indonesia,250944.365,24.860585884550773
2079,07_INA,Indonesia,248726.98,25.586947422593965
