year,economy_code,economy,labour,efficiency
1990,08_JPN,Japan,123164.512,13.875875647011444
1991,08_JPN,Japan,123635.017,14.136349082434801
1992,08_JPN,Japan,124144.724,13.865564283086746
1993,08_JPN,Japan,124622.691,13.354876588684142
1994,08_JPN,Japan,125057.225,13.230300400004268
1995,08_JPN,Japan,125516.496,13.417329457355187
1996,08_JPN,Japan,125828.834,13.74580535088453
1997,08_JPN,Japan,126121.77,13.700292253794506
1998,08_JPN,Japan,126410.088,13.082033611611367
1999,08_JPN,Japan,126688.274,12.775741814096163
2000,08_JPN,Japan,126914.854,13.177625569561148
2001,08_JPN,Japan,127140.724,13.056310207769432
2002,08_JPN,Japan,127379.572,12.917831093281166
2003,08_JPN,Japan,127589.624,13.089786712615393
2004,08_JPN,Japan,127752.879,13.428757753287167
2005,08_JPN,Japan,127878.669,13.704105556120387
2006,08_JPN,Japan,127947.992,13.917268749614141
2007,08_JPN,Japan,128046.503,14.186311805220752
2008,08_JPN,Japan,128128.861,13.826851870766255
2009,08_JPN,Japan,128183.119,12.486807335736408
2010,08_JPN,Japan,128201.82,13.341446281649981
2011,08_JPN,Japan,128168.73,13.298988757028978
2012,08_JPN,Japan,128024.135,13.624573210770707
2013,08_JPN,Japan,127832.435,14.052405937478962
2014,08_JPN,Japan,127614.856,14.172802789561956
2015,08_JPN,Japan,127358.353,14.539413822427237
2016,08_JPN,Japan,127193.392,14.6653323057055
2017,08_JPN,Japan,127126.51,15.001733019449103
2018,08_JPN,Japan,127002.87,15.13073175806159
2019,08_JPN,Japan,126823.995,14.991889729987037
2020,08_JPN,Japan,126574.852,13.929748219823447
2021,08_JPN,Japan,126034.234,14.683621456423355
2022,08_JPN,Japan,125324.442,15.011477950696491
2023,08_JPN,Japan,124670.714,15.316293653709636
2024,08_JPN,Japan,124071.179,15.35335513594631
2025,08_JPN,Japan,123280.884,15.636135335687014
2026,08_JPN,Japan,122465.539,15.78900217202243
2027,08_JPN,Japan,121625.626,15.945125593220233
2028,08_JPN,Japan,120773.229,16.081983773884993
2029,08_JPN,Japan,119909.88,16.21999112967609
2030,08_JPN,Japan,118952.837,16.387985685133383
2031,08_JPN,Japan,117985.739,16.625246887144986
2032,08_JPN,Japan,117013.409,16.865943098135823
2033,08_JPN,Japan,116034.844,17.09748775543067
2034,08_JPN,Japan,115054.961,17.320966204363216
2035,08_JPN,Japan,114007.831,17.547365703326722
2036,08_JPN,Japan,112957.357,17.786031189937045
2037,08_JPN,Japan,111909.164,18.034745448254984
2038,08_JPN,Japan,110862.385,18.286937648426846
2039,08_JPN,Japan,109821.879,18.542656424896112
2040,08_JPN,Japan,108783.659,18.801951092195004
2041,08_JPN,Japan,107748.355,19.06487165445463
2042,08_JPN,Japan,106710.862,19.33146881504812
2043,08_JPN,Japan,105687.779,19.601793986368598
2044,08_JPN,Japan,104671.873,19.87589929974391
2045,08_JPN,Japan,103665.087,20.153837615489962
