year,economy_code,economy,labour,efficiency
1990,09_ROK,Korea,43825.75,6.431932344114609
1991,09_ROK,Korea,44337.104,6.917545561557524
1992,09_ROK,Korea,44541.196,7.074908613340976
1993,09_ROK,Korea,44766.194,7.332354366722935
1994,09_ROK,Korea,45009.253,7.859177266784043
1995,09_ROK,Korea,45252.428,8.466169838588938
1996,09_ROK,Korea,45484.423,8.911929139860177
1997,09_ROK,Korea,45792.976,9.220680495228287
1998,09_ROK,Korea,46090.097,8.124608191841336
1999,09_ROK,Korea,46371.658,9.328187260191688
2000,09_ROK,Korea,46629.108,10.273363482325836
2001,09_ROK,Korea,46904.214,10.591044600457693
2002,09_ROK,Korea,47182.722,11.439799965553346
2003,09_ROK,Korea,47415.519,11.492036260564158
2004,09_ROK,Korea,47612.802,11.969920893427823
2005,09_ROK,Korea,47781.349,12.344086561654972
2006,09_ROK,Korea,47921.939,12.931462704114248
2007,09_ROK,Korea,48091.096,13.675312696665554
2008,09_ROK,Korea,48265.141,13.873096417268517
2009,09_ROK,Korea,48447.845,13.610506077825097
2010,09_ROK,Korea,48645.528,14.719728135388316
2011,09_ROK,Korea,48893.137,15.127405209830362
2012,09_ROK,Korea,49362.15,15.240349819650477
2013,09_ROK,Korea,49837.009,15.556345931910853
2014,09_ROK,Korea,50305.32,15.865131542143697
2015,09_ROK,Korea,50772.791,16.092571202750396
2016,09_ROK,Korea,51195.032,16.376772463900835
2017,09_ROK,Korea,51400.646,16.752683474969334
2018,09_ROK,Korea,51571.895,17.14585868183668
2019,09_ROK,Korea,51709.893,17.37303030259625
2020,09_ROK,Korea,51825.799,16.760341467072493
2021,09_ROK,Korea,51891.164,17.64060334650651
2022,09_ROK,Korea,51805.631,18.094459648252638
2023,09_ROK,Korea,51759.392,18.200082059129983
2024,09_ROK,Korea,51738.086,18.572385960853694
2025,09_ROK,Korea,51615.133,18.80410031881918
2026,09_ROK,Korea,51473.155,19.065636358664193
2027,09_ROK,Korea,51318.268,19.323656643415855
2028,09_ROK,Korea,51146.835,19.58516878472509
2029,09_ROK,Korea,50964.921,19.850220038807553
2030,09_ROK,Korea,50718.648,20.11885830140972
2031,09_ROK,Korea,50459.306,20.45093957091155
2032,09_ROK,Korea,50187.495,20.788502163851412
2033,09_ROK,Korea,49900.587,21.131636554788972
2034,09_ROK,Korea,49594.683,21.407387237033436
2035,09_ROK,Korea,49244.55,21.686736241564066
2036,09_ROK,Korea,48880.014,21.969730523562152
2037,09_ROK,Korea,48501.17,22.256417650935933
2038,09_ROK,Korea,48105.492,22.546845812316196
2039,09_ROK,Korea,47694.097,22.841063825156183
2040,09_ROK,Korea,47269.183,23.13912114393724
2041,09_ROK,Korea,46833.731,23.441067868481483
2042,09_ROK,Korea,46381.661,23.746954752373
2043,09_ROK,Korea,45923.676,24.0568332114889
2044,09_ROK,Korea,45453.622,24.370755332641696
2045,09_ROK,Korea,44967.818,24.68877388233447
2046,09_ROK,Korea,44470.911,25.010942315630288
2047,09_ROK,Korea,43965.387,25.337314785137337
2048,09_ROK,Korea,43439.784,25.667946150111337
2049,09_ROK,Korea,42901.685,26.002891985676698
2050,09_ROK,Korea,42347.097,26.342208592168042
2051,09_ROK,Korea,41781.835,26.685953004593596
2052,09_ROK,Korea,41199.842,27.03418300222209
2053,09_ROK,Korea,40601.606,27.38695711829475
2054,09_ROK,Korea,39997.191,27.744334649864026
2055,09_ROK,Korea,39388.271,28.106375667760716
2056,09_ROK,Korea,38766.322,28.473141026691128
2057,09_ROK,Korea,38132.678,28.84469237546603
2058,09_ROK,Korea,37484.917,29.221092167363064
2059,09_ROK,Korea,36827.719,29.602403670624394
2060,09_ROK,Korea,36170.436,29.988690979091317
2061,09_ROK,Korea,35508.209,30.380019022977663
2062,09_ROK,Korea,34852.526,30.776453579783787
2063,09_ROK,Korea,34191.168,31.178061285352957
2064,09_ROK,Korea,33534.453,31.58490964507204
2065,09_ROK,Korea,32880.092,31.99706704521834
2066,09_ROK,Korea,32231.15,32.41460276445449
2067,09_ROK,Korea,31588.024,32.83758698547337
2068,09_ROK,Korea,30948.918,33.26609080679496
2069,09_ROK,Korea,30317.915,33.700186254717146
2070,09_ROK,Korea,29685.168,34.13994629542245
2071,09_ROK,Korea,29059.777,34.585444847242776
2072,09_ROK,Korea,28442.744,35.036756793084194
2073,09_ROK,Korea,27833.543,35.49395799301382
2074,09_ROK,Korea,27234.404,35.957125297011004
2075,09_ROK,Korea,26641.457,36.42633655788485
2076,09_ROK,Korea,26057.212,36.901670644360365
2077,09_ROK,Korea,25479.745,37.3832074543353
2078,09_ROK,Korea,24909.541,37.87102792831004
2079,09_ROK,Korea,24347.947,38.36521406299273
2080,09_ROK,Korea,23794.806,38.86584892508189
2081,09_ROK,Korea,23247.56,39.37301666522896
2082,09_ROK,Korea,22705.0,39.886802532182976
2083,09_ROK,Korea,22172.752,40.40729288711987
2084,09_ROK,Korea,21646.669,40.934575218158734
2085,09_ROK,Korea,21129.672,41.46873815506749
2086,09_ROK,Korea,20616.782,42.00987148416052
2087,09_ROK,Korea,20110.679,42.55806616339061
2088,09_ROK,Korea,19608.853,43.11341433763793
2089,09_ROK,Korea,19114.412,43.67600935419842
2090,09_ROK,Korea,18625.2,44.245945778474386
2091,09_ROK,Korea,18142.221,44.82331940986976
2092,09_ROK,Korea,17665.837,45.40822729789284
2093,09_ROK,Korea,17196.507,46.00076775846914
2094,09_ROK,Korea,16735.798,46.60104039046707
2095,09_ROK,Korea,16284.205,47.20914609243935
2096,09_ROK,Korea,15840.626,47.82518707958279
2097,09_ROK,Korea,15409.133,48.449266900919454
2098,09_ROK,Korea,14987.222,49.08149045670198
2099,09_ROK,Korea,14573.131,49.72196401604603
2100,09_ROK,Korea,14169.221,50.37079523479289
