year,economy_code,economy,labour,efficiency
1990,10_MAS,Malaysia,17573.4,5.691918912340883
1991,10_MAS,Malaysia,18092.942,6.009409951391662
1992,10_MAS,Malaysia,18591.985,6.2982570158947855
1993,10_MAS,Malaysia,19077.16,6.673764044202932
1994,10_MAS,Malaysia,19568.169,6.977686517658419
1995,10_MAS,Malaysia,20072.723,7.291699559441603
1996,10_MAS,Malaysia,20588.474,7.686440226413542
1997,10_MAS,Malaysia,21111.7,7.806931873421512
1998,10_MAS,Malaysia,21638.737,6.575577387016245
1999,10_MAS,Malaysia,22174.688,6.979883715275163
2000,10_MAS,Malaysia,22696.373,7.62281304069453
2001,10_MAS,Malaysia,23239.259,7.30822315493223
2002,10_MAS,Malaysia,23813.818,7.588281193710132
2003,10_MAS,Malaysia,24391.135,7.928687406909887
2004,10_MAS,Malaysia,24968.069,8.41936461940784
2005,10_MAS,Malaysia,25545.476,8.722369071929952
2006,10_MAS,Malaysia,26126.667,9.073636035256406
2007,10_MAS,Malaysia,26709.151,9.515976384250925
2008,10_MAS,Malaysia,27287.626,9.777327123994423
2009,10_MAS,Malaysia,27852.492,9.092948844855929
2010,10_MAS,Malaysia,28397.063,9.73823161907694
2011,10_MAS,Malaysia,28914.49,10.093024056593315
2012,10_MAS,Malaysia,29409.588,10.405947746574029
2013,10_MAS,Malaysia,29916.074,10.581883272615682
2014,10_MAS,Malaysia,30432.455,10.997455608940605
2015,10_MAS,Malaysia,30959.818,11.280072807247562
2016,10_MAS,Malaysia,31505.777,11.469961793396697
2017,10_MAS,Malaysia,32073.594,11.907434680003785
2018,10_MAS,Malaysia,32637.695,12.210300239414602
2019,10_MAS,Malaysia,33184.239,12.499842673885603
2020,10_MAS,Malaysia,33696.952,10.988028307203823
2021,10_MAS,Malaysia,34082.165,11.272145854531669
2022,10_MAS,Malaysia,34482.632,12.601088303899664
2023,10_MAS,Malaysia,34908.354,12.949847698500122
2024,10_MAS,Malaysia,35344.242,13.443137293698515
2025,10_MAS,Malaysia,35700.197,13.99734977840318
2026,10_MAS,Malaysia,36042.176,14.574410462266421
2027,10_MAS,Malaysia,36371.186,14.921743827378403
2028,10_MAS,Malaysia,36697.407,15.277354746277714
2029,10_MAS,Malaysia,37020.739,15.641440487362914
2030,10_MAS,Malaysia,37289.305,16.014203020279098
2031,10_MAS,Malaysia,37559.004,16.60240811820827
2032,10_MAS,Malaysia,37823.523,17.230270253032835
2033,10_MAS,Malaysia,38081.052,17.74389898895422
2034,10_MAS,Malaysia,38322.272,18.276623155268414
2035,10_MAS,Malaysia,38529.606,18.810593206482515
2036,10_MAS,Malaysia,38733.727,19.337571436033045
2037,10_MAS,Malaysia,38930.31,19.853765203650127
2038,10_MAS,Malaysia,39120.095,20.389420502938925
2039,10_MAS,Malaysia,39307.004,20.94594702187926
2040,10_MAS,Malaysia,39478.907,21.52491773347924
2041,10_MAS,Malaysia,39647.37,22.12809169846268
2042,10_MAS,Malaysia,39809.167,22.728898545211685
2043,10_MAS,Malaysia,39971.461,23.32177495439986
2044,10_MAS,Malaysia,40125.047,23.92142905509354
2045,10_MAS,Malaysia,40261.908,24.526189650111586
2046,10_MAS,Malaysia,40388.943,25.136588488023296
2047,10_MAS,Malaysia,40510.532,25.754317650457487
2048,10_MAS,Malaysia,40621.301,26.381770297677097
2049,10_MAS,Malaysia,40712.406,27.017605395723734
2050,10_MAS,Malaysia,40788.784,27.66013671057321
2051,10_MAS,Malaysia,40859.513,28.30727398423109
2052,10_MAS,Malaysia,40911.207,28.969551698275783
2053,10_MAS,Malaysia,40951.29,29.64732407884204
2054,10_MAS,Malaysia,40978.16,30.340953639548427
2055,10_MAS,Malaysia,40984.814,31.050811375391508
2056,10_MAS,Malaysia,40970.391,31.777276961176373
2057,10_MAS,Malaysia,40946.545,32.520738954589675
2058,10_MAS,Malaysia,40908.816,33.28159500402374
2059,10_MAS,Malaysia,40858.675,34.06025206126297
2060,10_MAS,Malaysia,40800.584,34.85712659914624
2061,10_MAS,Malaysia,40723.637,35.67264483432172
2062,10_MAS,Malaysia,40634.515,36.507242955213314
2063,10_MAS,Malaysia,40526.01,37.36136735532056
2064,10_MAS,Malaysia,40401.945,38.235474871976855
2065,10_MAS,Malaysia,40272.206,39.13003303069367
2066,10_MAS,Malaysia,40123.489,40.04552029522141
2067,10_MAS,Malaysia,39962.585,40.98242632346077
2068,10_MAS,Malaysia,39791.299,41.94125222936136
2069,10_MAS,Malaysia,39610.583,42.92251085094769
2070,10_MAS,Malaysia,39427.694,43.926727024615964
2071,10_MAS,Malaysia,39236.071,44.95443786584828
2072,10_MAS,Malaysia,39038.805,46.00619305649444
2073,10_MAS,Malaysia,38831.652,47.08255513877502
2074,10_MAS,Malaysia,38611.573,48.18409981616293
2075,10_MAS,Malaysia,38388.689,49.311416261304416
2076,10_MAS,Malaysia,38157.136,50.4651074311442
2077,10_MAS,Malaysia,37925.312,51.64579038942326
2078,10_MAS,Malaysia,37673.9,52.85409663672182
2079,10_MAS,Malaysia,37415.036,54.090672448224005
2080,10_MAS,Malaysia,37149.326,55.356179219384856
2081,10_MAS,Malaysia,36868.952,56.65129381968459
2082,10_MAS,Malaysia,36590.274,57.976708954659266
2083,10_MAS,Malaysia,36304.354,59.33313353640159
2084,10_MAS,Malaysia,36010.847,60.72129306272992
2085,10_MAS,Malaysia,35717.737,62.14193000522832
2086,10_MAS,Malaysia,35421.466,63.59580420636523
2087,10_MAS,Malaysia,35115.687,65.08369328590315
2088,10_MAS,Malaysia,34808.271,66.60639305681663
2089,10_MAS,Malaysia,34497.84,68.16471795094115
2090,10_MAS,Malaysia,34186.236,69.75950145458047
2091,10_MAS,Malaysia,33871.329,71.39159655430548
2092,10_MAS,Malaysia,33556.017,73.06187619318291
2093,10_MAS,Malaysia,33237.891,74.77123373767809
2094,10_MAS,Malaysia,32914.928,76.52058345548122
2095,10_MAS,Malaysia,32593.89,78.31086100451306
2096,10_MAS,Malaysia,32269.733,80.14302393337125
2097,10_MAS,Malaysia,31943.902,82.01805219348522
2098,10_MAS,Malaysia,31620.781,83.93694866325332
2099,10_MAS,Malaysia,31301.029,85.90073968444288
2100,10_MAS,Malaysia,30979.968,87.91047561113974
