year,economy_code,economy,labour,efficiency
1990,11_MEX,Mexico,82017.824,7.415275556241167
1991,11_MEX,Mexico,83622.516,7.627614371522345
1992,11_MEX,Mexico,85238.629,7.772283215963493
1993,11_MEX,Mexico,86850.989,7.831066136287574
1994,11_MEX,Mexico,88456.626,8.038211857115481
1995,11_MEX,Mexico,90061.783,7.071411581770032
1996,11_MEX,Mexico,91663.126,7.567137880578751
1997,11_MEX,Mexico,93242.279,8.187488308382068
1998,11_MEX,Mexico,94800.135,8.703273158152559
1999,11_MEX,Mexico,96350.355,8.764627005411873
2000,11_MEX,Mexico,97881.058,9.160533098194973
2001,11_MEX,Mexico,99370.046,8.810850970000308
2002,11_MEX,Mexico,100828.153,8.524240675120303
2003,11_MEX,Mexico,102269.095,8.450672327766705
2004,11_MEX,Mexico,103687.936,8.699577037065662
2005,11_MEX,Mexico,105100.326,8.742992492791103
2006,11_MEX,Mexico,106522.682,9.155615603348911
2007,11_MEX,Mexico,107984.649,9.161647244123493
2008,11_MEX,Mexico,109564.071,8.978917231474409
2009,11_MEX,Mexico,111184.505,7.821670360468391
2010,11_MEX,Mexico,112814.937,8.223021063312688
2011,11_MEX,Mexico,114432.853,8.421240961505585
2012,11_MEX,Mexico,116054.154,8.639554779356
2013,11_MEX,Mexico,117582.263,8.51532178394703
2014,11_MEX,Mexico,119104.883,8.626222647185692
2015,11_MEX,Mexico,120463.639,8.771512385672821
2016,11_MEX,Mexico,121680.973,8.802082999622485
2017,11_MEX,Mexico,122821.728,8.86771823747295
2018,11_MEX,Mexico,123978.387,8.956013713116405
2019,11_MEX,Mexico,125169.035,8.719554804517305
2020,11_MEX,Mexico,126356.93,7.4379377758542695
2021,11_MEX,Mexico,127241.179,8.086043042670871
2022,11_MEX,Mexico,128055.116,8.455635333506569
2023,11_MEX,Mexico,129171.119,8.704029091632924
2024,11_MEX,Mexico,130308.399,8.744592365235889
2025,11_MEX,Mexico,131148.576,8.737374162218476
2026,11_MEX,Mexico,131949.908,8.76670399169493
2027,11_MEX,Mexico,132719.221,8.796019719144297
2028,11_MEX,Mexico,133458.362,8.821815851302354
2029,11_MEX,Mexico,134168.796,8.841490971607433
2030,11_MEX,Mexico,134689.133,8.886525398135557
2031,11_MEX,Mexico,135181.939,9.031385357441328
2032,11_MEX,Mexico,135647.224,9.150759321079848
2033,11_MEX,Mexico,136086.18,9.241980538502716
2034,11_MEX,Mexico,136498.327,9.316174817862313
2035,11_MEX,Mexico,136768.948,9.39410211215686
2036,11_MEX,Mexico,137015.5,9.481314594731847
2037,11_MEX,Mexico,137229.379,9.574956239529971
2038,11_MEX,Mexico,137420.468,9.675777528520802
2039,11_MEX,Mexico,137579.666,9.785011104410763
2040,11_MEX,Mexico,137702.024,9.904342204199102
2041,11_MEX,Mexico,137792.21,10.032162410323288
2042,11_MEX,Mexico,137850.144,10.15822566712927
2043,11_MEX,Mexico,137870.751,10.285210941352236
2044,11_MEX,Mexico,137849.73,10.416387869946295
2045,11_MEX,Mexico,137793.824,10.554160578042104
2046,11_MEX,Mexico,137693.433,10.698886766703565
2047,11_MEX,Mexico,137550.396,10.845597544241572
2048,11_MEX,Mexico,137361.492,10.99432012475639
2049,11_MEX,Mexico,137136.339,11.145082095527464
2050,11_MEX,Mexico,136858.48,11.297911422130717
2051,11_MEX,Mexico,136541.13,11.45283645362603
2052,11_MEX,Mexico,136178.63,11.60988592781584
