year,economy_code,economy,labour,efficiency
1990,12_NZ,New Zealand,3345.088,14.853441502863976
1991,12_NZ,New Zealand,3448.869,13.983690941799065
1992,12_NZ,New Zealand,3512.982,13.874089938016034
1993,12_NZ,New Zealand,3551.507,14.99626959303421
1994,12_NZ,New Zealand,3595.712,15.847010499001358
1995,12_NZ,New Zealand,3646.349,16.419545845957543
1996,12_NZ,New Zealand,3702.508,16.74705327218091
1997,12_NZ,New Zealand,3756.249,16.844188260361154
1998,12_NZ,New Zealand,3797.651,16.64377484239677
1999,12_NZ,New Zealand,3825.091,17.637662949403197
2000,12_NZ,New Zealand,3846.018,17.9752260791493
2001,12_NZ,New Zealand,3869.13,18.556551541129625
2002,12_NZ,New Zealand,3914.395,19.403040960094412
2003,12_NZ,New Zealand,3987.842,20.01353296136714
2004,12_NZ,New Zealand,4057.331,20.337795128608164
2005,12_NZ,New Zealand,4110.49,20.610057565796414
2006,12_NZ,New Zealand,4159.523,20.747891531536826
2007,12_NZ,New Zealand,4204.357,21.150552252482306
2008,12_NZ,New Zealand,4242.174,20.114907694434873
2009,12_NZ,New Zealand,4281.474,19.91388808725112
2010,12_NZ,New Zealand,4327.134,19.82904375761275
2011,12_NZ,New Zealand,4368.407,20.095067286563577
2012,12_NZ,New Zealand,4396.994,20.43340513767816
2013,12_NZ,New Zealand,4426.359,20.704953534301666
2014,12_NZ,New Zealand,4481.343,21.29874441887115
2015,12_NZ,New Zealand,4564.623,21.84668041369963
2016,12_NZ,New Zealand,4663.435,22.300286534139133
2017,12_NZ,New Zealand,4766.105,22.702466496436774
2018,12_NZ,New Zealand,4859.398,23.086642202355076
2019,12_NZ,New Zealand,4942.296,23.111747840186027
2020,12_NZ,New Zealand,5036.509,22.207051617734635
2021,12_NZ,New Zealand,5103.281,23.042051351024245
2022,12_NZ,New Zealand,5112.112,23.667479829476434
2023,12_NZ,New Zealand,5151.357,23.569074052846094
2024,12_NZ,New Zealand,5194.315,23.171096706985246
2025,12_NZ,New Zealand,5224.693,23.143001580128068
2026,12_NZ,New Zealand,5252.497,23.328494523674568
2027,12_NZ,New Zealand,5278.198,23.48573484947147
2028,12_NZ,New Zealand,5301.706,23.61750911219349
2029,12_NZ,New Zealand,5322.627,23.723308075102928
2030,12_NZ,New Zealand,5336.631,23.83762847654091
2031,12_NZ,New Zealand,5348.418,24.057297948075547
2032,12_NZ,New Zealand,5359.297,24.210704083283606
2033,12_NZ,New Zealand,5368.164,24.314811966936702
2034,12_NZ,New Zealand,5376.837,24.439932806531345
2035,12_NZ,New Zealand,5380.112,24.619542200679778
2036,12_NZ,New Zealand,5383.478,24.821549619053194
2037,12_NZ,New Zealand,5385.95,25.025686370433935
2038,12_NZ,New Zealand,5387.926,25.235215553288352
2039,12_NZ,New Zealand,5390.171,25.45346835213196
2040,12_NZ,New Zealand,5391.133,25.684220455659514
2041,12_NZ,New Zealand,5391.559,25.927971892344633
2042,12_NZ,New Zealand,5392.797,26.17474983057207
2043,12_NZ,New Zealand,5392.78,26.43209838244462
2044,12_NZ,New Zealand,5390.994,26.70659904343912
2045,12_NZ,New Zealand,5387.795,26.997942700471583
2046,12_NZ,New Zealand,5383.745,27.302076010055643
2047,12_NZ,New Zealand,5377.796,27.617989531681303
2048,12_NZ,New Zealand,5370.8,27.946801883564845
2049,12_NZ,New Zealand,5363.592,28.289403055957884
2050,12_NZ,New Zealand,5354.097,28.64641753903652
2051,12_NZ,New Zealand,5346.986,29.01811975156837
