year,economy_code,economy,labour,efficiency
1990,13_PNG,Papua New Guinea,3840.265,2.0227269267925605
1991,13_PNG,Papua New Guinea,3952.696,2.152807109474712
1992,13_PNG,Papua New Guinea,4090.978,2.3681048911336453
1993,13_PNG,Papua New Guinea,4242.421,2.6992318544989073
1994,13_PNG,Papua New Guinea,4399.322,2.757635227687717
1995,13_PNG,Papua New Guinea,4561.095,2.5717219522554617
1996,13_PNG,Papua New Guinea,4727.461,2.6731094042032613
1997,13_PNG,Papua New Guinea,4899.262,2.4786635084020054
1998,13_PNG,Papua New Guinea,5076.505,2.301960714690604
1999,13_PNG,Papua New Guinea,5256.274,2.264484983451156
2000,13_PNG,Papua New Guinea,5442.391,2.1324815964647876
2001,13_PNG,Papua New Guinea,5631.736,2.0582857820253753
2002,13_PNG,Papua New Guinea,5825.135,1.986787057922506
2003,13_PNG,Papua New Guinea,6022.872,1.9631433251040153
2004,13_PNG,Papua New Guinea,6225.122,1.9510471087635826
2005,13_PNG,Papua New Guinea,6430.96,2.008427025993122
2006,13_PNG,Papua New Guinea,6640.85,2.050169542457542
2007,13_PNG,Papua New Guinea,6854.59,2.141469604336432
2008,13_PNG,Papua New Guinea,7072.099,2.0694534106362297
2009,13_PNG,Papua New Guinea,7293.904,2.1429740342753614
2010,13_PNG,Papua New Guinea,7518.972,2.2893807519097704
2011,13_PNG,Papua New Guinea,7748.074,2.24629243375624
2012,13_PNG,Papua New Guinea,7970.618,2.285266410767473
2013,13_PNG,Papua New Guinea,8192.162,2.3085113564491593
2014,13_PNG,Papua New Guinea,8413.233,2.552295430967075
2015,13_PNG,Papua New Guinea,8633.649,2.650748286415565
2016,13_PNG,Papua New Guinea,8852.843,2.727028335262751
2017,13_PNG,Papua New Guinea,9070.592,2.7556390824297607
2018,13_PNG,Papua New Guinea,9286.836,2.683958016652987
2019,13_PNG,Papua New Guinea,9502.191,2.740659243932614
2020,13_PNG,Papua New Guinea,9715.829,2.595496120060385
2021,13_PNG,Papua New Guinea,9915.662,2.5302025489689806
2022,13_PNG,Papua New Guinea,10110.13,2.623155834551764
2023,13_PNG,Papua New Guinea,10296.209,2.6738966080528432
2024,13_PNG,Papua New Guinea,10483.061,2.7283434355636857
2025,13_PNG,Papua New Guinea,10649.594,2.837095417733896
2026,13_PNG,Papua New Guinea,10814.807,2.971460478029782
2027,13_PNG,Papua New Guinea,10978.311,3.134475031647858
2028,13_PNG,Papua New Guinea,11139.762,3.329941139130982
2029,13_PNG,Papua New Guinea,11299.1,3.5375965283243898
2030,13_PNG,Papua New Guinea,11443.4,3.7582013237863774
2031,13_PNG,Papua New Guinea,11586.302,3.992563051501992
2032,13_PNG,Papua New Guinea,11726.064,4.241539594839701
2033,13_PNG,Papua New Guinea,11864.221,4.50604233484175
2034,13_PNG,Papua New Guinea,12000.233,4.787039486343271
2035,13_PNG,Papua New Guinea,12126.184,5.085559642132043
2036,13_PNG,Papua New Guinea,12249.179,5.402695538122328
2037,13_PNG,Papua New Guinea,12371.393,5.7396080533252425
2038,13_PNG,Papua New Guinea,12491.084,6.097530459257592
2039,13_PNG,Papua New Guinea,12608.676,6.477772934344173
2040,13_PNG,Papua New Guinea,12723.399,6.881727359838553
2041,13_PNG,Papua New Guinea,12835.51,7.310872414817853
2042,13_PNG,Papua New Guinea,12944.169,7.766778988901784
2043,13_PNG,Papua New Guinea,13049.713,8.251115932509284
2044,13_PNG,Papua New Guinea,13153.413,8.7656561657016
2045,13_PNG,Papua New Guinea,13255.204,9.312283167973295
2046,13_PNG,Papua New Guinea,13354.678,9.892997872747134
2047,13_PNG,Papua New Guinea,13449.026,10.509925991810219
2048,13_PNG,Papua New Guinea,13539.568,11.165325796502508
2049,13_PNG,Papua New Guinea,13626.348,11.861596384140881
2050,13_PNG,Papua New Guinea,13709.69,12.601286459938045
2051,13_PNG,Papua New Guinea,13786.466,13.387103666562586
2052,13_PNG,Papua New Guinea,13859.885,14.221924495491118
2053,13_PNG,Papua New Guinea,13929.611,15.108804816433121
2054,13_PNG,Papua New Guinea,13992.807,16.050991063371537
2055,13_PNG,Papua New Guinea,14053.539,17.051932118165723
2056,13_PNG,Papua New Guinea,14106.923,18.115291935216828
2057,13_PNG,Papua New Guinea,14155.53,19.244962953408265
2058,13_PNG,Papua New Guinea,14200.13,20.445080344415853
2059,13_PNG,Papua New Guinea,14239.744,21.720037149543682
2060,13_PNG,Papua New Guinea,14275.482,23.074500360494255
2061,13_PNG,Papua New Guinea,14307.899,24.513428002936703
2062,13_PNG,Papua New Guinea,14332.653,26.042087285407632
2063,13_PNG,Papua New Guinea,14352.395,27.666073879978875
2064,13_PNG,Papua New Guinea,14367.985,29.391332405269164
2065,13_PNG,Papua New Guinea,14381.965,31.22417818677801
2066,13_PNG,Papua New Guinea,14392.799,33.17132037419571
2067,13_PNG,Papua New Guinea,14399.524,35.23988650031061
2068,13_PNG,Papua New Guinea,14402.519,37.437448571411736
2069,13_PNG,Papua New Guinea,14400.695,39.77205078469095
2070,13_PNG,Papua New Guinea,14394.087,42.2522389741045
2071,13_PNG,Papua New Guinea,14383.431,44.88709189248079
2072,13_PNG,Papua New Guinea,14370.437,47.6862544443828
2073,13_PNG,Papua New Guinea,14353.033,50.65997299137441
2074,13_PNG,Papua New Guinea,14330.386,53.819132858925926
2075,13_PNG,Papua New Guinea,14304.447,57.175298182253094
2076,13_PNG,Papua New Guinea,14275.804,60.740754236945804
2077,13_PNG,Papua New Guinea,14243.032,64.52855240933805
2078,13_PNG,Papua New Guinea,14208.428,68.55255797123372
2079,13_PNG,Papua New Guinea,14172.334,72.82750083386799
2080,13_PNG,Papua New Guinea,14131.71,77.36902946688963
2081,13_PNG,Papua New Guinea,14092.523,82.19376817973546
2082,13_PNG,Papua New Guinea,14046.334,87.31937797507554
2083,13_PNG,Papua New Guinea,13996.136,92.76462119708414
2084,13_PNG,Papua New Guinea,13945.498,98.5494302111818
2085,13_PNG,Papua New Guinea,13889.859,104.69498036665155
2086,13_PNG,Papua New Guinea,13832.85,111.22376750920952
2087,13_PNG,Papua New Guinea,13773.27,118.15969032726552
2088,13_PNG,Papua New Guinea,13709.435,125.52813783330286
2089,13_PNG,Papua New Guinea,13642.452,133.35608230060382
2090,13_PNG,Papua New Guinea,13572.753,141.67217799551656
2091,13_PNG,Papua New Guinea,13504.376,150.50686606667395
2092,13_PNG,Papua New Guinea,13431.288,159.89248597511218
2093,13_PNG,Papua New Guinea,13354.833,169.8633938731804
2094,13_PNG,Papua New Guinea,13275.063,180.4560883655682
2095,13_PNG,Papua New Guinea,13193.425,191.7093441128008
2096,13_PNG,Papua New Guinea,13108.578,203.66435376625842
2097,13_PNG,Papua New Guinea,13021.765,216.36487875427463
2098,13_PNG,Papua New Guinea,12931.745,229.8574094712676
2099,13_PNG,Papua New Guinea,12838.736,244.19133545627795
2100,13_PNG,Papua New Guinea,12744.779,259.41912618385356
