year,economy_code,economy,labour,efficiency
1990,14_PE,Peru,21771.879,2.6777021172958455
1991,14_PE,Peru,22257.664,2.691515193133131
1992,14_PE,Peru,22709.886,2.582433223316061
1993,14_PE,Peru,23182.795,2.7057426354395053
1994,14_PE,Peru,23644.771,3.113887002156797
1995,14_PE,Peru,24118.215,3.3033317581455983
1996,14_PE,Peru,24579.623,3.2773249205439665
1997,14_PE,Peru,25042.719,3.4288954345449296
1998,14_PE,Peru,25505.576,3.2261364386454874
1999,14_PE,Peru,25970.615,3.1628722440349613
2000,14_PE,Peru,26402.394,3.1812682154985774
2001,14_PE,Peru,26794.268,3.1134938257698934
2002,14_PE,Peru,27134.933,3.302541870278566
2003,14_PE,Peru,27441.502,3.429728712501769
2004,14_PE,Peru,27719.479,3.602415623995589
2005,14_PE,Peru,27984.901,3.8514956695161544
2006,14_PE,Peru,28217.46,4.174898634856363
2007,14_PE,Peru,28431.522,4.558714285684687
2008,14_PE,Peru,28629.876,4.972575225688098
2009,14_PE,Peru,28808.206,4.822862829361861
2010,14_PE,Peru,28985.416,5.204048660032033
2011,14_PE,Peru,29186.623,5.438573312942715
2012,14_PE,Peru,29421.548,5.64058965786023
2013,14_PE,Peru,29679.184,5.836622607365186
2014,14_PE,Peru,29956.654,5.751637853066825
2015,14_PE,Peru,30274.998,5.793418348683389
2016,14_PE,Peru,30640.202,5.92676982641852
2017,14_PE,Peru,31092.785,5.917890113994369
2018,14_PE,Peru,31556.488,6.04406647072818
2019,14_PE,Peru,32238.679,5.966423166004272
2020,14_PE,Peru,32659.927,4.768830368350577
2021,14_PE,Peru,33017.232,5.637187178300228
2022,14_PE,Peru,33294.532,5.6828382013273
2023,14_PE,Peru,33656.344,5.449035158007603
2024,14_PE,Peru,34034.89,5.57784750294575
2025,14_PE,Peru,34332.836,5.719133069323583
2026,14_PE,Peru,34616.336,5.7081419707336005
2027,14_PE,Peru,34887.122,5.706080277061028
2028,14_PE,Peru,35146.313,5.863920720663446
2029,14_PE,Peru,35394.94,5.9002806201029845
2030,14_PE,Peru,35592.146,5.9352665087424255
2031,14_PE,Peru,35780.819,5.970459847244458
2032,14_PE,Peru,35960.931,6.030904986154429
2033,14_PE,Peru,36133.709,6.078861456796262
2034,14_PE,Peru,36299.997,6.135773586953227
2035,14_PE,Peru,36431.664,6.201741560787388
2036,14_PE,Peru,36555.39,6.253436765553279
2037,14_PE,Peru,36671.984,6.307470163113304
2038,14_PE,Peru,36780.43,6.3644132908075575
2039,14_PE,Peru,36881.082,6.424687527016848
2040,14_PE,Peru,36974.305,6.484932777880719
2041,14_PE,Peru,37059.617,6.547063439811998
2042,14_PE,Peru,37136.987,6.609993696248562
2043,14_PE,Peru,37205.618,6.672452930197271
2044,14_PE,Peru,37264.912,6.736563863352326
2045,14_PE,Peru,37316.124,6.802222083397138
2046,14_PE,Peru,37357.179,6.86921859688321
2047,14_PE,Peru,37388.702,6.937246598323318
2048,14_PE,Peru,37409.722,7.0064697464797385
2049,14_PE,Peru,37420.068,7.076781707723777
2050,14_PE,Peru,37420.713,7.1482272218423395
2051,14_PE,Peru,37411.663,7.221054275015759
2052,14_PE,Peru,37391.875,7.2952214373423665
2053,14_PE,Peru,37361.524,7.370696900413591
2054,14_PE,Peru,37321.135,7.447476192137017
2055,14_PE,Peru,37269.18,7.525601626755982
2056,14_PE,Peru,37206.124,7.605096747764379
2057,14_PE,Peru,37131.054,7.686005240858369
2058,14_PE,Peru,37044.806,7.768370663177171
2059,14_PE,Peru,36946.268,7.852204868229962
2060,14_PE,Peru,36836.219,7.937527966545126
2061,14_PE,Peru,36715.02,8.024368131669634
2062,14_PE,Peru,36582.505,8.112758619491355
2063,14_PE,Peru,36438.497,8.202731288326262
2064,14_PE,Peru,36283.739,8.294319299773406
2065,14_PE,Peru,36117.872,8.387554185133698
2066,14_PE,Peru,35942.323,8.482465606396948
2067,14_PE,Peru,35756.984,8.579086004714243
2068,14_PE,Peru,35562.376,8.677449750186328
2069,14_PE,Peru,35358.437,8.777592186705359
2070,14_PE,Peru,35145.296,8.879548990613005
2071,14_PE,Peru,34923.561,8.983356440466533
2072,14_PE,Peru,34694.086,9.089051307166072
2073,14_PE,Peru,34456.815,9.196671185783893
2074,14_PE,Peru,34212.115,9.306254917678977
2075,14_PE,Peru,33959.586,9.4178423513081
2076,14_PE,Peru,33700.138,9.531474198150525
2077,14_PE,Peru,33433.744,9.647192015462759
2078,14_PE,Peru,33160.902,9.76503828692721
2079,14_PE,Peru,32881.554,9.885056473757137
2080,14_PE,Peru,32596.043,10.006549756203354
2081,14_PE,Peru,32303.738,10.129536264077139
2082,14_PE,Peru,32005.774,10.254034350016042
2083,14_PE,Peru,31701.937,10.380062592222552
2084,14_PE,Peru,31393.493,10.507639797236433
2085,14_PE,Peru,31079.06,10.636785002741115
2086,14_PE,Peru,30759.556,10.767517480404598
2087,14_PE,Peru,30435.408,10.899856738755254
2088,14_PE,Peru,30106.448,11.033822526092994
2089,14_PE,Peru,29773.306,11.169434833436194
2090,14_PE,Peru,29437.215,11.306713897504858
2091,14_PE,Peru,29097.247,11.445680203740437
2092,14_PE,Peru,28754.098,11.58635448936276
2093,14_PE,Peru,28407.819,11.728757746464549
2094,14_PE,Peru,28057.84,11.872911225143955
2095,14_PE,Peru,27706.923,12.0188364366756
2096,14_PE,Peru,27352.947,12.166555156720598
2097,14_PE,Peru,26997.04,12.316089428576014
2098,14_PE,Peru,26639.451,12.467461566464278
2099,14_PE,Peru,26281.052,12.620694158863023
2100,14_PE,Peru,25921.232,12.775810071875837
