year,economy_code,economy,labour,efficiency
1990,15_PHL,Philippines,62011.501,2.115185678628539
1991,15_PHL,Philippines,63697.832,2.002038691236315
1992,15_PHL,Philippines,65066.665,1.929861654860975
1993,15_PHL,Philippines,66785.586,1.8994827381663706
1994,15_PHL,Philippines,68275.657,1.9417565882387773
1995,15_PHL,Philippines,69762.925,1.992644091671946
1996,15_PHL,Philippines,71329.566,2.0754381881704402
1997,15_PHL,Philippines,73050.919,2.126599596468749
1998,15_PHL,Philippines,74766.701,2.0099772967297636
1999,15_PHL,Philippines,76815.347,2.026969998273575
2000,15_PHL,Philippines,78691.166,2.0734493700489334
2001,15_PHL,Philippines,80559.628,2.087208385093721
2002,15_PHL,Philippines,82243.348,2.1282291542891674
2003,15_PHL,Philippines,83894.429,2.20657064335539
2004,15_PHL,Philippines,85569.241,2.341043228858938
2005,15_PHL,Philippines,87219.768,2.42912303923638
2006,15_PHL,Philippines,88812.155,2.5361276445445724
2007,15_PHL,Philippines,90205.817,2.6944474897278146
2008,15_PHL,Philippines,91944.551,2.7497368059849507
2009,15_PHL,Philippines,93453.638,2.6886816177538106
2010,15_PHL,Philippines,95314.862,2.852827907416426
2011,15_PHL,Philippines,97359.388,2.8813866685228406
2012,15_PHL,Philippines,99137.841,3.0500121854011355
2013,15_PHL,Philippines,101213.184,3.200704196009995
2014,15_PHL,Philippines,102939.488,3.346312766145312
2015,15_PHL,Philippines,104594.772,3.486394658683663
2016,15_PHL,Philippines,106031.211,3.6553063600365925
2017,15_PHL,Philippines,107440.227,3.8187692961248767
2018,15_PHL,Philippines,108799.16,3.9463127527507402
2019,15_PHL,Philippines,110131.413,4.083217247266899
2020,15_PHL,Philippines,111477.954,3.326815675550987
2021,15_PHL,Philippines,112684.574,3.5045353459799164
2022,15_PHL,Philippines,113517.326,3.800948497317
2023,15_PHL,Philippines,114411.351,3.9819828405338704
2024,15_PHL,Philippines,115371.047,4.174526591391474
2025,15_PHL,Philippines,116077.497,4.331781277533184
2026,15_PHL,Philippines,116777.969,4.5584657792046706
2027,15_PHL,Philippines,117468.463,4.796019240153517
2028,15_PHL,Philippines,118153.076,5.01480948601604
2029,15_PHL,Philippines,118829.996,5.241565207299231
2030,15_PHL,Philippines,119339.587,5.475286134560217
2031,15_PHL,Philippines,119836.946,5.727006285332291
2032,15_PHL,Philippines,120312.466,5.983018049774795
2033,15_PHL,Philippines,120776.279,6.241607306408625
2034,15_PHL,Philippines,121226.577,6.508378709996735
2035,15_PHL,Philippines,121553.895,6.783328675445191
2036,15_PHL,Philippines,121859.153,7.066713520623658
2037,15_PHL,Philippines,122144.499,7.356005134437727
2038,15_PHL,Philippines,122402.912,7.651599992491978
2039,15_PHL,Philippines,122632.204,7.954426444984666
2040,15_PHL,Philippines,122824.183,8.264204360252455
2041,15_PHL,Philippines,122986.792,8.580589528907808
2042,15_PHL,Philippines,123114.989,8.903092962401189
2043,15_PHL,Philippines,123208.654,9.231749144567429
2044,15_PHL,Philippines,123266.033,9.566501298915021
2045,15_PHL,Philippines,123286.253,9.907047554229795
2046,15_PHL,Philippines,123266.551,10.253086097137674
2047,15_PHL,Philippines,123204.24,10.604330862157017
2048,15_PHL,Philippines,123092.688,10.960550644067762
2049,15_PHL,Philippines,122932.563,11.321452330540666
2050,15_PHL,Philippines,122730.841,11.686689227079619
2051,15_PHL,Philippines,122477.461,12.055908768810529
2052,15_PHL,Philippines,122179.63,12.428750978663153
2053,15_PHL,Philippines,121824.345,12.804842789068546
2054,15_PHL,Philippines,121426.076,13.183781689355868
2055,15_PHL,Philippines,120984.731,13.565143930074381
2056,15_PHL,Philippines,120495.586,13.948492494806167
2057,15_PHL,Philippines,119957.959,14.333375392842946
2058,15_PHL,Philippines,119388.553,14.719323957128974
2059,15_PHL,Philippines,118782.196,15.105852128329134
2060,15_PHL,Philippines,118129.431,15.492459448919162
2061,15_PHL,Philippines,117440.407,15.87863276582649
2062,15_PHL,Philippines,116716.305,16.263846430992672
2063,15_PHL,Philippines,115956.311,16.647562949148007
2064,15_PHL,Philippines,115168.007,17.029234163937964
2065,15_PHL,Philippines,114348.301,17.408302864950965
2066,15_PHL,Philippines,113494.117,17.784204047066417
2067,15_PHL,Philippines,112621.877,18.156366049204735
2068,15_PHL,Philippines,111715.824,18.524211892506752
2069,15_PHL,Philippines,110787.771,18.887160756890957
2070,15_PHL,Philippines,109832.977,19.244629502265937
2071,15_PHL,Philippines,108851.561,19.596034148874658
2072,15_PHL,Philippines,107848.873,19.940791387583534
2073,15_PHL,Philippines,106817.156,20.278320153646366
2074,15_PHL,Philippines,105763.154,20.608043232386894
2075,15_PHL,Philippines,104681.387,20.929388872697103
2076,15_PHL,Philippines,103581.206,21.241792400333335
2077,15_PHL,Philippines,102456.481,21.54469784026319
2078,15_PHL,Philippines,101299.409,21.837559543415562
2079,15_PHL,Philippines,100126.527,22.134402178573072
2080,15_PHL,Philippines,98937.861,22.435279859399127
2081,15_PHL,Philippines,97722.117,22.740247435135778
2082,15_PHL,Philippines,96492.417,23.049360500602603
2083,15_PHL,Philippines,95241.085,23.362675406331494
2084,15_PHL,Philippines,93974.926,23.680249268839223
2085,15_PHL,Philippines,92688.355,24.002139981039633
2086,15_PHL,Philippines,91383.029,24.32840622279738
2087,15_PHL,Philippines,90065.759,24.659107471625113
2088,15_PHL,Philippines,88738.692,24.994304013526083
2089,15_PHL,Philippines,87403.648,25.334056953984124
2090,15_PHL,Philippines,86060.623,25.67842822910303
2091,15_PHL,Philippines,84711.378,26.027480616897353
2092,15_PHL,Philippines,83354.164,26.381277748736675
2093,15_PHL,Philippines,81996.486,26.73988412094544
2094,15_PHL,Philippines,80638.877,27.103365106560485
2095,15_PHL,Philippines,79285.251,27.471786967248363
2096,15_PHL,Philippines,77928.068,27.845216865384693
2097,15_PHL,Philippines,76574.34,28.223722876297682
2098,15_PHL,Philippines,75231.633,28.60737400067809
2099,15_PHL,Philippines,73896.443,28.996240177157876
2100,15_PHL,Philippines,72567.619,29.390392295059844
