year,economy_code,economy,labour,efficiency
1990,16_RUS,Russia,148642.381,6.93634024195128
1991,16_RUS,Russia,149316.7,6.170686348147189
1992,16_RUS,Russia,149580.166,4.727995955998494
1993,16_RUS,Russia,148251.816,4.120137314838132
1994,16_RUS,Russia,148019.032,3.3272954736839995
1995,16_RUS,Russia,148382.441,3.123448114440166
1996,16_RUS,Russia,148200.365,2.9709580746260036
1997,16_RUS,Russia,147968.8,3.0792840544599365
1998,16_RUS,Russia,147738.741,2.849958369622767
1999,16_RUS,Russia,147532.321,3.199378267661619
2000,16_RUS,Russia,146951.628,3.7973959011830454
2001,16_RUS,Russia,146483.937,4.164135249993898
2002,16_RUS,Russia,145750.631,4.544012800646346
2003,16_RUS,Russia,146128.369,5.111614311666723
2004,16_RUS,Russia,145460.09,5.768315883912832
2005,16_RUS,Russia,144900.103,6.412568258486525
2006,16_RUS,Russia,144295.666,7.30939251849383
2007,16_RUS,Russia,143910.23,8.329352756393801
2008,16_RUS,Russia,143809.297,8.982781457917831
2009,16_RUS,Russia,143814.384,7.806651971301712
2010,16_RUS,Russia,143923.88,8.345855429359721
2011,16_RUS,Russia,143945.051,8.869277390895366
2012,16_RUS,Russia,144142.446,9.384533489938546
2013,16_RUS,Russia,144439.612,9.567197400298152
2014,16_RUS,Russia,144768.583,9.6031424233235
2015,16_RUS,Russia,145082.693,9.241929948648473
2016,16_RUS,Russia,145532.538,9.212102641440035
2017,16_RUS,Russia,146024.816,9.419416998942099
2018,16_RUS,Russia,146348.782,9.797893560888403
2019,16_RUS,Russia,146511.509,10.102132271866793
2020,16_RUS,Russia,146554.625,9.626742226190318
2021,16_RUS,Russia,146187.972,10.573837270091898
2022,16_RUS,Russia,145484.378,10.325985839683895
2023,16_RUS,Russia,145675.42,10.89271534520154
2024,16_RUS,Russia,145205.581,11.465799921154288
2025,16_RUS,Russia,144218.086,11.659887853819146
2026,16_RUS,Russia,143131.288,11.919688115579618
2027,16_RUS,Russia,142595.699,12.215682976101167
2028,16_RUS,Russia,142022.542,12.521871760112132
2029,16_RUS,Russia,141443.96,12.816808116840045
2030,16_RUS,Russia,140733.849,13.109081598818044
2031,16_RUS,Russia,140016.085,13.49960313153344
2032,16_RUS,Russia,139269.881,13.809162523457086
2033,16_RUS,Russia,138547.856,14.18985497782984
2034,16_RUS,Russia,137835.643,14.54228180572827
2035,16_RUS,Russia,137048.689,14.863070226378507
2036,16_RUS,Russia,136269.841,15.198561853046368
2037,16_RUS,Russia,135495.957,15.542067953877318
2038,16_RUS,Russia,134725.929,15.889869952314916
2039,16_RUS,Russia,133974.638,16.241185305486095
2040,16_RUS,Russia,133227.239,16.597922305855594
2041,16_RUS,Russia,132509.761,16.961102520768385
2042,16_RUS,Russia,131799.653,17.318814821875865
2043,16_RUS,Russia,131111.665,17.68088320891309
2044,16_RUS,Russia,130418.738,18.038741959128334
2045,16_RUS,Russia,129746.499,18.39555191543523
2046,16_RUS,Russia,129089.614,18.755227641013565
2047,16_RUS,Russia,128444.995,19.11627208031592
2048,16_RUS,Russia,127778.297,19.477861098386104
2049,16_RUS,Russia,127099.552,19.839544760313753
2050,16_RUS,Russia,126410.189,20.200920461694658
2051,16_RUS,Russia,125701.382,20.5613031624383
2052,16_RUS,Russia,124975.434,20.91980592875729
2053,16_RUS,Russia,124248.143,21.27691463500573
2054,16_RUS,Russia,123466.944,21.631958114509768
2055,16_RUS,Russia,122679.788,21.98524013423468
2056,16_RUS,Russia,121867.068,22.336709689638106
2057,16_RUS,Russia,121055.268,22.68583343911806
2058,16_RUS,Russia,120240.121,23.032201072694665
2059,16_RUS,Russia,119392.152,23.37545667185717
2060,16_RUS,Russia,118540.727,23.715259236305453
2061,16_RUS,Russia,117711.044,24.051278482266717
2062,16_RUS,Russia,116848.916,24.38322950393846
2063,16_RUS,Russia,115995.015,24.710901191959866
2064,16_RUS,Russia,115114.261,25.034001363433994
2065,16_RUS,Russia,114232.225,25.36132613683565
2066,16_RUS,Russia,113343.828,25.692930749713508
2067,16_RUS,Russia,112466.938,26.028871161858667
2068,16_RUS,Russia,111605.436,26.369204064748132
2069,16_RUS,Russia,110739.739,26.713986891111762
2070,16_RUS,Russia,109854.574,27.0632778246243
2071,16_RUS,Russia,108976.94,27.417135809724137
2072,16_RUS,Russia,108086.98,27.775620561560444
2073,16_RUS,Russia,107244.605,28.138792576070397
2074,16_RUS,Russia,106408.33,28.506713140188122
2075,16_RUS,Russia,105586.451,28.879444342187153
2076,16_RUS,Russia,104777.659,29.257049082158115
2077,16_RUS,Russia,103999.275,29.639591082623394
2078,16_RUS,Russia,103215.995,30.02713489929061
2079,16_RUS,Russia,102451.116,30.41974593194668
2080,16_RUS,Russia,101708.509,30.81749043549434
2081,16_RUS,Russia,100992.301,31.220435531132946
2082,16_RUS,Russia,100293.114,31.628649217685503
2083,16_RUS,Russia,99597.899,32.04220038307376
2084,16_RUS,Russia,98915.65,32.46115881594338
2085,16_RUS,Russia,98237.847,32.88559521744106
2086,16_RUS,Russia,97562.676,33.3155812131457
2087,16_RUS,Russia,96898.844,33.75118936515555
2088,16_RUS,Russia,96257.922,34.19249318433336
2089,16_RUS,Russia,95616.822,34.63956714271172
2090,16_RUS,Russia,94975.229,35.09248668606051
2091,16_RUS,Russia,94330.939,35.55132824661876
2092,16_RUS,Russia,93693.48,36.01616925599291
2093,16_RUS,Russia,93028.722,36.48708815822374
2094,16_RUS,Russia,92382.997,36.96416442302421
2095,16_RUS,Russia,91738.138,37.447478559190266
2096,16_RUS,Russia,91075.215,37.937112128187124
2097,16_RUS,Russia,90387.201,38.43314775791311
2098,16_RUS,Russia,89708.332,38.9356691566435
2099,16_RUS,Russia,89004.183,39.44476112715668
2100,16_RUS,Russia,88295.592,39.960509581044995
