year,economy_code,economy,labour,efficiency
1990,18_CT,Chinese Taipei,20508.591,6.477921609589137
1991,18_CT,Chinese Taipei,20681.221,6.912180610035507
1992,18_CT,Chinese Taipei,20882.279,7.347213325768267
1993,18_CT,Chinese Taipei,21081.897,7.640580338829587
1994,18_CT,Chinese Taipei,21267.467,8.04370190226443
1995,18_CT,Chinese Taipei,21446.813,8.365490633500121
1996,18_CT,Chinese Taipei,21622.177,8.707090220149349
1997,18_CT,Chinese Taipei,21796.376,9.038798202434085
1998,18_CT,Chinese Taipei,21974.281,9.128152879849798
1999,18_CT,Chinese Taipei,22124.171,9.649963312384077
2000,18_CT,Chinese Taipei,22283.391,10.144401524314024
2001,18_CT,Chinese Taipei,22382.348,9.622551961035324
2002,18_CT,Chinese Taipei,22510.167,10.22335754932733
2003,18_CT,Chinese Taipei,22623.636,10.674886124858713
2004,18_CT,Chinese Taipei,22704.613,11.593272242801172
2005,18_CT,Chinese Taipei,22786.249,12.310679513720949
2006,18_CT,Chinese Taipei,22863.614,13.180041411169784
2007,18_CT,Chinese Taipei,22965.654,14.354432115882988
2008,18_CT,Chinese Taipei,23048.194,14.31804135796309
2009,18_CT,Chinese Taipei,23124.284,13.798024512712528
2010,18_CT,Chinese Taipei,23204.438,15.949041021388595
2011,18_CT,Chinese Taipei,23243.66,16.70656541650815
2012,18_CT,Chinese Taipei,23302.493,17.107046379290317
2013,18_CT,Chinese Taipei,23389.429,17.53180307420036
2014,18_CT,Chinese Taipei,23444.32,18.63884918307103
2015,18_CT,Chinese Taipei,23501.311,18.803725442863865
2016,18_CT,Chinese Taipei,23557.197,19.17768883910245
2017,18_CT,Chinese Taipei,23615.088,20.020460874193187
2018,18_CT,Chinese Taipei,23650.808,20.68674836101162
2019,18_CT,Chinese Taipei,23667.802,21.373195265827928
2020,18_CT,Chinese Taipei,23680.473,22.183097515240586
2021,18_CT,Chinese Taipei,23646.445,24.16864706252221
2022,18_CT,Chinese Taipei,23470.22,24.817275613176495
2023,18_CT,Chinese Taipei,23370.002,24.987410569654003
2024,18_CT,Chinese Taipei,23264.288,26.42329399138531
2025,18_CT,Chinese Taipei,23126.466,28.88706632449633
2026,18_CT,Chinese Taipei,22988.486,30.56556708859177
2027,18_CT,Chinese Taipei,22851.701,31.661874433362158
2028,18_CT,Chinese Taipei,22712.429,32.63617604771039
2029,18_CT,Chinese Taipei,22574.034,33.61507279059061
2030,18_CT,Chinese Taipei,22414.536,34.67399748028551
2031,18_CT,Chinese Taipei,22252.284,35.66972953918488
2032,18_CT,Chinese Taipei,22086.331,37.05855750943982
2033,18_CT,Chinese Taipei,21918.537,38.54629456923912
2034,18_CT,Chinese Taipei,21748.149,40.22207856750819
2035,18_CT,Chinese Taipei,21559.881,41.914447116494685
2036,18_CT,Chinese Taipei,21369.175,43.46356018530217
2037,18_CT,Chinese Taipei,21175.01,44.97801578571698
2038,18_CT,Chinese Taipei,20975.061,46.54063960255665
2039,18_CT,Chinese Taipei,20772.706,48.17602804231349
2040,18_CT,Chinese Taipei,20565.395,49.893667459299714
2041,18_CT,Chinese Taipei,20353.847,51.693262021771844
2042,18_CT,Chinese Taipei,20137.261,53.59576840319135
2043,18_CT,Chinese Taipei,19915.724,55.55686755993064
2044,18_CT,Chinese Taipei,19690.135,57.569973886094886
2045,18_CT,Chinese Taipei,19461.533,59.61434732391742
2046,18_CT,Chinese Taipei,19225.741,61.69218485187209
2047,18_CT,Chinese Taipei,18989.856,63.829462967488894
2048,18_CT,Chinese Taipei,18747.432,66.03950863833249
2049,18_CT,Chinese Taipei,18503.777,68.32529799863924
2050,18_CT,Chinese Taipei,18254.471,70.6866069381378
2051,18_CT,Chinese Taipei,18003.912,73.12179196508279
2052,18_CT,Chinese Taipei,17752.478,75.62903798050512
2053,18_CT,Chinese Taipei,17499.306,78.20323233721946
2054,18_CT,Chinese Taipei,17243.46,80.84507609421657
2055,18_CT,Chinese Taipei,16984.507,83.5563324031712
2056,18_CT,Chinese Taipei,16723.954,86.3420150491486
2057,18_CT,Chinese Taipei,16464.852,89.20748283302314
2058,18_CT,Chinese Taipei,16201.866,92.15505215520338
2059,18_CT,Chinese Taipei,15938.053,95.18543074588581
2060,18_CT,Chinese Taipei,15670.765,98.29900140002144
2061,18_CT,Chinese Taipei,15401.155,101.49624106514014
2062,18_CT,Chinese Taipei,15129.22,104.77793719010653
2063,18_CT,Chinese Taipei,14856.646,108.14525217815897
2064,18_CT,Chinese Taipei,14585.126,111.6002427031268
