year,economy_code,economy,labour,efficiency
1990,19_THA,Thailand,54281.477,4.07240156805612
1991,19_THA,Thailand,55195.181,4.229601933623473
1992,19_THA,Thailand,56079.687,4.42359648116706
1993,19_THA,Thailand,56977.982,4.625070280770346
1994,19_THA,Thailand,57838.415,4.808749680896744
1995,19_THA,Thailand,58683.293,5.009284463219378
1996,19_THA,Thailand,59513.172,5.0480001262180805
1997,19_THA,Thailand,60326.956,4.567653283432106
1998,19_THA,Thailand,61122.213,3.9349265284016783
1999,19_THA,Thailand,61923.048,4.1685354407811825
2000,19_THA,Thailand,62675.039,4.398806419745567
2001,19_THA,Thailand,63340.591,4.565345693214591
2002,19_THA,Thailand,63961.692,4.942280225703376
2003,19_THA,Thailand,64571.181,5.40806993459854
2004,19_THA,Thailand,65165.152,5.800445733459498
2005,19_THA,Thailand,65738.942,5.983053297658498
2006,19_THA,Thailand,66295.897,6.2647175943721285
2007,19_THA,Thailand,66839.477,6.622975940124741
2008,19_THA,Thailand,67365.312,6.603941332887756
2009,19_THA,Thailand,67874.349,6.383479811934794
2010,19_THA,Thailand,68367.811,7.006735852818775
2011,19_THA,Thailand,68791.084,6.909686478329742
2012,19_THA,Thailand,69223.332,7.520378080586148
2013,19_THA,Thailand,69648.864,7.6458865518547094
2014,19_THA,Thailand,70041.365,7.586205056729905
2015,19_THA,Thailand,70391.368,7.785172319836693
2016,19_THA,Thailand,70690.223,8.03994606729358
2017,19_THA,Thailand,71029.46,8.40324386507999
2018,19_THA,Thailand,71290.914,8.794523958180017
2019,19_THA,Thailand,71461.243,8.910955852127666
2020,19_THA,Thailand,71583.299,7.894444090193033
2021,19_THA,Thailand,71699.668,7.961317026023743
2022,19_THA,Thailand,71754.996,8.166852327101633
2023,19_THA,Thailand,71715.662,8.33022638435493
2024,19_THA,Thailand,71689.208,8.579015999147252
2025,19_THA,Thailand,71526.82,8.808509013448747
2026,19_THA,Thailand,71354.098,8.935834605401615
2027,19_THA,Thailand,71169.715,9.048674298822423
2028,19_THA,Thailand,70976.588,9.133477487733515
2029,19_THA,Thailand,70774.719,9.18510704358464
2030,19_THA,Thailand,70494.99,9.230060303067058
2031,19_THA,Thailand,70205.638,9.385042237544537
2032,19_THA,Thailand,69909.273,9.542626473548303
2033,19_THA,Thailand,69601.513,9.702183346211893
2034,19_THA,Thailand,69283.134,9.86122178907222
2035,19_THA,Thailand,68910.627,10.009580319430691
2036,19_THA,Thailand,68523.138,10.148453770253937
2037,19_THA,Thailand,68128.065,10.288664549627699
2038,19_THA,Thailand,67721.255,10.432034978036123
2039,19_THA,Thailand,67301.954,10.582163281086277
2040,19_THA,Thailand,66871.771,10.743699108481428
2041,19_THA,Thailand,66429.554,10.91884280869391
2042,19_THA,Thailand,65968.752,11.096307761301155
2043,19_THA,Thailand,65497.777,11.276060189325873
2044,19_THA,Thailand,65012.883,11.458136846213709
2045,19_THA,Thailand,64517.2,11.642872989427772
2046,19_THA,Thailand,64006.11,11.831842754533776
2047,19_THA,Thailand,63480.47,12.026667717657526
2048,19_THA,Thailand,62941.587,12.227887983500406
2049,19_THA,Thailand,62388.485,12.432474900550122
2050,19_THA,Thailand,61817.407,12.640484796832588
2051,19_THA,Thailand,61234.963,12.851974942807697
2052,19_THA,Thailand,60638.33,13.067003567137354
2053,19_THA,Thailand,60026.084,13.285629872717314
2054,19_THA,Thailand,59407.309,13.507914052977261
2055,19_THA,Thailand,58774.447,13.733917308453606
