year,economy_code,economy,labour,efficiency
1990,20_USA,United States of America,251834.166,18.869074108739756
1991,20_USA,United States of America,254912.608,18.356506643730366
1992,20_USA,United States of America,258030.237,18.941335634338916
1993,20_USA,United States of America,261181.802,19.285572384930223
1994,20_USA,United States of America,264084.66,20.041064077585848
1995,20_USA,United States of America,266864.96,20.378678710620616
1996,20_USA,United States of America,269546.629,21.065995173323117
1997,20_USA,United States of America,272174.763,21.994593467557692
1998,20_USA,United States of America,274761.262,22.939344821363157
1999,20_USA,United States of America,277477.403,24.003037834425186
2000,20_USA,United States of America,280093.565,24.838106737837684
2001,20_USA,United States of America,282874.696,24.493657799975857
2002,20_USA,United States of America,285684.581,24.522909370201123
2003,20_USA,United States of America,288484.095,24.98498260751269
2004,20_USA,United States of America,291332.104,25.857458071097685
2005,20_USA,United States of America,294240.403,26.574489286375687
2006,20_USA,United States of America,297192.924,27.027397664224857
2007,20_USA,United States of America,300267.495,27.195834963828585
2008,20_USA,United States of America,303420.956,26.61668267146161
2009,20_USA,United States of America,306519.709,25.06072440574562
2010,20_USA,United States of America,309527.2,25.766430781005738
2011,20_USA,United States of America,312598.38,25.981555167011642
2012,20_USA,United States of America,315611.776,26.475180270427938
2013,20_USA,United States of America,318618.933,26.894059323701523
2014,20_USA,United States of America,321602.585,27.47490821778462
2015,20_USA,United States of America,324628.169,28.246254178579697
2016,20_USA,United States of America,327624.824,28.518488014451403
2017,20_USA,United States of America,330734.029,29.072441215080637
2018,20_USA,United States of America,333675.29,29.877942180875248
2019,20_USA,United States of America,336437.705,30.541035351687107
2020,20_USA,United States of America,339142.428,28.927093985769027
2021,20_USA,United States of America,339729.889,31.504190517877102
2022,20_USA,United States of America,340592.993,32.38815319107535
2023,20_USA,United States of America,342475.098,33.41807628058771
2024,20_USA,United States of America,344479.572,34.151619530826196
2025,20_USA,United States of America,345812.738,34.75526058222681
2026,20_USA,United States of America,347055.822,35.431912288427995
2027,20_USA,United States of America,348208.426,36.156571473199214
2028,20_USA,United States of America,349315.912,36.89976770402603
2029,20_USA,United States of America,350431.931,37.63185052554218
2030,20_USA,United States of America,351137.024,38.3696005403894
2031,20_USA,United States of America,351815.072,39.3997992196706
2032,20_USA,United States of America,352460.153,40.212433621045896
2033,20_USA,United States of America,353078.989,41.01193805677957
2034,20_USA,United States of America,353668.043,41.77846286870775
2035,20_USA,United States of America,354011.113,42.54569359999726
2036,20_USA,United States of America,354304.772,43.32994508932362
2037,20_USA,United States of America,354561.216,44.12416432046719
2038,20_USA,United States of America,354788.665,44.92357548827633
2039,20_USA,United States of America,354989.994,45.726519121873686
2040,20_USA,United States of America,355120.648,46.53482336262798
2041,20_USA,United States of America,355210.031,47.34844644463897
2042,20_USA,United States of America,355252.904,48.131952435775105
2043,20_USA,United States of America,355291.927,48.90879692952313
2044,20_USA,United States of America,355257.067,49.67987730607487
2045,20_USA,United States of America,355164.017,50.448584879559895
2046,20_USA,United States of America,355029.822,51.21460191399043
2047,20_USA,United States of America,354834.971,51.97561038581037
2048,20_USA,United States of America,354621.999,52.729889431877325
2049,20_USA,United States of America,354342.518,53.47610485747339
2050,20_USA,United States of America,354033.764,54.212977263829295
2051,20_USA,United States of America,353690.754,54.93887412118884
2052,20_USA,United States of America,353319.278,55.67449053785169
2053,20_USA,United States of America,352889.243,56.4199566560441
2054,20_USA,United States of America,352434.25,57.17540436056095
2055,20_USA,United States of America,351893.647,57.94096730209825
2056,20_USA,United States of America,351302.223,58.716780920898096
2057,20_USA,United States of America,350694.882,59.50298247071016
2058,20_USA,United States of America,350102.63,60.29971104307408
2059,20_USA,United States of America,349512.794,61.107107591926976
2060,20_USA,United States of America,348865.984,61.9253149585404
2061,20_USA,United States of America,348170.866,62.754477896791265
2062,20_USA,United States of America,347491.682,63.5947430987711
2063,20_USA,United States of America,346794.911,64.44625922073817
2064,20_USA,United States of America,346078.243,65.3091769094172
2065,20_USA,United States of America,345317.044,66.1836488286511
2066,20_USA,United States of America,344559.781,67.06982968640966
2067,20_USA,United States of America,343811.078,67.96787626215985
2068,20_USA,United States of America,343067.723,68.87794743460258
2069,20_USA,United States of America,342293.209,69.80020420978087
2070,20_USA,United States of America,341530.129,70.73480974956442
2071,20_USA,United States of America,340708.075,71.68192940051544
2072,20_USA,United States of America,339909.818,72.6417307231412
2073,20_USA,United States of America,339038.261,73.614383521538
2074,20_USA,United States of America,338166.65,74.60005987343239
2075,20_USA,United States of America,337253.664,75.59893416062428
2076,20_USA,United States of America,336381.586,76.61118309983799
2077,20_USA,United States of America,335450.127,77.63698577398614
2078,20_USA,United States of America,334475.841,78.67652366385232
2079,20_USA,United States of America,333484.223,79.7299806801979
2080,20_USA,United States of America,332437.382,80.79754319629876
2081,20_USA,United States of America,331358.862,81.87940008091773
2082,20_USA,United States of America,330359.532,82.9757427317184
2083,20_USA,United States of America,329278.511,84.08676510912645
2084,20_USA,United States of America,328179.692,85.21266377064433
2085,20_USA,United States of America,327058.589,86.35363790562539
2086,20_USA,United States of America,325866.38,87.50988937051366
2087,20_USA,United States of America,324713.784,88.68162272455544
2088,20_USA,United States of America,323551.714,89.86904526598906
2089,20_USA,United States of America,322424.329,91.07236706871929
2090,20_USA,United States of America,321252.916,92.29180101948269
2091,20_USA,United States of America,320043.697,93.52756285551071
2092,20_USA,United States of America,318846.099,94.77987120269697
2093,20_USA,United States of America,317633.887,96.0489476142757
2094,20_USA,United States of America,316385.519,97.33501661001802
2095,20_USA,United States of America,315136.148,98.63830571595302
2096,20_USA,United States of America,313846.506,99.95904550462079
2097,20_USA,United States of America,312490.297,101.29746963586427
2098,20_USA,United States of America,311127.009,102.65381489816751
2099,20_USA,United States of America,309696.14,104.02832125054718
2100,20_USA,United States of America,308258.94,105.42123186500524
