year,economy_code,economy,labour,efficiency
1990,21_VN,Viet Nam,64808.586,2.198865383970826
1991,21_VN,Viet Nam,66200.519,2.2864485193769886
1992,21_VN,Viet Nam,67583.031,2.417456439778074
1993,21_VN,Viet Nam,68937.644,2.4855433921098418
1994,21_VN,Viet Nam,70235.124,2.5574158520572894
1995,21_VN,Viet Nam,71473.658,2.6627352610681903
1996,21_VN,Viet Nam,72626.222,2.7710881957078413
1997,21_VN,Viet Nam,73686.671,2.850570145060609
1998,21_VN,Viet Nam,74767.106,2.832832774873485
1999,21_VN,Viet Nam,75832.215,2.8068698009829345
2000,21_VN,Viet Nam,76742.689,2.885372958647633
2001,21_VN,Viet Nam,77565.332,2.9622876894546333
2002,21_VN,Viet Nam,78373.39,3.049212470865904
2003,21_VN,Viet Nam,79171.058,3.1629033770607253
2004,21_VN,Viet Nam,79956.496,3.3129235275670315
2005,21_VN,Viet Nam,80721.447,3.471680006647928
2006,21_VN,Viet Nam,81455.179,3.717325199967523
2007,21_VN,Viet Nam,82880.614,3.8787762272262287
2008,21_VN,Viet Nam,84386.137,3.970275712081259
2009,21_VN,Viet Nam,85965.438,4.042755305504496
2010,21_VN,Viet Nam,86954.597,4.189753218826232
2011,21_VN,Viet Nam,87955.706,4.2902387889680575
2012,21_VN,Viet Nam,88980.922,4.358341215823176
2013,21_VN,Viet Nam,90039.789,4.438347440055447
2014,21_VN,Viet Nam,91106.419,4.577471553893715
2015,21_VN,Viet Nam,92252.737,4.75300655709245
2016,21_VN,Viet Nam,93393.771,4.909304902585506
2017,21_VN,Viet Nam,94606.462,5.081796868713342
2018,21_VN,Viet Nam,95747.492,5.3146226710335505
2019,21_VN,Viet Nam,96727.147,5.5670420987073275
2020,21_VN,Viet Nam,97620.404,5.458557403831117
2021,21_VN,Viet Nam,98537.978,5.347255913224388
2022,21_VN,Viet Nam,99332.219,5.758251231468897
2023,21_VN,Viet Nam,100029.091,5.901721727068023
2024,21_VN,Viet Nam,100675.292,6.276628653887175
2025,21_VN,Viet Nam,101123.634,6.749881271863731
2026,21_VN,Viet Nam,101546.386,7.0354829532788985
2027,21_VN,Viet Nam,101934.792,7.421397348264304
2028,21_VN,Viet Nam,102302.328,7.795813531319408
2029,21_VN,Viet Nam,102648.941,8.228932980020645
2030,21_VN,Viet Nam,102867.619,8.673003586293659
2031,21_VN,Viet Nam,103086.352,9.10385773267998
2032,21_VN,Viet Nam,103280.382,9.56952660096412
2033,21_VN,Viet Nam,103461.608,10.05192975416654
2034,21_VN,Viet Nam,103621.337,10.558569487601718
2035,21_VN,Viet Nam,103704.048,11.079857594733879
2036,21_VN,Viet Nam,103770.328,11.616703309148779
2037,21_VN,Viet Nam,103811.678,12.176713897210666
2038,21_VN,Viet Nam,103843.754,12.75655302664314
2039,21_VN,Viet Nam,103853.707,13.356880943656623
2040,21_VN,Viet Nam,103843.484,13.976533085610988
2041,21_VN,Viet Nam,103801.679,14.616604582461525
2042,21_VN,Viet Nam,103741.026,15.27822383577395
2043,21_VN,Viet Nam,103647.064,15.960800136258854
2044,21_VN,Viet Nam,103515.462,16.664479303406278
2045,21_VN,Viet Nam,103345.047,17.389275578187128
2046,21_VN,Viet Nam,103144.387,18.13551522477077
2047,21_VN,Viet Nam,102899.195,18.903324183873764
2048,21_VN,Viet Nam,102616.754,19.692571851532005
2049,21_VN,Viet Nam,102290.117,20.50325334775816
2050,21_VN,Viet Nam,101922.878,21.335329669194852
2051,21_VN,Viet Nam,101523.338,22.188753121167977
2052,21_VN,Viet Nam,101074.702,23.063385402447143
2053,21_VN,Viet Nam,100593.004,23.95902711073299
2054,21_VN,Viet Nam,100081.054,24.875468231519267
2055,21_VN,Viet Nam,99534.605,25.812453585474152
2056,21_VN,Viet Nam,98958.582,26.769680626793516
2057,21_VN,Viet Nam,98360.677,27.746790336066105
2058,21_VN,Viet Nam,97730.715,28.743376510728893
2059,21_VN,Viet Nam,97068.905,29.758989778009326
2060,21_VN,Viet Nam,96386.075,30.793129951307566
2061,21_VN,Viet Nam,95688.884,31.845245206065318
2062,21_VN,Viet Nam,94967.602,32.91473159554626
2063,21_VN,Viet Nam,94223.138,34.000934680371145
2064,21_VN,Viet Nam,93462.482,35.10314922767071
2065,21_VN,Viet Nam,92688.881,36.22061784899361
2066,21_VN,Viet Nam,91896.815,37.35253118445219
2067,21_VN,Viet Nam,91084.402,38.49802831532859
2068,21_VN,Viet Nam,90261.53,39.65619737394315
2069,21_VN,Viet Nam,89432.455,40.82607588564957
2070,21_VN,Viet Nam,88593.006,42.0066512506435
2071,21_VN,Viet Nam,87733.518,43.19686165116491
2072,21_VN,Viet Nam,86867.027,44.39559710785089
2073,21_VN,Viet Nam,85981.4,45.601700664532935
2074,21_VN,Viet Nam,85086.335,46.813969683889745
2075,21_VN,Viet Nam,84186.754,48.031157342558785
2076,21_VN,Viet Nam,83278.395,49.251974336781075
2077,21_VN,Viet Nam,82366.788,50.475090745019415
2078,21_VN,Viet Nam,81438.86,51.69913804755321
2079,21_VN,Viet Nam,80510.73,52.92271130788578
2080,21_VN,Viet Nam,79571.347,54.14437152587297
2081,21_VN,Viet Nam,78631.362,55.36264815399944
2082,21_VN,Viet Nam,77686.769,56.57604176392055
2083,21_VN,Viet Nam,76741.092,57.78302686005974
2084,21_VN,Viet Nam,75800.195,58.98205483636408
2085,21_VN,Viet Nam,74864.712,60.17155707038554
2086,21_VN,Viet Nam,73929.712,61.349948145375286
2087,21_VN,Viet Nam,72991.292,62.51562919109392
2088,21_VN,Viet Nam,72050.896,63.666991335021
2089,21_VN,Viet Nam,71117.26,64.80241925463241
2090,21_VN,Viet Nam,70179.71,65.92029482034583
2091,21_VN,Viet Nam,69239.666,67.0190008178841
2092,21_VN,Viet Nam,68303.977,68.09692473855777
2093,21_VN,Viet Nam,67370.179,69.15246262566018
