economy_code,economy,year,variable,value
03_CDA,Canada,1990,Population,27593.691
03_CDA,Canada,1991,Population,27985.194
03_CDA,Canada,1992,Population,28329.121
03_CDA,Canada,1993,Population,28670.998
03_CDA,Canada,1994,Population,28990.276
03_CDA,Canada,1995,Population,29304.487
03_CDA,Canada,1996,Population,29613.776
03_CDA,Canada,1997,Population,29920.635
03_CDA,Canada,1998,Population,30197.543
03_CDA,Canada,1999,Population,30462.396
03_CDA,Canada,2000,Population,30736.515
03_CDA,Canada,2001,Population,31047.091
03_CDA,Canada,2002,Population,31380.063
03_CDA,Canada,2003,Population,31691.092
03_CDA,Canada,2004,Population,31981.872
03_CDA,Canada,2005,Population,32283.483
03_CDA,Canada,2006,Population,32596.863
03_CDA,Canada,2007,Population,32921.479
03_CDA,Canada,2008,Population,33262.864
03_CDA,Canada,2009,Population,33635.306
03_CDA,Canada,2010,Population,34017.435
03_CDA,Canada,2011,Population,34376.362
03_CDA,Canada,2012,Population,34734.543
03_CDA,Canada,2013,Population,35110.489
03_CDA,Canada,2014,Population,35476.376
03_CDA,Canada,2015,Population,35792.151
03_CDA,Canada,2016,Population,36132.317
03_CDA,Canada,2017,Population,36574.369
03_CDA,Canada,2018,Population,37042.624
03_CDA,Canada,2019,Population,37547.386
03_CDA,Canada,2020,Population,38018.483
03_CDA,Canada,2021,Population,38325.321
03_CDA,Canada,2022,Population,38582.793
03_CDA,Canada,2023,Population,39059.725
03_CDA,Canada,2024,Population,39538.484
03_CDA,Canada,2025,Population,39946.376
03_CDA,Canada,2026,Population,40307.07
03_CDA,Canada,2027,Population,40628.385
03_CDA,Canada,2028,Population,40936.083
03_CDA,Canada,2029,Population,41234.923
03_CDA,Canada,2030,Population,41517.67
03_CDA,Canada,2031,Population,41793.508
03_CDA,Canada,2032,Population,42063.722
03_CDA,Canada,2033,Population,42319.814
03_CDA,Canada,2034,Population,42556.246
03_CDA,Canada,2035,Population,42796.698
03_CDA,Canada,2036,Population,43013.836
03_CDA,Canada,2037,Population,43235.065
03_CDA,Canada,2038,Population,43450.947
03_CDA,Canada,2039,Population,43660.957
03_CDA,Canada,2040,Population,43857.762
03_CDA,Canada,2041,Population,44045.072
03_CDA,Canada,2042,Population,44230.739
03_CDA,Canada,2043,Population,44413.16
03_CDA,Canada,2044,Population,44589.112
03_CDA,Canada,2045,Population,44762.496
03_CDA,Canada,2046,Population,44937.696
03_CDA,Canada,2047,Population,45095.813
03_CDA,Canada,2048,Population,45251.16
03_CDA,Canada,2049,Population,45407.274
03_CDA,Canada,2050,Population,45546.625
03_CDA,Canada,2051,Population,45697.139
03_CDA,Canada,2052,Population,45845.787
03_CDA,Canada,2053,Population,46000.122
03_CDA,Canada,2054,Population,46141.898
03_CDA,Canada,2055,Population,46284.533
03_CDA,Canada,2056,Population,46429.611
03_CDA,Canada,2057,Population,46578.674
03_CDA,Canada,2058,Population,46732.895
03_CDA,Canada,2059,Population,46899.496
03_CDA,Canada,2060,Population,47064.787
03_CDA,Canada,2061,Population,47225.79
03_CDA,Canada,2062,Population,47394.042
03_CDA,Canada,2063,Population,47569.807
03_CDA,Canada,2064,Population,47743.837
03_CDA,Canada,2065,Population,47916.111
03_CDA,Canada,2066,Population,48087.944
03_CDA,Canada,2067,Population,48260.381
03_CDA,Canada,2068,Population,48441.498
03_CDA,Canada,2069,Population,48608.984
03_CDA,Canada,2070,Population,48775.638
03_CDA,Canada,2071,Population,48939.976
03_CDA,Canada,2072,Population,49105.9
03_CDA,Canada,2073,Population,49268.697
03_CDA,Canada,2074,Population,49423.68
03_CDA,Canada,2075,Population,49579.93
03_CDA,Canada,2076,Population,49743.128
03_CDA,Canada,2077,Population,49909.099
03_CDA,Canada,2078,Population,50059.406
03_CDA,Canada,2079,Population,50221.045
03_CDA,Canada,2080,Population,50373.295
03_CDA,Canada,2081,Population,50525.244
03_CDA,Canada,2082,Population,50687.393
03_CDA,Canada,2083,Population,50831.829
03_CDA,Canada,2084,Population,50989.689
03_CDA,Canada,2085,Population,51139.69
03_CDA,Canada,2086,Population,51283.778
03_CDA,Canada,2087,Population,51431.482
03_CDA,Canada,2088,Population,51572.957
03_CDA,Canada,2089,Population,51744.133
03_CDA,Canada,2090,Population,51887.28
03_CDA,Canada,2091,Population,52026.216
03_CDA,Canada,2092,Population,52184.285
03_CDA,Canada,2093,Population,52335.102
03_CDA,Canada,2094,Population,52494.524
03_CDA,Canada,2095,Population,52652.875
03_CDA,Canada,2096,Population,52815.322
03_CDA,Canada,2097,Population,52981.213
03_CDA,Canada,2098,Population,53167.495
03_CDA,Canada,2099,Population,53349.202
03_CDA,Canada,2100,Population,53524.621
03_CDA,Canada,1990,Labour efficiency,16.162924091620617
03_CDA,Canada,1991,Labour efficiency,15.088975388181655
03_CDA,Canada,1992,Labour efficiency,14.875241726627804
03_CDA,Canada,1993,Labour efficiency,15.12083300258307
03_CDA,Canada,1994,Labour efficiency,15.818154275728336
03_CDA,Canada,1995,Labour efficiency,16.110327696605335
03_CDA,Canada,1996,Labour efficiency,16.131861713402238
03_CDA,Canada,1997,Labour efficiency,16.788883694132334
03_CDA,Canada,1998,Labour efficiency,17.390317245508072
03_CDA,Canada,1999,Labour efficiency,18.38573734995643
03_CDA,Canada,2000,Labour efficiency,19.43428351461086
03_CDA,Canada,2001,Labour efficiency,19.456642665646847
03_CDA,Canada,2002,Labour efficiency,19.846906070734672
03_CDA,Canada,2003,Labour efficiency,19.85247521607421
03_CDA,Canada,2004,Labour efficiency,20.25055399014253
03_CDA,Canada,2005,Labour efficiency,20.64619619484011
03_CDA,Canada,2006,Labour efficiency,20.83427736446425
03_CDA,Canada,2007,Labour efficiency,20.83491967831812
03_CDA,Canada,2008,Labour efficiency,20.49384285838229
03_CDA,Canada,2009,Labour efficiency,18.981210237500196
03_CDA,Canada,2010,Labour efficiency,19.358390176348863
03_CDA,Canada,2011,Labour efficiency,19.75880248555158
03_CDA,Canada,2012,Labour efficiency,19.70443769382827
03_CDA,Canada,2013,Labour efficiency,19.840001621598223
03_CDA,Canada,2014,Labour efficiency,20.165071135674314
03_CDA,Canada,2015,Labour efficiency,19.85466982898912
03_CDA,Canada,2016,Labour efficiency,19.714813529262603
03_CDA,Canada,2017,Labour efficiency,20.157279708200427
03_CDA,Canada,2018,Labour efficiency,20.49636488237586
03_CDA,Canada,2019,Labour efficiency,20.551943173772575
03_CDA,Canada,2020,Labour efficiency,18.37598764893015
03_CDA,Canada,2021,Labour efficiency,19.669915424146293
03_CDA,Canada,2022,Labour efficiency,20.671515191955127
03_CDA,Canada,2023,Labour efficiency,20.724684651577938
03_CDA,Canada,2024,Labour efficiency,20.892683108366718
03_CDA,Canada,2025,Labour efficiency,21.03972412725369
03_CDA,Canada,2026,Labour efficiency,21.225100291900567
03_CDA,Canada,2027,Labour efficiency,21.445761671612363
03_CDA,Canada,2028,Labour efficiency,21.642881201536525
03_CDA,Canada,2029,Labour efficiency,21.82529810729576
03_CDA,Canada,2030,Labour efficiency,22.0217297685802
