economy_code,economy,year,variable,value
04_CHL,Chile,1990,Population,13324.345
04_CHL,Chile,1991,Population,13550.007
04_CHL,Chile,1992,Population,13774.975
04_CHL,Chile,1993,Population,13994.18
04_CHL,Chile,1994,Population,14210.372
04_CHL,Chile,1995,Population,14422.14
04_CHL,Chile,1996,Population,14632.623
04_CHL,Chile,1997,Population,14835.468
04_CHL,Chile,1998,Population,15029.401
04_CHL,Chile,1999,Population,15226.197
04_CHL,Chile,2000,Population,15412.428
04_CHL,Chile,2001,Population,15594.842
04_CHL,Chile,2002,Population,15772.856
04_CHL,Chile,2003,Population,15942.995
04_CHL,Chile,2004,Population,16106.508
04_CHL,Chile,2005,Population,16268.135
04_CHL,Chile,2006,Population,16429.42
04_CHL,Chile,2007,Population,16588.969
04_CHL,Chile,2008,Population,16754.192
04_CHL,Chile,2009,Population,16923.784
04_CHL,Chile,2010,Population,17095.677
04_CHL,Chile,2011,Population,17267.251
04_CHL,Chile,2012,Population,17436.38
04_CHL,Chile,2013,Population,17601.858
04_CHL,Chile,2014,Population,17772.155
04_CHL,Chile,2015,Population,17956.235
04_CHL,Chile,2016,Population,18139.016
04_CHL,Chile,2017,Population,18395.427
04_CHL,Chile,2018,Population,18722.308
04_CHL,Chile,2019,Population,19064.074
04_CHL,Chile,2020,Population,19331.414
04_CHL,Chile,2021,Population,19409.834
04_CHL,Chile,2022,Population,19502.834
04_CHL,Chile,2023,Population,19603.239
04_CHL,Chile,2024,Population,19714.431
04_CHL,Chile,2025,Population,19815.112
04_CHL,Chile,2026,Population,19904.73
04_CHL,Chile,2027,Population,19986.969
04_CHL,Chile,2028,Population,20065.339
04_CHL,Chile,2029,Population,20136.528
04_CHL,Chile,2030,Population,20202.719
04_CHL,Chile,2031,Population,20263.647
04_CHL,Chile,2032,Population,20318.324
04_CHL,Chile,2033,Population,20365.29
04_CHL,Chile,2034,Population,20404.855
04_CHL,Chile,2035,Population,20440.243
04_CHL,Chile,2036,Population,20471.637
04_CHL,Chile,2037,Population,20498.535
04_CHL,Chile,2038,Population,20517.364
