economy_code,economy,year,variable,value
05_PRC,China,1990,Population,1143536.292
05_PRC,China,1991,Population,1163629.156
05_PRC,China,1992,Population,1177947.9
05_PRC,China,1993,Population,1191200.574
05_PRC,China,1994,Population,1203416.576
05_PRC,China,1995,Population,1214589.617
05_PRC,China,1996,Population,1225678.238
05_PRC,China,1997,Population,1236211.386
05_PRC,China,1998,Population,1246067.858
05_PRC,China,1999,Population,1255626.395
05_PRC,China,2000,Population,1264726.915
05_PRC,China,2001,Population,1274435.436
05_PRC,China,2002,Population,1283014.689
05_PRC,China,2003,Population,1290718.988
05_PRC,China,2004,Population,1298315.664
05_PRC,China,2005,Population,1305884.967
05_PRC,China,2006,Population,1314169.304
05_PRC,China,2007,Population,1321938.768
05_PRC,China,2008,Population,1329688.395
05_PRC,China,2009,Population,1337953.637
05_PRC,China,2010,Population,1347091.795
05_PRC,China,2011,Population,1356031.233
05_PRC,China,2012,Population,1364470.096
05_PRC,China,2013,Population,1374571.633
05_PRC,China,2014,Population,1383444.448
05_PRC,China,2015,Population,1392459.496
05_PRC,China,2016,Population,1399808.851
05_PRC,China,2017,Population,1408296.413
05_PRC,China,2018,Population,1416413.041
05_PRC,China,2019,Population,1421604.871
05_PRC,China,2020,Population,1425435.844
05_PRC,China,2021,Population,1426776.342
05_PRC,China,2022,Population,1426098.192
05_PRC,China,2023,Population,1424260.946
05_PRC,China,2024,Population,1420908.919
05_PRC,China,2025,Population,1417733.636
05_PRC,China,2026,Population,1414458.552
05_PRC,China,2027,Population,1411369.625
05_PRC,China,2028,Population,1407989.187
05_PRC,China,2029,Population,1404284.3
05_PRC,China,2030,Population,1400281.205
05_PRC,China,2031,Population,1396026.459
05_PRC,China,2032,Population,1391470.88
05_PRC,China,2033,Population,1386649.184
05_PRC,China,2034,Population,1381543.858
05_PRC,China,2035,Population,1376210.011
05_PRC,China,2036,Population,1370645.051
05_PRC,China,2037,Population,1364840.518
05_PRC,China,2038,Population,1358819.609
05_PRC,China,2039,Population,1352625.805
05_PRC,China,2040,Population,1346163.63
05_PRC,China,2041,Population,1339469.683
05_PRC,China,2042,Population,1332510.78
05_PRC,China,2043,Population,1325307.695
05_PRC,China,2044,Population,1317873.9
05_PRC,China,2045,Population,1310158.073
05_PRC,China,2046,Population,1302069.502
05_PRC,China,2047,Population,1293565.661
05_PRC,China,2048,Population,1284675.192
05_PRC,China,2049,Population,1275309.978
05_PRC,China,2050,Population,1265452.312
05_PRC,China,2051,Population,1255125.875
05_PRC,China,2052,Population,1244259.201
05_PRC,China,2053,Population,1232855.063
05_PRC,China,2054,Population,1221004.646
05_PRC,China,2055,Population,1208702.046
05_PRC,China,2056,Population,1195982.896
05_PRC,China,2057,Population,1182898.442
05_PRC,China,2058,Population,1169537.449
05_PRC,China,2059,Population,1155907.968
05_PRC,China,2060,Population,1142096.367
05_PRC,China,2061,Population,1128158.014
05_PRC,China,2062,Population,1114191.419
05_PRC,China,2063,Population,1100222.847
05_PRC,China,2064,Population,1086330.56
05_PRC,China,2065,Population,1072485.204
05_PRC,China,2066,Population,1058779.855
05_PRC,China,2067,Population,1045198.415
05_PRC,China,2068,Population,1031747.221
05_PRC,China,2069,Population,1018459.683
05_PRC,China,2070,Population,1005296.697
05_PRC,China,2071,Population,992271.941
05_PRC,China,2072,Population,979341.179
05_PRC,China,2073,Population,966470.163
05_PRC,China,2074,Population,953640.603
05_PRC,China,2075,Population,940858.23
05_PRC,China,2076,Population,928075.091
05_PRC,China,2077,Population,915280.168
05_PRC,China,2078,Population,902468.895
05_PRC,China,2079,Population,889618.682
05_PRC,China,2080,Population,876715.269
05_PRC,China,2081,Population,863789.419
05_PRC,China,2082,Population,850868.01
05_PRC,China,2083,Population,838010.383
05_PRC,China,2084,Population,825198.952
05_PRC,China,2085,Population,812431.761
05_PRC,China,2086,Population,799798.347
05_PRC,China,2087,Population,787320.161
05_PRC,China,2088,Population,774987.274
05_PRC,China,2089,Population,762810.991
05_PRC,China,2090,Population,750807.23
05_PRC,China,2091,Population,738998.443
05_PRC,China,2092,Population,727360.47
05_PRC,China,2093,Population,715865.031
05_PRC,China,2094,Population,704506.905
05_PRC,China,2095,Population,693280.636
05_PRC,China,2096,Population,682167.534
05_PRC,China,2097,Population,671154.22
05_PRC,China,2098,Population,660236.787
05_PRC,China,2099,Population,649413.991
05_PRC,China,2100,Population,638684.81
05_PRC,China,1990,Labour efficiency,0.7769012201742964
05_PRC,China,1991,Labour efficiency,0.8511126892091129
05_PRC,China,1992,Labour efficiency,0.9927522031344542
05_PRC,China,1993,Labour efficiency,1.1315473967341545
05_PRC,China,1994,Labour efficiency,1.276641488716401
05_PRC,China,1995,Labour efficiency,1.4011103207670073
05_PRC,China,1996,Labour efficiency,1.5154633334930123
05_PRC,China,1997,Labour efficiency,1.6282916350188978
05_PRC,China,1998,Labour efficiency,1.7064513821272682
05_PRC,China,1999,Labour efficiency,1.7921522693716496
05_PRC,China,2000,Labour efficiency,1.9121230591865874
05_PRC,China,2001,Labour efficiency,2.027774911908837
05_PRC,China,2002,Labour efficiency,2.174419018332051
05_PRC,China,2003,Labour efficiency,2.3470877161292147
05_PRC,China,2004,Labour efficiency,2.5332341577294923
05_PRC,China,2005,Labour efficiency,2.7889835020274467
05_PRC,China,2006,Labour efficiency,3.1263976477971966
05_PRC,China,2007,Labour efficiency,3.585141480533362
05_PRC,China,2008,Labour efficiency,3.845502636712148
05_PRC,China,2009,Labour efficiency,4.060785368397456
05_PRC,China,2010,Labour efficiency,4.372637945062376
05_PRC,China,2011,Labour efficiency,4.655067742084999
05_PRC,China,2012,Labour efficiency,4.853392138827997
05_PRC,China,2013,Labour efficiency,5.061695832322401
05_PRC,China,2014,Labour efficiency,5.280596954425572
05_PRC,China,2015,Labour efficiency,5.491523515163691
05_PRC,China,2016,Labour efficiency,5.71277397829922
05_PRC,China,2017,Labour efficiency,5.964815268078022
05_PRC,China,2018,Labour efficiency,6.222404261632965
05_PRC,China,2019,Labour efficiency,6.448735394851562
05_PRC,China,2020,Labour efficiency,6.328131994709436
05_PRC,China,2021,Labour efficiency,6.886766835575523
05_PRC,China,2022,Labour efficiency,6.907224179306059
05_PRC,China,2023,Labour efficiency,7.202615405946342
05_PRC,China,2024,Labour efficiency,7.577576939337197
05_PRC,China,2025,Labour efficiency,7.9712340729972055
05_PRC,China,2026,Labour efficiency,8.25284838666627
05_PRC,China,2027,Labour efficiency,8.540317871612713
05_PRC,China,2028,Labour efficiency,8.829870055194895
05_PRC,China,2029,Labour efficiency,9.1210446147562
05_PRC,China,2030,Labour efficiency,9.418722100860649
05_PRC,China,2031,Labour efficiency,9.774468718655292
05_PRC,China,2032,Labour efficiency,10.094283208945997
05_PRC,China,2033,Labour efficiency,10.45459115435163
05_PRC,China,2034,Labour efficiency,10.820367279488016
05_PRC,China,2035,Labour efficiency,11.180468382250151
05_PRC,China,2036,Labour efficiency,11.531679320029863
05_PRC,China,2037,Labour efficiency,11.88940709596709
05_PRC,China,2038,Labour efficiency,12.253700465295667
05_PRC,China,2039,Labour efficiency,12.625156255624328
05_PRC,China,2040,Labour efficiency,13.004511046080845
05_PRC,China,2041,Labour efficiency,13.391897897896945
05_PRC,China,2042,Labour efficiency,13.780135730786078
05_PRC,China,2043,Labour efficiency,14.174490336850104
05_PRC,China,2044,Labour efficiency,14.57009964925291
05_PRC,China,2045,Labour efficiency,14.966438877500853
05_PRC,China,2046,Labour efficiency,15.364463262340337
05_PRC,China,2047,Labour efficiency,15.765669619178459
05_PRC,China,2048,Labour efficiency,16.169613645472612
05_PRC,China,2049,Labour efficiency,16.575792842500757
05_PRC,China,2050,Labour efficiency,16.98356599333258
05_PRC,China,2051,Labour efficiency,17.392119609914122
05_PRC,China,2052,Labour efficiency,17.80053071033711
05_PRC,China,2053,Labour efficiency,18.20872787186862
05_PRC,China,2054,Labour efficiency,18.61593245365833
05_PRC,China,2055,Labour efficiency,19.021917536333675
05_PRC,China,2056,Labour efficiency,19.426496572957294
05_PRC,China,2057,Labour efficiency,19.829335325916226
05_PRC,China,2058,Labour efficiency,20.229867208623585
05_PRC,China,2059,Labour efficiency,20.627519180765447
05_PRC,China,2060,Labour efficiency,21.021718381162838
05_PRC,China,2061,Labour efficiency,21.411909592799915
05_PRC,China,2062,Labour efficiency,21.797578537911917
05_PRC,China,2063,Labour efficiency,22.178269421034802
05_PRC,China,2064,Labour efficiency,22.553484328646906
05_PRC,China,2065,Labour efficiency,22.922766752361404
05_PRC,China,2066,Labour efficiency,23.28563750514859
05_PRC,China,2067,Labour efficiency,23.64158760841895
05_PRC,China,2068,Labour efficiency,23.99009345395664
05_PRC,China,2069,Labour efficiency,24.33064354001006
05_PRC,China,2070,Labour efficiency,24.662740360286946
05_PRC,China,2071,Labour efficiency,24.98590167846069
05_PRC,China,2072,Labour efficiency,25.299659852152857
05_PRC,China,2073,Labour efficiency,25.60355836448359
05_PRC,China,2074,Labour efficiency,25.897146021358857
05_PRC,China,2075,Labour efficiency,26.179982429682106
05_PRC,China,2076,Labour efficiency,26.451634248760467
05_PRC,China,2077,Labour efficiency,26.726104813458953
05_PRC,China,2078,Labour efficiency,27.003423371978062
05_PRC,China,2079,Labour efficiency,27.283619476006926
05_PRC,China,2080,Labour efficiency,27.566722983872385
05_PRC,China,2081,Labour efficiency,27.852764063720777
05_PRC,China,2082,Labour efficiency,28.141773196732714
05_PRC,China,2083,Labour efficiency,28.433781180371227
05_PRC,China,2084,Labour efficiency,28.72881913166361
05_PRC,China,2085,Labour efficiency,29.02691849051732
05_PRC,China,2086,Labour efficiency,29.328111023070296
05_PRC,China,2087,Labour efficiency,29.632428825076015
05_PRC,China,2088,Labour efficiency,29.939904325323695
05_PRC,China,2089,Labour efficiency,30.25057028909398
05_PRC,China,2090,Labour efficiency,30.564459821650477
05_PRC,China,2091,Labour efficiency,30.881606371767536
05_PRC,China,2092,Labour efficiency,31.202043735294616
05_PRC,China,2093,Labour efficiency,31.525806058757652
05_PRC,China,2094,Labour efficiency,31.852927842997794
05_PRC,China,2095,Labour efficiency,32.18344394684787
05_PRC,China,2096,Labour efficiency,32.51738959084707
05_PRC,China,2097,Labour efficiency,32.85480036099405
05_PRC,China,2098,Labour efficiency,33.19571221253912
05_PRC,China,2099,Labour efficiency,33.54016147381571
05_PRC,China,2100,Labour efficiency,33.88818485011156
05_PRC,China,1990,Capital stock,5881131.695777828
05_PRC,China,1991,Capital stock,6251489.282325892
05_PRC,China,1992,Capital stock,6805006.761236318
05_PRC,China,1993,Capital stock,7618169.151187948
05_PRC,China,1994,Capital stock,8513344.411723861
05_PRC,China,1995,Capital stock,9482721.10422562
05_PRC,China,1996,Capital stock,10546806.606145872
05_PRC,China,1997,Capital stock,11675969.691169197
05_PRC,China,1998,Capital stock,13012700.830900216
05_PRC,China,1999,Capital stock,14401998.34824886
05_PRC,China,2000,Capital stock,15878782.48891689
05_PRC,China,2001,Capital stock,17554639.49340217
05_PRC,China,2002,Capital stock,19518702.635657266
05_PRC,China,2003,Capital stock,21947052.935137328
05_PRC,China,2004,Capital stock,24700241.72486389
05_PRC,China,2005,Capital stock,27796668.968137257
05_PRC,China,2006,Capital stock,31264206.535468075
05_PRC,China,2007,Capital stock,35132687.96802975
05_PRC,China,2008,Capital stock,39485790.73877977
05_PRC,China,2009,Capital stock,45135943.09830006
05_PRC,China,2010,Capital stock,51427373.775707856
05_PRC,China,2011,Capital stock,58112670.45732577
05_PRC,China,2012,Capital stock,65340036.14044487
05_PRC,China,2013,Capital stock,73169143.8092104
05_PRC,China,2014,Capital stock,81411031.00541034
05_PRC,China,2015,Capital stock,89993303.86197858
05_PRC,China,2016,Capital stock,99131179.78351502
05_PRC,China,2017,Capital stock,108768368.24839066
05_PRC,China,2018,Capital stock,119183493.51369429
05_PRC,China,2019,Capital stock,130170542.41921864
05_PRC,China,2020,Capital stock,141307875.07882336
05_PRC,China,2021,Capital stock,152659097.4962474
05_PRC,China,2022,Capital stock,164287022.8287328
05_PRC,China,2023,Capital stock,176371906.8749443
05_PRC,China,2024,Capital stock,185116961.8142822
05_PRC,China,2025,Capital stock,194298668.4559177
05_PRC,China,2026,Capital stock,202972071.59209907
05_PRC,China,2027,Capital stock,211126593.46641237
05_PRC,China,2028,Capital stock,218760514.57708558
05_PRC,China,2029,Capital stock,225879468.3511855
05_PRC,China,2030,Capital stock,232495026.68051717
05_PRC,China,2031,Capital stock,238623410.01416236
05_PRC,China,2032,Capital stock,244284340.37832928
05_PRC,China,2033,Capital stock,249500043.96696916
05_PRC,China,2034,Capital stock,254294401.41698846
05_PRC,China,2035,Capital stock,258692238.04536128
05_PRC,China,2036,Capital stock,262718742.65675247
05_PRC,China,2037,Capital stock,266455033.01936322
05_PRC,China,2038,Capital stock,270076263.3844211
05_PRC,China,2039,Capital stock,273573555.1312686
05_PRC,China,2040,Capital stock,276938953.83052045
05_PRC,China,2041,Capital stock,280164403.67678803
05_PRC,China,2042,Capital stock,283242259.8802302
05_PRC,China,2043,Capital stock,286159100.04203033
05_PRC,China,2044,Capital stock,288906308.84470636
05_PRC,China,2045,Capital stock,291472084.2662637
05_PRC,China,2046,Capital stock,293844520.06883514
05_PRC,China,2047,Capital stock,296012373.38206035
05_PRC,China,2048,Capital stock,297977835.4700294
05_PRC,China,2049,Capital stock,299758496.5916642
05_PRC,China,2050,Capital stock,301370668.4162117
05_PRC,China,2051,Capital stock,302829426.63424736
05_PRC,China,2052,Capital stock,304148663.922264
05_PRC,China,2053,Capital stock,305341149.8596632
05_PRC,China,2054,Capital stock,306418595.08121777
05_PRC,China,2055,Capital stock,307391717.525067
05_PRC,China,2056,Capital stock,308270309.11761683
05_PRC,China,2057,Capital stock,309063301.63414836
05_PRC,China,2058,Capital stock,309778830.7988893
05_PRC,China,2059,Capital stock,310424297.95139676
05_PRC,China,2060,Capital stock,311006428.8169436
05_PRC,China,2061,Capital stock,311531329.08574784
05_PRC,China,2062,Capital stock,312004536.63679457
05_PRC,China,2063,Capital stock,312431070.3431077
05_PRC,China,2064,Capital stock,312815475.4721279
05_PRC,China,2065,Capital stock,313161865.7519701
05_PRC,China,2066,Capital stock,313473962.21566015
05_PRC,China,2067,Capital stock,313755128.9641987
05_PRC,China,2068,Capital stock,314008406.0081426
05_PRC,China,2069,Capital stock,314236539.35850036
05_PRC,China,2070,Capital stock,314442008.54289585
05_PRC,China,2071,Capital stock,314627051.7235845
05_PRC,China,2072,Capital stock,314793688.5911782
05_PRC,China,2073,Capital stock,314943741.2027574
05_PRC,China,2074,Capital stock,315078852.9261581
05_PRC,China,2075,Capital stock,315200505.6441865
05_PRC,China,2076,Capital stock,315310035.36378366
05_PRC,China,2077,Capital stock,315408646.3660728
05_PRC,China,2078,Capital stock,315497424.0240424
05_PRC,China,2079,Capital stock,315577346.40553296
05_PRC,China,2080,Capital stock,315649294.77034926
05_PRC,China,2081,Capital stock,315714063.06181735
05_PRC,China,2082,Capital stock,315772366.48500305
05_PRC,China,2083,Capital stock,315824849.25615835
05_PRC,China,2084,Capital stock,315872091.60078096
05_PRC,China,2085,Capital stock,315914616.0709704
05_PRC,China,2086,Capital stock,315952893.246535
05_PRC,China,2087,Capital stock,315987346.8785443
05_PRC,China,2088,Capital stock,316018358.5287031
05_PRC,China,2089,Capital stock,316046271.75303864
05_PRC,China,2090,Capital stock,316071395.8739044
05_PRC,China,2091,Capital stock,316094009.380203
05_PRC,China,2092,Capital stock,316114362.99197817
05_PRC,China,2093,Capital stock,316132682.42210644
05_PRC,China,2094,Capital stock,316149170.86470324
05_PRC,China,2095,Capital stock,316164011.2370251
05_PRC,China,2096,Capital stock,316177368.199075
05_PRC,China,2097,Capital stock,316189389.9727816
05_PRC,China,2098,Capital stock,316200209.9805029
05_PRC,China,2099,Capital stock,316209948.32068694
05_PRC,China,2100,Capital stock,316218713.09678197
05_PRC,China,1990,Savings,0.366228275584888
05_PRC,China,1991,Savings,0.384279725792786
05_PRC,China,1992,Savings,0.405262148478143
05_PRC,China,1993,Savings,0.415944567821618
05_PRC,China,1994,Savings,0.415641800595348
05_PRC,China,1995,Savings,0.393812636762869
05_PRC,China,1996,Savings,0.385813284832836
05_PRC,China,1997,Savings,0.39546934479875395
05_PRC,China,1998,Savings,0.381766453804451
05_PRC,China,1999,Savings,0.363928397912428
05_PRC,China,2000,Savings,0.355826474435708
05_PRC,China,2001,Savings,0.370775585847377
05_PRC,China,2002,Savings,0.38660921561611306
05_PRC,China,2003,Savings,0.42160922481485696
05_PRC,China,2004,Savings,0.453715794530289
05_PRC,China,2005,Savings,0.455417056569754
05_PRC,China,2006,Savings,0.47787541302403097
05_PRC,China,2007,Savings,0.497906549255041
05_PRC,China,2008,Savings,0.512655667529843
05_PRC,China,2009,Savings,0.498735875934712
05_PRC,China,2010,Savings,0.507951259924622
05_PRC,China,2011,Savings,0.48641062228444804
05_PRC,China,2012,Savings,0.481956233738576
05_PRC,China,2013,Savings,0.470363460228068
05_PRC,China,2014,Savings,0.47273623819705596
05_PRC,China,2015,Savings,0.45101605377673204
05_PRC,China,2016,Savings,0.438678663976574
05_PRC,China,2017,Savings,0.443202552812278
05_PRC,China,2018,Savings,0.437715764233009
05_PRC,China,2019,Savings,0.432925997301417
05_PRC,China,2020,Savings,0.43499863349429096
05_PRC,China,2021,Savings,0.44679938707538
05_PRC,China,2022,Savings,0.44833571056536203
05_PRC,China,2023,Savings,0.425717088559186
05_PRC,China,2024,Savings,0.427150109198495
05_PRC,China,2025,Savings,0.425150109198495
05_PRC,China,2026,Savings,0.425150109198495
05_PRC,China,2027,Savings,0.419150109198495
