economy_code,economy,year,variable,value
06_HKC,"Hong Kong, China",1990,Population,5552.387
06_HKC,"Hong Kong, China",1991,Population,5568.807
06_HKC,"Hong Kong, China",1992,Population,5687.381
06_HKC,"Hong Kong, China",1993,Population,5831.732
06_HKC,"Hong Kong, China",1994,Population,5973.294
06_HKC,"Hong Kong, China",1995,Population,6111.229
06_HKC,"Hong Kong, China",1996,Population,6242.978
06_HKC,"Hong Kong, China",1997,Population,6361.95
06_HKC,"Hong Kong, China",1998,Population,6471.397
06_HKC,"Hong Kong, China",1999,Population,6571.272
06_HKC,"Hong Kong, China",2000,Population,6661.777
06_HKC,"Hong Kong, China",2001,Population,6747.551
06_HKC,"Hong Kong, China",2002,Population,6800.926
06_HKC,"Hong Kong, China",2003,Population,6841.891
06_HKC,"Hong Kong, China",2004,Population,6875.922
06_HKC,"Hong Kong, China",2005,Population,6900.405
06_HKC,"Hong Kong, China",2006,Population,6916.567
06_HKC,"Hong Kong, China",2007,Population,6945.613
06_HKC,"Hong Kong, China",2008,Population,6997.077
06_HKC,"Hong Kong, China",2009,Population,7044.3
06_HKC,"Hong Kong, China",2010,Population,7084.633
06_HKC,"Hong Kong, China",2011,Population,7118.601
06_HKC,"Hong Kong, China",2012,Population,7167.338
06_HKC,"Hong Kong, China",2013,Population,7234.784
06_HKC,"Hong Kong, China",2014,Population,7293.886
06_HKC,"Hong Kong, China",2015,Population,7345.115
06_HKC,"Hong Kong, China",2016,Population,7387.704
06_HKC,"Hong Kong, China",2017,Population,7428.315
06_HKC,"Hong Kong, China",2018,Population,7461.468
06_HKC,"Hong Kong, China",2019,Population,7480.919
06_HKC,"Hong Kong, China",2020,Population,7490.707
06_HKC,"Hong Kong, China",2021,Population,7489.764
06_HKC,"Hong Kong, China",2022,Population,7479.439
06_HKC,"Hong Kong, China",2023,Population,7452.391
06_HKC,"Hong Kong, China",2024,Population,7433.078
06_HKC,"Hong Kong, China",2025,Population,7396.741
06_HKC,"Hong Kong, China",2026,Population,7395.411
06_HKC,"Hong Kong, China",2027,Population,7361.793
06_HKC,"Hong Kong, China",2028,Population,7348.288
06_HKC,"Hong Kong, China",2029,Population,7301.514
06_HKC,"Hong Kong, China",2030,Population,7271.722
06_HKC,"Hong Kong, China",2031,Population,7233.572
06_HKC,"Hong Kong, China",2032,Population,7189.876
06_HKC,"Hong Kong, China",2033,Population,7154.466
06_HKC,"Hong Kong, China",2034,Population,7115.641
06_HKC,"Hong Kong, China",2035,Population,7084.327
06_HKC,"Hong Kong, China",2036,Population,7018.925
06_HKC,"Hong Kong, China",2037,Population,6967.158
06_HKC,"Hong Kong, China",2038,Population,6939.096
06_HKC,"Hong Kong, China",2039,Population,6875.544
06_HKC,"Hong Kong, China",2040,Population,6847.05
06_HKC,"Hong Kong, China",2041,Population,6786.086
06_HKC,"Hong Kong, China",2042,Population,6723.591
06_HKC,"Hong Kong, China",2043,Population,6650.619
06_HKC,"Hong Kong, China",2044,Population,6595.028
06_HKC,"Hong Kong, China",2045,Population,6533.18
06_HKC,"Hong Kong, China",2046,Population,6464.2
06_HKC,"Hong Kong, China",2047,Population,6391.676
06_HKC,"Hong Kong, China",2048,Population,6293.804
06_HKC,"Hong Kong, China",2049,Population,6217.96
06_HKC,"Hong Kong, China",2050,Population,6130.903
06_HKC,"Hong Kong, China",2051,Population,6050.335
06_HKC,"Hong Kong, China",2052,Population,5960.131
06_HKC,"Hong Kong, China",2053,Population,5873.483
06_HKC,"Hong Kong, China",2054,Population,5789.445
06_HKC,"Hong Kong, China",2055,Population,5704.675
06_HKC,"Hong Kong, China",2056,Population,5615.539
06_HKC,"Hong Kong, China",2057,Population,5523.368
06_HKC,"Hong Kong, China",2058,Population,5429.676
06_HKC,"Hong Kong, China",2059,Population,5334.503
06_HKC,"Hong Kong, China",2060,Population,5244.451
06_HKC,"Hong Kong, China",2061,Population,5154.276
06_HKC,"Hong Kong, China",2062,Population,5061.472
06_HKC,"Hong Kong, China",2063,Population,4981.411
06_HKC,"Hong Kong, China",2064,Population,4902.153
06_HKC,"Hong Kong, China",2065,Population,4812.962
06_HKC,"Hong Kong, China",2066,Population,4722.629
06_HKC,"Hong Kong, China",2067,Population,4634.756
06_HKC,"Hong Kong, China",2068,Population,4542.668
06_HKC,"Hong Kong, China",2069,Population,4453.93
06_HKC,"Hong Kong, China",2070,Population,4369.918
06_HKC,"Hong Kong, China",2071,Population,4280.26
06_HKC,"Hong Kong, China",2072,Population,4194.309
06_HKC,"Hong Kong, China",2073,Population,4104.537
06_HKC,"Hong Kong, China",2074,Population,4014.064
06_HKC,"Hong Kong, China",2075,Population,3925.636
06_HKC,"Hong Kong, China",2076,Population,3836.975
06_HKC,"Hong Kong, China",2077,Population,3749.765
06_HKC,"Hong Kong, China",2078,Population,3654.157
06_HKC,"Hong Kong, China",2079,Population,3574.505
06_HKC,"Hong Kong, China",2080,Population,3489.726
06_HKC,"Hong Kong, China",2081,Population,3406.698
06_HKC,"Hong Kong, China",2082,Population,3330.456
06_HKC,"Hong Kong, China",2083,Population,3254.796
06_HKC,"Hong Kong, China",2084,Population,3174.972
