economy_code,economy,year,variable,value
09_ROK,Korea,1990,Population,43825.75
09_ROK,Korea,1991,Population,44337.104
09_ROK,Korea,1992,Population,44541.196
09_ROK,Korea,1993,Population,44766.194
09_ROK,Korea,1994,Population,45009.253
09_ROK,Korea,1995,Population,45252.428
09_ROK,Korea,1996,Population,45484.423
09_ROK,Korea,1997,Population,45792.976
09_ROK,Korea,1998,Population,46090.097
09_ROK,Korea,1999,Population,46371.658
09_ROK,Korea,2000,Population,46629.108
09_ROK,Korea,2001,Population,46904.214
09_ROK,Korea,2002,Population,47182.722
09_ROK,Korea,2003,Population,47415.519
09_ROK,Korea,2004,Population,47612.802
09_ROK,Korea,2005,Population,47781.349
09_ROK,Korea,2006,Population,47921.939
09_ROK,Korea,2007,Population,48091.096
09_ROK,Korea,2008,Population,48265.141
09_ROK,Korea,2009,Population,48447.845
09_ROK,Korea,2010,Population,48645.528
09_ROK,Korea,2011,Population,48893.137
09_ROK,Korea,2012,Population,49362.15
09_ROK,Korea,2013,Population,49837.009
09_ROK,Korea,2014,Population,50305.32
09_ROK,Korea,2015,Population,50772.791
09_ROK,Korea,2016,Population,51195.032
09_ROK,Korea,2017,Population,51400.646
09_ROK,Korea,2018,Population,51571.895
09_ROK,Korea,2019,Population,51709.893
09_ROK,Korea,2020,Population,51825.799
09_ROK,Korea,2021,Population,51891.164
09_ROK,Korea,2022,Population,51805.631
09_ROK,Korea,2023,Population,51759.392
09_ROK,Korea,2024,Population,51738.086
09_ROK,Korea,2025,Population,51697.094
09_ROK,Korea,2026,Population,51636.965
09_ROK,Korea,2027,Population,51563.811
09_ROK,Korea,2028,Population,51473.879
09_ROK,Korea,2029,Population,51372.981
09_ROK,Korea,2030,Population,51255.051
09_ROK,Korea,2031,Population,51122.116
09_ROK,Korea,2032,Population,50974.233
09_ROK,Korea,2033,Population,50808.345
09_ROK,Korea,2034,Population,50620.264
09_ROK,Korea,2035,Population,50413.354
09_ROK,Korea,2036,Population,50188.112
09_ROK,Korea,2037,Population,49944.975
09_ROK,Korea,2038,Population,49681.877
09_ROK,Korea,2039,Population,49400.438
09_ROK,Korea,2040,Population,49103.34
09_ROK,Korea,2041,Population,48794.033
09_ROK,Korea,2042,Population,48466.833
09_ROK,Korea,2043,Population,48132.656
09_ROK,Korea,2044,Population,47785.424
09_ROK,Korea,2045,Population,47421.309
09_ROK,Korea,2046,Population,47044.603
09_ROK,Korea,2047,Population,46657.194
09_ROK,Korea,2048,Population,46246.928
09_ROK,Korea,2049,Population,45820.659
09_ROK,Korea,2050,Population,45373.929
09_ROK,Korea,2051,Population,44912.338
09_ROK,Korea,2052,Population,44429.961
09_ROK,Korea,2053,Population,43927.722
09_ROK,Korea,2054,Population,43416.363
09_ROK,Korea,2055,Population,42898.541
09_ROK,Korea,2056,Population,42366.799
09_ROK,Korea,2057,Population,41823.396
09_ROK,Korea,2058,Population,41266.782
09_ROK,Korea,2059,Population,40702.304
09_ROK,Korea,2060,Population,40139.761
09_ROK,Korea,2061,Population,39574.694
09_ROK,Korea,2062,Population,39018.685
09_ROK,Korea,2063,Population,38459.404
09_ROK,Korea,2064,Population,37906.93
09_ROK,Korea,2065,Population,37358.715
09_ROK,Korea,2066,Population,36817.419
09_ROK,Korea,2067,Population,36283.206
09_ROK,Korea,2068,Population,35753.83
09_ROK,Korea,2069,Population,35233.012
09_ROK,Korea,2070,Population,34710.617
09_ROK,Korea,2071,Population,34195.357
09_ROK,Korea,2072,Population,33688.04
09_ROK,Korea,2073,Population,33188.231
09_ROK,Korea,2074,Population,32697.818
09_ROK,Korea,2075,Population,32213.146
09_ROK,Korea,2076,Population,31736.519
09_ROK,Korea,2077,Population,31265.857
