economy_code,economy,year,variable,value
10_MAS,Malaysia,1990,Population,17573.4
10_MAS,Malaysia,1991,Population,18092.942
10_MAS,Malaysia,1992,Population,18591.985
10_MAS,Malaysia,1993,Population,19077.16
10_MAS,Malaysia,1994,Population,19568.169
10_MAS,Malaysia,1995,Population,20072.723
10_MAS,Malaysia,1996,Population,20588.474
10_MAS,Malaysia,1997,Population,21111.7
10_MAS,Malaysia,1998,Population,21638.737
10_MAS,Malaysia,1999,Population,22174.688
10_MAS,Malaysia,2000,Population,22696.373
10_MAS,Malaysia,2001,Population,23239.259
10_MAS,Malaysia,2002,Population,23813.818
10_MAS,Malaysia,2003,Population,24391.135
10_MAS,Malaysia,2004,Population,24968.069
10_MAS,Malaysia,2005,Population,25545.476
10_MAS,Malaysia,2006,Population,26126.667
10_MAS,Malaysia,2007,Population,26709.151
10_MAS,Malaysia,2008,Population,27287.626
10_MAS,Malaysia,2009,Population,27852.492
10_MAS,Malaysia,2010,Population,28397.063
10_MAS,Malaysia,2011,Population,28914.49
10_MAS,Malaysia,2012,Population,29409.588
10_MAS,Malaysia,2013,Population,29916.074
10_MAS,Malaysia,2014,Population,30432.455
10_MAS,Malaysia,2015,Population,30959.818
10_MAS,Malaysia,2016,Population,31505.777
10_MAS,Malaysia,2017,Population,32073.594
10_MAS,Malaysia,2018,Population,32637.695
10_MAS,Malaysia,2019,Population,33184.239
10_MAS,Malaysia,2020,Population,33696.952
10_MAS,Malaysia,2021,Population,34082.165
10_MAS,Malaysia,2022,Population,34482.632
10_MAS,Malaysia,2023,Population,34908.354
10_MAS,Malaysia,2024,Population,35344.242
10_MAS,Malaysia,2025,Population,35771.105
10_MAS,Malaysia,2026,Population,36184.571
10_MAS,Malaysia,2027,Population,36585.658
10_MAS,Malaysia,2028,Population,36984.516
10_MAS,Malaysia,2029,Population,37381.023
10_MAS,Malaysia,2030,Population,37767.553
10_MAS,Malaysia,2031,Population,38155.884
10_MAS,Malaysia,2032,Population,38539.687
10_MAS,Malaysia,2033,Population,38917.08
10_MAS,Malaysia,2034,Population,39278.668
10_MAS,Malaysia,2035,Population,39637.022
10_MAS,Malaysia,2036,Population,39992.628
10_MAS,Malaysia,2037,Population,40341.168
10_MAS,Malaysia,2038,Population,40683.395
10_MAS,Malaysia,2039,Population,41023.229
10_MAS,Malaysia,2040,Population,41348.543
10_MAS,Malaysia,2041,Population,41670.745
10_MAS,Malaysia,2042,Population,41986.44
10_MAS,Malaysia,2043,Population,42302.492
10_MAS,Malaysia,2044,Population,42609.414
10_MAS,Malaysia,2045,Population,42898.859
10_MAS,Malaysia,2046,Population,43177.55
10_MAS,Malaysia,2047,Population,43449.947
10_MAS,Malaysia,2048,Population,43710.971
10_MAS,Malaysia,2049,Population,43952.182
10_MAS,Malaysia,2050,Population,44178.897
10_MAS,Malaysia,2051,Population,44400.648
10_MAS,Malaysia,2052,Population,44604.577
10_MAS,Malaysia,2053,Population,44798.567
10_MAS,Malaysia,2054,Population,44981.369
10_MAS,Malaysia,2055,Population,45146.331
10_MAS,Malaysia,2056,Population,45292.85
10_MAS,Malaysia,2057,Population,45432.861
10_MAS,Malaysia,2058,Population,45562.274
10_MAS,Malaysia,2059,Population,45682.856
10_MAS,Malaysia,2060,Population,45799.312
10_MAS,Malaysia,2061,Population,45900.914
10_MAS,Malaysia,2062,Population,45994.362
10_MAS,Malaysia,2063,Population,46072.46
10_MAS,Malaysia,2064,Population,46138.754
10_MAS,Malaysia,2065,Population,46202.888
10_MAS,Malaysia,2066,Population,46251.084
10_MAS,Malaysia,2067,Population,46289.738
10_MAS,Malaysia,2068,Population,46320.349
10_MAS,Malaysia,2069,Population,46343.388
10_MAS,Malaysia,2070,Population,46365.638
10_MAS,Malaysia,2071,Population,46380.362
10_MAS,Malaysia,2072,Population,46390.292
10_MAS,Malaysia,2073,Population,46390.712
10_MAS,Malaysia,2074,Population,46378.289
10_MAS,Malaysia,2075,Population,46363.145
10_MAS,Malaysia,2076,Population,46339.22
10_MAS,Malaysia,2077,Population,46314.512
10_MAS,Malaysia,2078,Population,46269.761
10_MAS,Malaysia,2079,Population,46217.015
10_MAS,Malaysia,2080,Population,46156.759
10_MAS,Malaysia,2081,Population,46081.432
10_MAS,Malaysia,2082,Population,46007.109
10_MAS,Malaysia,2083,Population,45924.962
10_MAS,Malaysia,2084,Population,45834.711
10_MAS,Malaysia,2085,Population,45744.508
10_MAS,Malaysia,2086,Population,45651.042
10_MAS,Malaysia,2087,Population,45548.037
10_MAS,Malaysia,2088,Population,45443.466
10_MAS,Malaysia,2089,Population,45336.277
10_MAS,Malaysia,2090,Population,45228.378
10_MAS,Malaysia,2091,Population,45117.554
10_MAS,Malaysia,2092,Population,45006.894
10_MAS,Malaysia,2093,Population,44894.028
10_MAS,Malaysia,2094,Population,44777.087
10_MAS,Malaysia,2095,Population,44662.703
10_MAS,Malaysia,2096,Population,44545.889
10_MAS,Malaysia,2097,Population,44427.697
10_MAS,Malaysia,2098,Population,44312.385
10_MAS,Malaysia,2099,Population,44200.564
10_MAS,Malaysia,2100,Population,44087.388
10_MAS,Malaysia,1990,Labour efficiency,5.691918912340883
10_MAS,Malaysia,1991,Labour efficiency,6.009409951391662
10_MAS,Malaysia,1992,Labour efficiency,6.2982570158947855
10_MAS,Malaysia,1993,Labour efficiency,6.673764044202932
10_MAS,Malaysia,1994,Labour efficiency,6.977686517658419
10_MAS,Malaysia,1995,Labour efficiency,7.291699559441603
10_MAS,Malaysia,1996,Labour efficiency,7.686440226413542
10_MAS,Malaysia,1997,Labour efficiency,7.806931873421512
10_MAS,Malaysia,1998,Labour efficiency,6.575577387016245
10_MAS,Malaysia,1999,Labour efficiency,6.979883715275163
10_MAS,Malaysia,2000,Labour efficiency,7.62281304069453
10_MAS,Malaysia,2001,Labour efficiency,7.30822315493223
10_MAS,Malaysia,2002,Labour efficiency,7.588281193710132
10_MAS,Malaysia,2003,Labour efficiency,7.928687406909887
10_MAS,Malaysia,2004,Labour efficiency,8.41936461940784
10_MAS,Malaysia,2005,Labour efficiency,8.722369071929952
10_MAS,Malaysia,2006,Labour efficiency,9.073636035256406
10_MAS,Malaysia,2007,Labour efficiency,9.515976384250925
10_MAS,Malaysia,2008,Labour efficiency,9.777327123994423
10_MAS,Malaysia,2009,Labour efficiency,9.092948844855929
10_MAS,Malaysia,2010,Labour efficiency,9.73823161907694
10_MAS,Malaysia,2011,Labour efficiency,10.093024056593315
10_MAS,Malaysia,2012,Labour efficiency,10.405947746574029
10_MAS,Malaysia,2013,Labour efficiency,10.581883272615682
10_MAS,Malaysia,2014,Labour efficiency,10.997455608940605
10_MAS,Malaysia,2015,Labour efficiency,11.280072807247562
10_MAS,Malaysia,2016,Labour efficiency,11.469961793396697
10_MAS,Malaysia,2017,Labour efficiency,11.907434680003785
10_MAS,Malaysia,2018,Labour efficiency,12.210300239414602
10_MAS,Malaysia,2019,Labour efficiency,12.499842673885603
10_MAS,Malaysia,2020,Labour efficiency,10.988028307203823
10_MAS,Malaysia,2021,Labour efficiency,11.272145854531669
10_MAS,Malaysia,2022,Labour efficiency,12.601088303899664
10_MAS,Malaysia,2023,Labour efficiency,12.949847698500122
10_MAS,Malaysia,2024,Labour efficiency,13.443137293698515
