economy_code,economy,year,variable,value
11_MEX,Mexico,1990,Population,82017.824
11_MEX,Mexico,1991,Population,83622.516
11_MEX,Mexico,1992,Population,85238.629
11_MEX,Mexico,1993,Population,86850.989
11_MEX,Mexico,1994,Population,88456.626
11_MEX,Mexico,1995,Population,90061.783
11_MEX,Mexico,1996,Population,91663.126
11_MEX,Mexico,1997,Population,93242.279
11_MEX,Mexico,1998,Population,94800.135
11_MEX,Mexico,1999,Population,96350.355
11_MEX,Mexico,2000,Population,97881.058
11_MEX,Mexico,2001,Population,99370.046
11_MEX,Mexico,2002,Population,100828.153
11_MEX,Mexico,2003,Population,102269.095
11_MEX,Mexico,2004,Population,103687.936
11_MEX,Mexico,2005,Population,105100.326
11_MEX,Mexico,2006,Population,106522.682
11_MEX,Mexico,2007,Population,107984.649
11_MEX,Mexico,2008,Population,109564.071
11_MEX,Mexico,2009,Population,111184.505
11_MEX,Mexico,2010,Population,112814.937
11_MEX,Mexico,2011,Population,114432.853
11_MEX,Mexico,2012,Population,116054.154
11_MEX,Mexico,2013,Population,117582.263
11_MEX,Mexico,2014,Population,119104.883
11_MEX,Mexico,2015,Population,120463.639
11_MEX,Mexico,2016,Population,121680.973
11_MEX,Mexico,2017,Population,122821.728
11_MEX,Mexico,2018,Population,123978.387
11_MEX,Mexico,2019,Population,125169.035
11_MEX,Mexico,2020,Population,126356.93
11_MEX,Mexico,2021,Population,127241.179
11_MEX,Mexico,2022,Population,128055.116
11_MEX,Mexico,2023,Population,129171.119
11_MEX,Mexico,2024,Population,130308.399
11_MEX,Mexico,2025,Population,131413.615
11_MEX,Mexico,2026,Population,132480.185
11_MEX,Mexico,2027,Population,133515.13
11_MEX,Mexico,2028,Population,134520.286
11_MEX,Mexico,2029,Population,135497.108
11_MEX,Mexico,2030,Population,136444.674
11_MEX,Mexico,2031,Population,137364.802
11_MEX,Mexico,2032,Population,138257.327
11_MEX,Mexico,2033,Population,139123.06
11_MEX,Mexico,2034,Population,139961.111
11_MEX,Mexico,2035,Population,140762.942
11_MEX,Mexico,2036,Population,141538.696
11_MEX,Mexico,2037,Population,142279.63
11_MEX,Mexico,2038,Population,142995.462
11_MEX,Mexico,2039,Population,143676.977
11_MEX,Mexico,2040,Population,144319.607
11_MEX,Mexico,2041,Population,144929.04
11_MEX,Mexico,2042,Population,145506.507
11_MEX,Mexico,2043,Population,146048.404
11_MEX,Mexico,2044,Population,146551.61
11_MEX,Mexico,2045,Population,147023.824
11_MEX,Mexico,2046,Population,147456.36
11_MEX,Mexico,2047,Population,147851.959
11_MEX,Mexico,2048,Population,148208.332
11_MEX,Mexico,2049,Population,148536.131
11_MEX,Mexico,2050,Population,148819.664
11_MEX,Mexico,2051,Population,149072.883
11_MEX,Mexico,2052,Population,149290.81
11_MEX,Mexico,2053,Population,149476.719
11_MEX,Mexico,2054,Population,149628.697
11_MEX,Mexico,2055,Population,149749.284
11_MEX,Mexico,2056,Population,149839.806
11_MEX,Mexico,2057,Population,149899.648
11_MEX,Mexico,2058,Population,149933.212
11_MEX,Mexico,2059,Population,149941.354
11_MEX,Mexico,2060,Population,149919.873
11_MEX,Mexico,2061,Population,149866.7
11_MEX,Mexico,2062,Population,149789.004
11_MEX,Mexico,2063,Population,149685.067
11_MEX,Mexico,2064,Population,149553.769
11_MEX,Mexico,2065,Population,149395.716
11_MEX,Mexico,2066,Population,149209.363
11_MEX,Mexico,2067,Population,148998.518
11_MEX,Mexico,2068,Population,148764.84
11_MEX,Mexico,2069,Population,148504.936
11_MEX,Mexico,2070,Population,148219.603
11_MEX,Mexico,2071,Population,147906.819
11_MEX,Mexico,2072,Population,147575.31
11_MEX,Mexico,2073,Population,147216.982
11_MEX,Mexico,2074,Population,146833.076
11_MEX,Mexico,2075,Population,146425.97
11_MEX,Mexico,2076,Population,145997.532
11_MEX,Mexico,2077,Population,145547.83
11_MEX,Mexico,2078,Population,145076.008
11_MEX,Mexico,2079,Population,144582.033
11_MEX,Mexico,2080,Population,144066.499
11_MEX,Mexico,2081,Population,143530.164
11_MEX,Mexico,2082,Population,142973.451
11_MEX,Mexico,2083,Population,142405.279
11_MEX,Mexico,2084,Population,141814.546
11_MEX,Mexico,2085,Population,141206.671
11_MEX,Mexico,2086,Population,140578.213
11_MEX,Mexico,2087,Population,139937.043
11_MEX,Mexico,2088,Population,139284.252
11_MEX,Mexico,2089,Population,138621.003
11_MEX,Mexico,2090,Population,137942.217
11_MEX,Mexico,2091,Population,137251.932
11_MEX,Mexico,2092,Population,136548.573
11_MEX,Mexico,2093,Population,135839.17
11_MEX,Mexico,2094,Population,135114.098
11_MEX,Mexico,2095,Population,134379.347
11_MEX,Mexico,2096,Population,133637.502
11_MEX,Mexico,2097,Population,132891.448
11_MEX,Mexico,2098,Population,132139.994
11_MEX,Mexico,2099,Population,131386.105
11_MEX,Mexico,2100,Population,130628.673
11_MEX,Mexico,1990,Labour efficiency,7.415275556241167
11_MEX,Mexico,1991,Labour efficiency,7.627614371522345
11_MEX,Mexico,1992,Labour efficiency,7.772283215963493
11_MEX,Mexico,1993,Labour efficiency,7.831066136287574
11_MEX,Mexico,1994,Labour efficiency,8.038211857115481
11_MEX,Mexico,1995,Labour efficiency,7.071411581770032
11_MEX,Mexico,1996,Labour efficiency,7.567137880578751
11_MEX,Mexico,1997,Labour efficiency,8.187488308382068
11_MEX,Mexico,1998,Labour efficiency,8.703273158152559
11_MEX,Mexico,1999,Labour efficiency,8.764627005411873
11_MEX,Mexico,2000,Labour efficiency,9.160533098194973
11_MEX,Mexico,2001,Labour efficiency,8.810850970000308
11_MEX,Mexico,2002,Labour efficiency,8.524240675120303
11_MEX,Mexico,2003,Labour efficiency,8.450672327766705
11_MEX,Mexico,2004,Labour efficiency,8.699577037065662
11_MEX,Mexico,2005,Labour efficiency,8.742992492791103
11_MEX,Mexico,2006,Labour efficiency,9.155615603348911
11_MEX,Mexico,2007,Labour efficiency,9.161647244123493
11_MEX,Mexico,2008,Labour efficiency,8.978917231474409
11_MEX,Mexico,2009,Labour efficiency,7.821670360468391
11_MEX,Mexico,2010,Labour efficiency,8.223021063312688
11_MEX,Mexico,2011,Labour efficiency,8.421240961505585
11_MEX,Mexico,2012,Labour efficiency,8.639554779356
11_MEX,Mexico,2013,Labour efficiency,8.51532178394703
11_MEX,Mexico,2014,Labour efficiency,8.626222647185692
11_MEX,Mexico,2015,Labour efficiency,8.771512385672821
11_MEX,Mexico,2016,Labour efficiency,8.802082999622485
11_MEX,Mexico,2017,Labour efficiency,8.86771823747295
11_MEX,Mexico,2018,Labour efficiency,8.956013713116405
11_MEX,Mexico,2019,Labour efficiency,8.719554804517305
11_MEX,Mexico,2020,Labour efficiency,7.4379377758542695
11_MEX,Mexico,2021,Labour efficiency,8.086043042670871
11_MEX,Mexico,2022,Labour efficiency,8.455635333506569
11_MEX,Mexico,2023,Labour efficiency,8.704029091632924
11_MEX,Mexico,2024,Labour efficiency,8.744592365235889
11_MEX,Mexico,2025,Labour efficiency,8.71975235864371
11_MEX,Mexico,2026,Labour efficiency,8.74726586013831
11_MEX,Mexico,2027,Labour efficiency,8.774577595743413
11_MEX,Mexico,2028,Labour efficiency,8.798171294793038
11_MEX,Mexico,2029,Labour efficiency,8.815433848194704
11_MEX,Mexico,2030,Labour efficiency,8.85773464254065
11_MEX,Mexico,2031,Labour efficiency,8.999250552655262
11_MEX,Mexico,2032,Labour efficiency,9.114987046026885
11_MEX,Mexico,2033,Labour efficiency,9.202272215657985
11_MEX,Mexico,2034,Labour efficiency,9.272172624604107
11_MEX,Mexico,2035,Labour efficiency,9.345326035325085
11_MEX,Mexico,2036,Labour efficiency,9.429084296457072
11_MEX,Mexico,2037,Labour efficiency,9.519068976915149
11_MEX,Mexico,2038,Labour efficiency,9.616024597404666
11_MEX,Mexico,2039,Labour efficiency,9.721176441895302
11_MEX,Mexico,2040,Labour efficiency,9.836200942571297
11_MEX,Mexico,2041,Labour efficiency,9.959505112512064
11_MEX,Mexico,2042,Labour efficiency,10.080928142421715
11_MEX,Mexico,2043,Labour efficiency,10.2031570997765
11_MEX,Mexico,2044,Labour efficiency,10.32946860171079
11_MEX,Mexico,2045,Labour efficiency,10.46228505643332
11_MEX,Mexico,2046,Labour efficiency,10.602007400047817
11_MEX,Mexico,2047,Labour efficiency,10.748252410240545
