economy_code,economy,year,variable,value
13_PNG,Papua New Guinea,1990,Population,3840.265
13_PNG,Papua New Guinea,1991,Population,3952.696
13_PNG,Papua New Guinea,1992,Population,4090.978
13_PNG,Papua New Guinea,1993,Population,4242.421
13_PNG,Papua New Guinea,1994,Population,4399.322
13_PNG,Papua New Guinea,1995,Population,4561.095
13_PNG,Papua New Guinea,1996,Population,4727.461
13_PNG,Papua New Guinea,1997,Population,4899.262
13_PNG,Papua New Guinea,1998,Population,5076.505
13_PNG,Papua New Guinea,1999,Population,5256.274
13_PNG,Papua New Guinea,2000,Population,5442.391
13_PNG,Papua New Guinea,2001,Population,5631.736
13_PNG,Papua New Guinea,2002,Population,5825.135
13_PNG,Papua New Guinea,2003,Population,6022.872
13_PNG,Papua New Guinea,2004,Population,6225.122
13_PNG,Papua New Guinea,2005,Population,6430.96
13_PNG,Papua New Guinea,2006,Population,6640.85
13_PNG,Papua New Guinea,2007,Population,6854.59
13_PNG,Papua New Guinea,2008,Population,7072.099
13_PNG,Papua New Guinea,2009,Population,7293.904
13_PNG,Papua New Guinea,2010,Population,7518.972
13_PNG,Papua New Guinea,2011,Population,7748.074
13_PNG,Papua New Guinea,2012,Population,7970.618
13_PNG,Papua New Guinea,2013,Population,8192.162
13_PNG,Papua New Guinea,2014,Population,8413.233
13_PNG,Papua New Guinea,2015,Population,8633.649
13_PNG,Papua New Guinea,2016,Population,8852.843
13_PNG,Papua New Guinea,2017,Population,9070.592
13_PNG,Papua New Guinea,2018,Population,9286.836
13_PNG,Papua New Guinea,2019,Population,9502.191
13_PNG,Papua New Guinea,2020,Population,9715.829
13_PNG,Papua New Guinea,2021,Population,9915.662
13_PNG,Papua New Guinea,2022,Population,10110.13
13_PNG,Papua New Guinea,2023,Population,10296.209
13_PNG,Papua New Guinea,2024,Population,10483.061
13_PNG,Papua New Guinea,2025,Population,10669.942
13_PNG,Papua New Guinea,2026,Population,10855.692
13_PNG,Papua New Guinea,2027,Population,11040.004
13_PNG,Papua New Guinea,2028,Population,11222.541
13_PNG,Papua New Guinea,2029,Population,11403.247
13_PNG,Papua New Guinea,2030,Population,11582.36
13_PNG,Papua New Guinea,2031,Population,11760.489
13_PNG,Papua New Guinea,2032,Population,11935.954
13_PNG,Papua New Guinea,2033,Population,12110.301
13_PNG,Papua New Guinea,2034,Population,12282.992
13_PNG,Papua New Guinea,2035,Population,12455.521
13_PNG,Papua New Guinea,2036,Population,12625.684
13_PNG,Papua New Guinea,2037,Population,12795.681
13_PNG,Papua New Guinea,2038,Population,12963.799
13_PNG,Papua New Guinea,2039,Population,13130.448
13_PNG,Papua New Guinea,2040,Population,13294.892
13_PNG,Papua New Guinea,2041,Population,13457.429
13_PNG,Papua New Guinea,2042,Population,13617.312
13_PNG,Papua New Guinea,2043,Population,13774.982
13_PNG,Papua New Guinea,2044,Population,13931.855
13_PNG,Papua New Guinea,2045,Population,14088.012
13_PNG,Papua New Guinea,2046,Population,14243.164
13_PNG,Papua New Guinea,2047,Population,14394.62
13_PNG,Papua New Guinea,2048,Population,14543.823
13_PNG,Papua New Guinea,2049,Population,14690.918
13_PNG,Papua New Guinea,2050,Population,14836.287
13_PNG,Papua New Guinea,2051,Population,14976.893
13_PNG,Papua New Guinea,2052,Population,15115.979
13_PNG,Papua New Guinea,2053,Population,15253.284
13_PNG,Papua New Guinea,2054,Population,15386.0
13_PNG,Papua New Guinea,2055,Population,15518.22
13_PNG,Papua New Guinea,2056,Population,15645.067
13_PNG,Papua New Guinea,2057,Population,15769.091
13_PNG,Papua New Guinea,2058,Population,15891.039
13_PNG,Papua New Guinea,2059,Population,16009.91
13_PNG,Papua New Guinea,2060,Population,16126.789
13_PNG,Papua New Guinea,2061,Population,16242.131
13_PNG,Papua New Guinea,2062,Population,16351.543
13_PNG,Papua New Guinea,2063,Population,16457.601
13_PNG,Papua New Guinea,2064,Population,16561.052
13_PNG,Papua New Guinea,2065,Population,16664.408
13_PNG,Papua New Guinea,2066,Population,16765.992
13_PNG,Papua New Guinea,2067,Population,16864.766
13_PNG,Papua New Guinea,2068,Population,16960.972
13_PNG,Papua New Guinea,2069,Population,17053.497
13_PNG,Papua New Guinea,2070,Population,17142.307
13_PNG,Papua New Guinea,2071,Population,17228.036
13_PNG,Papua New Guinea,2072,Population,17312.336
13_PNG,Papua New Guinea,2073,Population,17393.095
13_PNG,Papua New Guinea,2074,Population,17469.331
13_PNG,Papua New Guinea,2075,Population,17543.058
13_PNG,Papua New Guinea,2076,Population,17614.782
13_PNG,Papua New Guinea,2077,Population,17683.162
13_PNG,Papua New Guinea,2078,Population,17750.451
13_PNG,Papua New Guinea,2079,Population,17816.967
13_PNG,Papua New Guinea,2080,Population,17879.638
13_PNG,Papua New Guinea,2081,Population,17944.338
13_PNG,Papua New Guinea,2082,Population,18002.71
13_PNG,Papua New Guinea,2083,Population,18057.751
13_PNG,Papua New Guinea,2084,Population,18112.944
13_PNG,Papua New Guinea,2085,Population,18163.739
13_PNG,Papua New Guinea,2086,Population,18213.695
13_PNG,Papua New Guinea,2087,Population,18261.603
13_PNG,Papua New Guinea,2088,Population,18305.66
13_PNG,Papua New Guinea,2089,Population,18346.928
13_PNG,Papua New Guinea,2090,Population,18385.621
13_PNG,Papua New Guinea,2091,Population,18425.763
13_PNG,Papua New Guinea,2092,Population,18461.218
13_PNG,Papua New Guinea,2093,Population,18493.392
13_PNG,Papua New Guinea,2094,Population,18522.16
13_PNG,Papua New Guinea,2095,Population,18548.884
13_PNG,Papua New Guinea,2096,Population,18572.164
13_PNG,Papua New Guinea,2097,Population,18593.167
13_PNG,Papua New Guinea,2098,Population,18610.381
13_PNG,Papua New Guinea,2099,Population,18624.035
13_PNG,Papua New Guinea,2100,Population,18636.026
13_PNG,Papua New Guinea,1990,Labour efficiency,2.0227269267925605
13_PNG,Papua New Guinea,1991,Labour efficiency,2.152807109474712
13_PNG,Papua New Guinea,1992,Labour efficiency,2.3681048911336453
13_PNG,Papua New Guinea,1993,Labour efficiency,2.6992318544989073
13_PNG,Papua New Guinea,1994,Labour efficiency,2.757635227687717
13_PNG,Papua New Guinea,1995,Labour efficiency,2.5717219522554617
13_PNG,Papua New Guinea,1996,Labour efficiency,2.6731094042032613
13_PNG,Papua New Guinea,1997,Labour efficiency,2.4786635084020054
13_PNG,Papua New Guinea,1998,Labour efficiency,2.301960714690604
13_PNG,Papua New Guinea,1999,Labour efficiency,2.264484983451156
13_PNG,Papua New Guinea,2000,Labour efficiency,2.1324815964647876
13_PNG,Papua New Guinea,2001,Labour efficiency,2.0582857820253753
13_PNG,Papua New Guinea,2002,Labour efficiency,1.986787057922506
13_PNG,Papua New Guinea,2003,Labour efficiency,1.9631433251040153
13_PNG,Papua New Guinea,2004,Labour efficiency,1.9510471087635826
13_PNG,Papua New Guinea,2005,Labour efficiency,2.008427025993122
13_PNG,Papua New Guinea,2006,Labour efficiency,2.050169542457542
13_PNG,Papua New Guinea,2007,Labour efficiency,2.141469604336432
13_PNG,Papua New Guinea,2008,Labour efficiency,2.0694534106362297
13_PNG,Papua New Guinea,2009,Labour efficiency,2.1429740342753614
13_PNG,Papua New Guinea,2010,Labour efficiency,2.2893807519097704
13_PNG,Papua New Guinea,2011,Labour efficiency,2.24629243375624
13_PNG,Papua New Guinea,2012,Labour efficiency,2.285266410767473
13_PNG,Papua New Guinea,2013,Labour efficiency,2.3085113564491593
13_PNG,Papua New Guinea,2014,Labour efficiency,2.552295430967075
13_PNG,Papua New Guinea,2015,Labour efficiency,2.650748286415565
13_PNG,Papua New Guinea,2016,Labour efficiency,2.727028335262751
13_PNG,Papua New Guinea,2017,Labour efficiency,2.7556390824297607
13_PNG,Papua New Guinea,2018,Labour efficiency,2.683958016652987
13_PNG,Papua New Guinea,2019,Labour efficiency,2.740659243932614
13_PNG,Papua New Guinea,2020,Labour efficiency,2.595496120060385
13_PNG,Papua New Guinea,2021,Labour efficiency,2.5302025489689806
13_PNG,Papua New Guinea,2022,Labour efficiency,2.623155834551764
13_PNG,Papua New Guinea,2023,Labour efficiency,2.6738966080528432
13_PNG,Papua New Guinea,2024,Labour efficiency,2.7283434355636857
13_PNG,Papua New Guinea,2025,Labour efficiency,2.831684964934804
13_PNG,Papua New Guinea,2026,Labour efficiency,2.9601784011152885
13_PNG,Papua New Guinea,2027,Labour efficiency,3.116703825021857
13_PNG,Papua New Guinea,2028,Labour efficiency,3.304881126188628
13_PNG,Papua New Guinea,2029,Labour efficiency,3.504420012755373
13_PNG,Papua New Guinea,2030,Labour efficiency,3.7160064634347227
13_PNG,Papua New Guinea,2031,Labour efficiency,3.9403678742924004
13_PNG,Papua New Guinea,2032,Labour efficiency,4.178275559403735
13_PNG,Papua New Guinea,2033,Labour efficiency,4.430547402492374
13_PNG,Papua New Guinea,2034,Labour efficiency,4.698050668667054
13_PNG,Papua New Guinea,2035,Labour efficiency,4.98170498592266
13_PNG,Papua New Guinea,2036,Labour efficiency,5.282485506655457
13_PNG,Papua New Guinea,2037,Labour efficiency,5.601426260061192
13_PNG,Papua New Guinea,2038,Labour efficiency,5.939623706941023
13_PNG,Papua New Guinea,2039,Labour efficiency,6.298240509136046
13_PNG,Papua New Guinea,2040,Labour efficiency,6.678509526549063
13_PNG,Papua New Guinea,2041,Labour efficiency,7.081738055494626
13_PNG,Papua New Guinea,2042,Labour efficiency,7.509312322948047
13_PNG,Papua New Guinea,2043,Labour efficiency,7.962702252143784
13_PNG,Papua New Guinea,2044,Labour efficiency,8.443466515906472
13_PNG,Papua New Guinea,2045,Labour efficiency,8.953257895087052
13_PNG,Papua New Guinea,2046,Labour efficiency,9.493828960525313
13_PNG,Papua New Guinea,2047,Labour efficiency,10.067038098072432
13_PNG,Papua New Guinea,2048,Labour efficiency,10.67485589738644
13_PNG,Papua New Guinea,2049,Labour efficiency,11.319371926464141
13_PNG,Papua New Guinea,2050,Labour efficiency,12.002801915199115
13_PNG,Papua New Guinea,2051,Labour efficiency,12.727495372661561
13_PNG,Papua New Guinea,2052,Labour efficiency,13.495943664286841
13_PNG,Papua New Guinea,2053,Labour efficiency,14.310788576740617
13_PNG,Papua New Guinea,2054,Labour efficiency,15.174831399905061
13_PNG,Papua New Guinea,2055,Labour efficiency,16.091042557208365
13_PNG,Papua New Guinea,2056,Labour efficiency,17.06257181740488
13_PNG,Papua New Guinea,2057,Labour efficiency,18.09275912291215
13_PNG,Papua New Guinea,2058,Labour efficiency,19.185146071930703
13_PNG,Papua New Guinea,2059,Labour efficiency,20.34348809382009
13_PNG,Papua New Guinea,2060,Labour efficiency,21.571767359587845
13_PNG,Papua New Guinea,2061,Labour efficiency,22.874206471875397
13_PNG,Papua New Guinea,2062,Labour efficiency,24.255282981504546
13_PNG,Papua New Guinea,2063,Labour efficiency,25.719744780489837
13_PNG,Papua New Guinea,2064,Labour efficiency,27.272626424435195
13_PNG,Papua New Guinea,2065,Labour efficiency,28.91926644042831
13_PNG,Papua New Guinea,2066,Labour efficiency,30.665325679934142
13_PNG,Papua New Guinea,2067,Labour efficiency,32.51680677978155
13_PNG,Papua New Guinea,2068,Labour efficiency,34.48007479814635
13_PNG,Papua New Guinea,2069,Labour efficiency,36.56187909647363
13_PNG,Papua New Guinea,2070,Labour efficiency,38.769376542565404
13_PNG,Papua New Guinea,2071,Labour efficiency,41.110156114601615
13_PNG,Papua New Guinea,2072,Labour efficiency,43.59226499067877
13_PNG,Papua New Guinea,2073,Labour efficiency,46.2242362135572
13_PNG,Papua New Guinea,2074,Labour efficiency,49.01511802572346
13_PNG,Papua New Guinea,2075,Labour efficiency,51.9745049756165
13_PNG,Papua New Guinea,2076,Labour efficiency,55.11257090195515
13_PNG,Papua New Guinea,2077,Labour efficiency,58.4401039095612
13_PNG,Papua New Guinea,2078,Labour efficiency,61.96854345691851
13_PNG,Papua New Guinea,2079,Labour efficiency,65.71001968296862
13_PNG,Papua New Guinea,2080,Labour efficiency,69.6773951083412
13_PNG,Papua New Guinea,2081,Labour efficiency,73.88430885438073
13_PNG,Papua New Guinea,2082,Labour efficiency,78.34522353198635
13_PNG,Papua New Guinea,2083,Labour efficiency,83.07547496146032
13_PNG,Papua New Guinea,2084,Labour efficiency,88.09132489429301
13_PNG,Papua New Guinea,2085,Labour efficiency,93.41001691813234
13_PNG,Papua New Guinea,2086,Labour efficiency,99.04983573712883
13_PNG,Papua New Guinea,2087,Labour efficiency,105.03017003145152
13_PNG,Papua New Guinea,2088,Labour efficiency,111.37157911207439
13_PNG,Papua New Guinea,2089,Labour efficiency,118.09586359998036
13_PNG,Papua New Guinea,2090,Labour efficiency,125.22614037276534
13_PNG,Papua New Guinea,2091,Labour efficiency,132.78692203629507
13_PNG,Papua New Guinea,2092,Labour efficiency,140.80420119462423
13_PNG,Papua New Guinea,2093,Labour efficiency,149.3055398078823
13_PNG,Papua New Guinea,2094,Labour efficiency,158.3201639453228
13_PNG,Papua New Guinea,2095,Labour efficiency,167.87906425927955
13_PNG,Papua New Guinea,2096,Labour efficiency,178.01510252544128
13_PNG,Papua New Guinea,2097,Labour efficiency,188.76312461571118
13_PNG,Papua New Guinea,2098,Labour efficiency,200.1600802920313
13_PNG,Papua New Guinea,2099,Labour efficiency,212.24515023300157
13_PNG,Papua New Guinea,2100,Labour efficiency,225.0598807299881
13_PNG,Papua New Guinea,1990,Capital stock,24661.2513448114
13_PNG,Papua New Guinea,1991,Capital stock,27015.635784805
13_PNG,Papua New Guinea,1992,Capital stock,30757.054220591
13_PNG,Papua New Guinea,1993,Capital stock,36355.5411804592
13_PNG,Papua New Guinea,1994,Capital stock,38515.827086638
13_PNG,Papua New Guinea,1995,Capital stock,37240.0100428558
13_PNG,Papua New Guinea,1996,Capital stock,40120.0391347016
13_PNG,Papua New Guinea,1997,Capital stock,38553.5964765852
13_PNG,Papua New Guinea,1998,Capital stock,37100.4677758356
13_PNG,Papua New Guinea,1999,Capital stock,37788.8869874756
13_PNG,Papua New Guinea,2000,Capital stock,36846.1139663758
13_PNG,Papua New Guinea,2001,Capital stock,36801.4238285412
13_PNG,Papua New Guinea,2002,Capital stock,36742.9461698956
13_PNG,Papua New Guinea,2003,Capital stock,37538.101187348
13_PNG,Papua New Guinea,2004,Capital stock,38559.5788904836
13_PNG,Papua New Guinea,2005,Capital stock,41006.10547989
13_PNG,Papua New Guinea,2006,Capital stock,43224.5128602786
13_PNG,Papua New Guinea,2007,Capital stock,46602.5903334602
13_PNG,Papua New Guinea,2008,Capital stock,46464.4332980332
13_PNG,Papua New Guinea,2009,Capital stock,49624.2106020894
13_PNG,Papua New Guinea,2010,Capital stock,54650.3759815262
13_PNG,Papua New Guinea,2011,Capital stock,55255.65273740181
13_PNG,Papua New Guinea,2012,Capital stock,57828.9745694096
13_PNG,Papua New Guinea,2013,Capital stock,60040.901808726
13_PNG,Papua New Guinea,2014,Capital stock,68172.7038288728
13_PNG,Papua New Guinea,2015,Capital stock,72657.34720178861
13_PNG,Papua New Guinea,2016,Capital stock,76645.92542730161
13_PNG,Papua New Guinea,2017,Capital stock,79355.06059863139
13_PNG,Papua New Guinea,2018,Capital stock,79133.4597786784
13_PNG,Papua New Guinea,2019,Capital stock,82679.0459733528
13_PNG,Papua New Guinea,2020,Capital stock,80060.2433772316
13_PNG,Papua New Guinea,2021,Capital stock,79651.445681325
13_PNG,Papua New Guinea,2022,Capital stock,84197.1693378396
13_PNG,Papua New Guinea,2023,Capital stock,87405.4713926728
13_PNG,Papua New Guinea,2024,Capital stock,90803.7552554588
13_PNG,Papua New Guinea,2025,Capital stock,95923.1988088378
