economy_code,economy,year,variable,value
14_PE,Peru,1990,Population,21771.879
14_PE,Peru,1991,Population,22257.664
14_PE,Peru,1992,Population,22709.886
14_PE,Peru,1993,Population,23182.795
14_PE,Peru,1994,Population,23644.771
14_PE,Peru,1995,Population,24118.215
14_PE,Peru,1996,Population,24579.623
14_PE,Peru,1997,Population,25042.719
14_PE,Peru,1998,Population,25505.576
14_PE,Peru,1999,Population,25970.615
14_PE,Peru,2000,Population,26402.394
14_PE,Peru,2001,Population,26794.268
14_PE,Peru,2002,Population,27134.933
14_PE,Peru,2003,Population,27441.502
14_PE,Peru,2004,Population,27719.479
14_PE,Peru,2005,Population,27984.901
14_PE,Peru,2006,Population,28217.46
14_PE,Peru,2007,Population,28431.522
14_PE,Peru,2008,Population,28629.876
14_PE,Peru,2009,Population,28808.206
14_PE,Peru,2010,Population,28985.416
14_PE,Peru,2011,Population,29186.623
14_PE,Peru,2012,Population,29421.548
14_PE,Peru,2013,Population,29679.184
14_PE,Peru,2014,Population,29956.654
14_PE,Peru,2015,Population,30274.998
14_PE,Peru,2016,Population,30640.202
14_PE,Peru,2017,Population,31092.785
14_PE,Peru,2018,Population,31556.488
14_PE,Peru,2019,Population,32238.679
14_PE,Peru,2020,Population,32659.927
14_PE,Peru,2021,Population,33017.232
14_PE,Peru,2022,Population,33294.532
14_PE,Peru,2023,Population,33656.344
14_PE,Peru,2024,Population,34034.89
14_PE,Peru,2025,Population,34400.805
14_PE,Peru,2026,Population,34752.525
14_PE,Peru,2027,Population,35091.771
14_PE,Peru,2028,Population,35419.598
14_PE,Peru,2029,Population,35736.978
14_PE,Peru,2030,Population,36044.439
14_PE,Peru,2031,Population,36343.321
14_PE,Peru,2032,Population,36633.561
14_PE,Peru,2033,Population,36916.329
14_PE,Peru,2034,Population,37192.423
14_PE,Peru,2035,Population,37461.189
14_PE,Peru,2036,Population,37721.662
14_PE,Peru,2037,Population,37974.653
14_PE,Peru,2038,Population,38219.142
14_PE,Peru,2039,Population,38455.522
14_PE,Peru,2040,Population,38684.26
14_PE,Peru,2041,Population,38905.037
14_PE,Peru,2042,Population,39118.049
14_PE,Peru,2043,Population,39322.71
14_PE,Peru,2044,Population,39518.591
14_PE,Peru,2045,Population,39707.109
14_PE,Peru,2046,Population,39886.338
14_PE,Peru,2047,Population,40057.1
14_PE,Peru,2048,Population,40218.657
14_PE,Peru,2049,Population,40371.054
14_PE,Peru,2050,Population,40515.509
14_PE,Peru,2051,Population,40652.243
14_PE,Peru,2052,Population,40780.479
14_PE,Peru,2053,Population,40900.612
14_PE,Peru,2054,Population,41013.402
14_PE,Peru,2055,Population,41117.418
14_PE,Peru,2056,Population,41213.229
14_PE,Peru,2057,Population,41300.002
14_PE,Peru,2058,Population,41378.649
14_PE,Peru,2059,Population,41448.035
14_PE,Peru,2060,Population,41509.028
14_PE,Peru,2061,Population,41561.944
14_PE,Peru,2062,Population,41606.437
14_PE,Peru,2063,Population,41642.159
14_PE,Peru,2064,Population,41669.672
14_PE,Peru,2065,Population,41688.239
14_PE,Peru,2066,Population,41698.944
14_PE,Peru,2067,Population,41701.547
14_PE,Peru,2068,Population,41696.094
14_PE,Peru,2069,Population,41682.298
14_PE,Peru,2070,Population,41660.05
14_PE,Peru,2071,Population,41629.72
14_PE,Peru,2072,Population,41592.091
14_PE,Peru,2073,Population,41546.886
14_PE,Peru,2074,Population,41494.369
14_PE,Peru,2075,Population,41433.994
14_PE,Peru,2076,Population,41366.694
14_PE,Peru,2077,Population,41292.421
14_PE,Peru,2078,Population,41211.761
14_PE,Peru,2079,Population,41124.613
14_PE,Peru,2080,Population,41031.451
14_PE,Peru,2081,Population,40931.498
14_PE,Peru,2082,Population,40826.095
14_PE,Peru,2083,Population,40714.964
14_PE,Peru,2084,Population,40599.459
14_PE,Peru,2085,Population,40478.34
14_PE,Peru,2086,Population,40352.501
14_PE,Peru,2087,Population,40222.425
14_PE,Peru,2088,Population,40087.808
14_PE,Peru,2089,Population,39949.476
14_PE,Peru,2090,Population,39808.664
14_PE,Peru,2091,Population,39664.269
14_PE,Peru,2092,Population,39516.882
14_PE,Peru,2093,Population,39366.675
14_PE,Peru,2094,Population,39212.688
14_PE,Peru,2095,Population,39057.827
14_PE,Peru,2096,Population,38899.74
14_PE,Peru,2097,Population,38739.47
14_PE,Peru,2098,Population,38577.056
14_PE,Peru,2099,Population,38413.115
14_PE,Peru,2100,Population,38246.909
14_PE,Peru,1990,Labour efficiency,2.6777021172958455
14_PE,Peru,1991,Labour efficiency,2.691515193133131
14_PE,Peru,1992,Labour efficiency,2.582433223316061
14_PE,Peru,1993,Labour efficiency,2.7057426354395053
14_PE,Peru,1994,Labour efficiency,3.113887002156797
14_PE,Peru,1995,Labour efficiency,3.3033317581455983
14_PE,Peru,1996,Labour efficiency,3.2773249205439665
14_PE,Peru,1997,Labour efficiency,3.4288954345449296
14_PE,Peru,1998,Labour efficiency,3.2261364386454874
14_PE,Peru,1999,Labour efficiency,3.1628722440349613
14_PE,Peru,2000,Labour efficiency,3.1812682154985774
14_PE,Peru,2001,Labour efficiency,3.1134938257698934
14_PE,Peru,2002,Labour efficiency,3.302541870278566
14_PE,Peru,2003,Labour efficiency,3.429728712501769
14_PE,Peru,2004,Labour efficiency,3.602415623995589
14_PE,Peru,2005,Labour efficiency,3.8514956695161544
14_PE,Peru,2006,Labour efficiency,4.174898634856363
14_PE,Peru,2007,Labour efficiency,4.558714285684687
14_PE,Peru,2008,Labour efficiency,4.972575225688098
14_PE,Peru,2009,Labour efficiency,4.822862829361861
14_PE,Peru,2010,Labour efficiency,5.204048660032033
14_PE,Peru,2011,Labour efficiency,5.438573312942715
14_PE,Peru,2012,Labour efficiency,5.64058965786023
14_PE,Peru,2013,Labour efficiency,5.836622607365186
14_PE,Peru,2014,Labour efficiency,5.751637853066825
14_PE,Peru,2015,Labour efficiency,5.793418348683389
14_PE,Peru,2016,Labour efficiency,5.92676982641852
14_PE,Peru,2017,Labour efficiency,5.917890113994369
14_PE,Peru,2018,Labour efficiency,6.04406647072818
14_PE,Peru,2019,Labour efficiency,5.966423166004272
14_PE,Peru,2020,Labour efficiency,4.768830368350577
14_PE,Peru,2021,Labour efficiency,5.637187178300228
14_PE,Peru,2022,Labour efficiency,5.6828382013273
14_PE,Peru,2023,Labour efficiency,5.449035158007603
14_PE,Peru,2024,Labour efficiency,5.57784750294575
14_PE,Peru,2025,Labour efficiency,5.707833224578995
14_PE,Peru,2026,Labour efficiency,5.695211959960285
14_PE,Peru,2027,Labour efficiency,5.691271245514018
14_PE,Peru,2028,Labour efficiency,5.846550744662064
14_PE,Peru,2029,Labour efficiency,5.880277230307999
14_PE,Peru,2030,Labour efficiency,5.912241332091318
14_PE,Peru,2031,Labour efficiency,5.98371904027898
14_PE,Peru,2032,Labour efficiency,6.046188022005264
14_PE,Peru,2033,Labour efficiency,6.098197919640973
14_PE,Peru,2034,Labour efficiency,6.160075459757424
14_PE,Peru,2035,Labour efficiency,6.23211911558207
14_PE,Peru,2036,Labour efficiency,6.291126817676922
14_PE,Peru,2037,Labour efficiency,6.354018271216643
14_PE,Peru,2038,Labour efficiency,6.421678569685117
14_PE,Peru,2039,Labour efficiency,6.4887370697360796
14_PE,Peru,2040,Labour efficiency,6.556498326294186
14_PE,Peru,2041,Labour efficiency,6.626691384890205
14_PE,Peru,2042,Labour efficiency,6.698165128706611
14_PE,Peru,2043,Labour efficiency,6.7695394678565135
14_PE,Peru,2044,Labour efficiency,6.842822746572103
14_PE,Peru,2045,Labour efficiency,6.917709339069887
14_PE,Peru,2046,Labour efficiency,6.993707393227344
14_PE,Peru,2047,Labour efficiency,7.071083369956539
14_PE,Peru,2048,Labour efficiency,7.149942464354889
14_PE,Peru,2049,Labour efficiency,7.230137044617719
14_PE,Peru,2050,Labour efficiency,7.311675625487412
14_PE,Peru,2051,Labour efficiency,7.394783244723876
14_PE,Peru,2052,Labour efficiency,7.479406991250448
14_PE,Peru,2053,Labour efficiency,7.56553327626003
14_PE,Peru,2054,Labour efficiency,7.653223170598413
14_PE,Peru,2055,Labour efficiency,7.742505688636858
14_PE,Peru,2056,Labour efficiency,7.833397929109154
14_PE,Peru,2057,Labour efficiency,7.925942754646832
14_PE,Peru,2058,Labour efficiency,8.020188426523596
14_PE,Peru,2059,Labour efficiency,8.116155531781493
14_PE,Peru,2060,Labour efficiency,8.213876163748212
14_PE,Peru,2061,Labour efficiency,8.313389581449684
14_PE,Peru,2062,Labour efficiency,8.414731628111603
14_PE,Peru,2063,Labour efficiency,8.517939221050783
14_PE,Peru,2064,Labour efficiency,8.622412666272728
14_PE,Peru,2065,Labour efficiency,8.72816748959251
14_PE,Peru,2066,Labour efficiency,8.835219407250994
14_PE,Peru,2067,Labour efficiency,8.943584328250447
14_PE,Peru,2068,Labour efficiency,9.053278356718762
14_PE,Peru,2069,Labour efficiency,9.164317794302704
14_PE,Peru,2070,Labour efficiency,9.276719142590498
14_PE,Peru,2071,Labour efficiency,9.39049910556413
14_PE,Peru,2072,Labour efficiency,9.505674592081732
14_PE,Peru,2073,Labour efficiency,9.622262718390408
14_PE,Peru,2074,Labour efficiency,9.740280810669883
14_PE,Peru,2075,Labour efficiency,9.85974640760735
14_PE,Peru,2076,Labour efficiency,9.980677263003894
14_PE,Peru,2077,Labour efficiency,10.10309134841289
14_PE,Peru,2078,Labour efficiency,10.22700685581076
14_PE,Peru,2079,Labour efficiency,10.35244220030048
14_PE,Peru,2080,Labour efficiency,10.479416022848257
14_PE,Peru,2081,Labour efficiency,10.60794719305376
14_PE,Peru,2082,Labour efficiency,10.738054811954342
14_PE,Peru,2083,Labour efficiency,10.869758214863639
14_PE,Peru,2084,Labour efficiency,11.003076974245003
14_PE,Peru,2085,Labour efficiency,11.13803090262016
14_PE,Peru,2086,Labour efficiency,11.274640055513562
14_PE,Peru,2087,Labour efficiency,11.41292473443283
14_PE,Peru,2088,Labour efficiency,11.552905489885774
14_PE,Peru,2089,Labour efficiency,11.694603124434403
14_PE,Peru,2090,Labour efficiency,11.838038695786398
14_PE,Peru,2091,Labour efficiency,11.9832335199245
14_PE,Peru,2092,Labour efficiency,12.130209174274283
14_PE,Peru,2093,Labour efficiency,12.278987500910775
14_PE,Peru,2094,Labour efficiency,12.42959060980442
14_PE,Peru,2095,Labour efficiency,12.582040882106835
14_PE,Peru,2096,Labour efficiency,12.736360973476883
14_PE,Peru,2097,Labour efficiency,12.89257381744753
14_PE,Peru,2098,Labour efficiency,13.050702628834005
