economy_code,economy,year,variable,value
15_PHL,Philippines,1990,Population,62011.501
15_PHL,Philippines,1991,Population,63697.832
15_PHL,Philippines,1992,Population,65066.665
15_PHL,Philippines,1993,Population,66785.586
15_PHL,Philippines,1994,Population,68275.657
15_PHL,Philippines,1995,Population,69762.925
15_PHL,Philippines,1996,Population,71329.566
15_PHL,Philippines,1997,Population,73050.919
15_PHL,Philippines,1998,Population,74766.701
15_PHL,Philippines,1999,Population,76815.347
15_PHL,Philippines,2000,Population,78691.166
15_PHL,Philippines,2001,Population,80559.628
15_PHL,Philippines,2002,Population,82243.348
15_PHL,Philippines,2003,Population,83894.429
15_PHL,Philippines,2004,Population,85569.241
15_PHL,Philippines,2005,Population,87219.768
15_PHL,Philippines,2006,Population,88812.155
15_PHL,Philippines,2007,Population,90205.817
15_PHL,Philippines,2008,Population,91944.551
15_PHL,Philippines,2009,Population,93453.638
15_PHL,Philippines,2010,Population,95314.862
15_PHL,Philippines,2011,Population,97359.388
15_PHL,Philippines,2012,Population,99137.841
15_PHL,Philippines,2013,Population,101213.184
15_PHL,Philippines,2014,Population,102939.488
15_PHL,Philippines,2015,Population,104594.772
15_PHL,Philippines,2016,Population,106031.211
15_PHL,Philippines,2017,Population,107440.227
15_PHL,Philippines,2018,Population,108799.16
15_PHL,Philippines,2019,Population,110131.413
15_PHL,Philippines,2020,Population,111477.954
15_PHL,Philippines,2021,Population,112684.574
15_PHL,Philippines,2022,Population,113517.326
15_PHL,Philippines,2023,Population,114411.351
15_PHL,Philippines,2024,Population,115371.047
15_PHL,Philippines,2025,Population,116316.292
15_PHL,Philippines,2026,Population,117257.633
15_PHL,Philippines,2027,Population,118191.31
15_PHL,Philippines,2028,Population,119121.517
15_PHL,Philippines,2029,Population,120046.446
15_PHL,Philippines,2030,Population,120957.813
15_PHL,Philippines,2031,Population,121859.977
15_PHL,Philippines,2032,Population,122743.217
15_PHL,Philippines,2033,Population,123617.444
15_PHL,Philippines,2034,Population,124480.613
15_PHL,Philippines,2035,Population,125327.615
15_PHL,Philippines,2036,Population,126154.328
15_PHL,Philippines,2037,Population,126962.124
15_PHL,Philippines,2038,Population,127743.069
15_PHL,Philippines,2039,Population,128493.985
15_PHL,Philippines,2040,Population,129206.096
15_PHL,Philippines,2041,Population,129887.223
15_PHL,Philippines,2042,Population,130532.38
15_PHL,Philippines,2043,Population,131141.613
15_PHL,Philippines,2044,Population,131713.173
15_PHL,Philippines,2045,Population,132246.154
15_PHL,Philippines,2046,Population,132737.909
15_PHL,Philippines,2047,Population,133186.092
15_PHL,Philippines,2048,Population,133584.481
15_PHL,Philippines,2049,Population,133934.38
15_PHL,Philippines,2050,Population,134243.619
15_PHL,Philippines,2051,Population,134503.259
15_PHL,Philippines,2052,Population,134721.963
15_PHL,Philippines,2053,Population,134888.149
15_PHL,Philippines,2054,Population,135017.688
15_PHL,Philippines,2055,Population,135111.758
15_PHL,Philippines,2056,Population,135166.503
15_PHL,Philippines,2057,Population,135182.289
15_PHL,Philippines,2058,Population,135176.407
15_PHL,Philippines,2059,Population,135144.45
15_PHL,Philippines,2060,Population,135077.733
15_PHL,Philippines,2061,Population,134986.784
15_PHL,Philippines,2062,Population,134872.545
15_PHL,Philippines,2063,Population,134733.661
15_PHL,Philippines,2064,Population,134577.13
15_PHL,Philippines,2065,Population,134399.228
15_PHL,Philippines,2066,Population,134195.107
15_PHL,Philippines,2067,Population,133979.749
15_PHL,Philippines,2068,Population,133735.808
15_PHL,Philippines,2069,Population,133473.865
15_PHL,Philippines,2070,Population,133187.801
15_PHL,Philippines,2071,Population,132875.585
15_PHL,Philippines,2072,Population,132541.872
15_PHL,Philippines,2073,Population,132177.702
15_PHL,Philippines,2074,Population,131788.59
15_PHL,Philippines,2075,Population,131368.202
15_PHL,Philippines,2076,Population,130925.904
15_PHL,Philippines,2077,Population,130453.889
15_PHL,Philippines,2078,Population,129944.348
15_PHL,Philippines,2079,Population,129414.119
15_PHL,Philippines,2080,Population,128863.335
15_PHL,Philippines,2081,Population,128280.8
15_PHL,Philippines,2082,Population,127679.541
15_PHL,Philippines,2083,Population,127052.531
15_PHL,Philippines,2084,Population,126407.399
15_PHL,Philippines,2085,Population,125737.983
15_PHL,Philippines,2086,Population,125046.218
15_PHL,Philippines,2087,Population,124340.012
15_PHL,Philippines,2088,Population,123622.113
