economy_code,economy,year,variable,value
16_RUS,Russia,1990,Population,148642.381
16_RUS,Russia,1991,Population,149316.7
16_RUS,Russia,1992,Population,149580.166
16_RUS,Russia,1993,Population,148251.816
16_RUS,Russia,1994,Population,148019.032
16_RUS,Russia,1995,Population,148382.441
16_RUS,Russia,1996,Population,148200.365
16_RUS,Russia,1997,Population,147968.8
16_RUS,Russia,1998,Population,147738.741
16_RUS,Russia,1999,Population,147532.321
16_RUS,Russia,2000,Population,146951.628
16_RUS,Russia,2001,Population,146483.937
16_RUS,Russia,2002,Population,145750.631
16_RUS,Russia,2003,Population,146128.369
16_RUS,Russia,2004,Population,145460.09
16_RUS,Russia,2005,Population,144900.103
16_RUS,Russia,2006,Population,144295.666
16_RUS,Russia,2007,Population,143910.23
16_RUS,Russia,2008,Population,143809.297
16_RUS,Russia,2009,Population,143814.384
16_RUS,Russia,2010,Population,143923.88
16_RUS,Russia,2011,Population,143945.051
16_RUS,Russia,2012,Population,144142.446
16_RUS,Russia,2013,Population,144439.612
16_RUS,Russia,2014,Population,144768.583
16_RUS,Russia,2015,Population,145082.693
16_RUS,Russia,2016,Population,145532.538
16_RUS,Russia,2017,Population,146024.816
16_RUS,Russia,2018,Population,146348.782
16_RUS,Russia,2019,Population,146511.509
16_RUS,Russia,2020,Population,146554.625
16_RUS,Russia,2021,Population,146187.972
16_RUS,Russia,2022,Population,145484.378
16_RUS,Russia,2023,Population,145675.42
16_RUS,Russia,2024,Population,145205.581
16_RUS,Russia,2025,Population,144435.265
16_RUS,Russia,2026,Population,143559.521
16_RUS,Russia,2027,Population,143229.395
16_RUS,Russia,2028,Population,142858.854
16_RUS,Russia,2029,Population,142480.73
16_RUS,Russia,2030,Population,142089.382
16_RUS,Russia,2031,Population,141689.437
16_RUS,Russia,2032,Population,141261.464
16_RUS,Russia,2033,Population,140859.287
16_RUS,Russia,2034,Population,140469.898
16_RUS,Russia,2035,Population,140091.664
16_RUS,Russia,2036,Population,139727.619
16_RUS,Russia,2037,Population,139375.42
16_RUS,Russia,2038,Population,139034.326
16_RUS,Russia,2039,Population,138719.274
16_RUS,Russia,2040,Population,138415.363
16_RUS,Russia,2041,Population,138148.299
16_RUS,Russia,2042,Population,137895.225
16_RUS,Russia,2043,Population,137670.254
16_RUS,Russia,2044,Population,137445.556
16_RUS,Russia,2045,Population,137244.454
16_RUS,Russia,2046,Population,137059.959
16_RUS,Russia,2047,Population,136887.457
16_RUS,Russia,2048,Population,136691.348
16_RUS,Russia,2049,Population,136480.604
16_RUS,Russia,2050,Population,136256.184
16_RUS,Russia,2051,Population,136009.366
16_RUS,Russia,2052,Population,135743.012
16_RUS,Russia,2053,Population,135473.935
16_RUS,Russia,2054,Population,135151.042
16_RUS,Russia,2055,Population,134823.641
16_RUS,Russia,2056,Population,134473.677
16_RUS,Russia,2057,Population,134129.15
16_RUS,Russia,2058,Population,133787.487
16_RUS,Russia,2059,Population,133420.512
16_RUS,Russia,2060,Population,133058.697
16_RUS,Russia,2061,Population,132728.241
16_RUS,Russia,2062,Population,132375.686
16_RUS,Russia,2063,Population,132042.291
16_RUS,Russia,2064,Population,131693.254
16_RUS,Russia,2065,Population,131354.269
16_RUS,Russia,2066,Population,131020.402
16_RUS,Russia,2067,Population,130708.309
16_RUS,Russia,2068,Population,130421.764
16_RUS,Russia,2069,Population,130140.496
16_RUS,Russia,2070,Population,129848.908
16_RUS,Russia,2071,Population,129572.75
16_RUS,Russia,2072,Population,129291.142
16_RUS,Russia,2073,Population,129062.736
16_RUS,Russia,2074,Population,128845.523
16_RUS,Russia,2075,Population,128646.391
16_RUS,Russia,2076,Population,128461.727
16_RUS,Russia,2077,Population,128308.149
16_RUS,Russia,2078,Population,128149.963
16_RUS,Russia,2079,Population,128008.43
16_RUS,Russia,2080,Population,127886.854
16_RUS,Russia,2081,Population,127788.984
16_RUS,Russia,2082,Population,127704.616
16_RUS,Russia,2083,Population,127620.32
16_RUS,Russia,2084,Population,127544.819
16_RUS,Russia,2085,Population,127469.45
16_RUS,Russia,2086,Population,127392.688
16_RUS,Russia,2087,Population,127323.978
16_RUS,Russia,2088,Population,127275.427
16_RUS,Russia,2089,Population,127224.746
16_RUS,Russia,2090,Population,127172.007
16_RUS,Russia,2091,Population,127116.212
16_RUS,Russia,2092,Population,127067.167
16_RUS,Russia,2093,Population,126991.668
16_RUS,Russia,2094,Population,126935.766
16_RUS,Russia,2095,Population,126882.789
16_RUS,Russia,2096,Population,126814.17
16_RUS,Russia,2097,Population,126723.362
16_RUS,Russia,2098,Population,126644.367
16_RUS,Russia,2099,Population,126543.015
16_RUS,Russia,2100,Population,126439.051
16_RUS,Russia,1990,Labour efficiency,6.93634024195128
16_RUS,Russia,1991,Labour efficiency,6.170686348147189
16_RUS,Russia,1992,Labour efficiency,4.727995955998494
16_RUS,Russia,1993,Labour efficiency,4.120137314838132
16_RUS,Russia,1994,Labour efficiency,3.3272954736839995
16_RUS,Russia,1995,Labour efficiency,3.123448114440166
16_RUS,Russia,1996,Labour efficiency,2.9709580746260036
16_RUS,Russia,1997,Labour efficiency,3.0792840544599365
16_RUS,Russia,1998,Labour efficiency,2.849958369622767
16_RUS,Russia,1999,Labour efficiency,3.199378267661619
16_RUS,Russia,2000,Labour efficiency,3.7973959011830454
16_RUS,Russia,2001,Labour efficiency,4.164135249993898
16_RUS,Russia,2002,Labour efficiency,4.544012800646346
16_RUS,Russia,2003,Labour efficiency,5.111614311666723
16_RUS,Russia,2004,Labour efficiency,5.768315883912832
16_RUS,Russia,2005,Labour efficiency,6.412568258486525
16_RUS,Russia,2006,Labour efficiency,7.30939251849383
16_RUS,Russia,2007,Labour efficiency,8.329352756393801
16_RUS,Russia,2008,Labour efficiency,8.982781457917831
16_RUS,Russia,2009,Labour efficiency,7.806651971301712
16_RUS,Russia,2010,Labour efficiency,8.345855429359721
16_RUS,Russia,2011,Labour efficiency,8.869277390895366
16_RUS,Russia,2012,Labour efficiency,9.384533489938546
16_RUS,Russia,2013,Labour efficiency,9.567197400298152
16_RUS,Russia,2014,Labour efficiency,9.6031424233235
16_RUS,Russia,2015,Labour efficiency,9.241929948648473
16_RUS,Russia,2016,Labour efficiency,9.212102641440035
16_RUS,Russia,2017,Labour efficiency,9.419416998942099
16_RUS,Russia,2018,Labour efficiency,9.797893560888403
16_RUS,Russia,2019,Labour efficiency,10.102132271866793
16_RUS,Russia,2020,Labour efficiency,9.626742226190318
16_RUS,Russia,2021,Labour efficiency,10.573837270091898
16_RUS,Russia,2022,Labour efficiency,10.325985839683895
16_RUS,Russia,2023,Labour efficiency,10.89271534520154
16_RUS,Russia,2024,Labour efficiency,11.465799921154288
16_RUS,Russia,2025,Labour efficiency,11.642355551135278
16_RUS,Russia,2026,Labour efficiency,11.899984938876232
16_RUS,Russia,2027,Labour efficiency,12.193488938142888
16_RUS,Russia,2028,Labour efficiency,12.496865377656727
16_RUS,Russia,2029,Labour efficiency,12.788669347045785
16_RUS,Russia,2030,Labour efficiency,13.077438093082371
16_RUS,Russia,2031,Labour efficiency,13.463796480264145
16_RUS,Russia,2032,Labour efficiency,13.768887601050286
16_RUS,Russia,2033,Labour efficiency,14.144366934103855
16_RUS,Russia,2034,Labour efficiency,14.491027824013393
16_RUS,Russia,2035,Labour efficiency,14.805460852893805
16_RUS,Russia,2036,Labour efficiency,15.136044043788942
16_RUS,Russia,2037,Labour efficiency,15.474311116867245
16_RUS,Russia,2038,Labour efficiency,15.816554414024937
16_RUS,Russia,2039,Labour efficiency,16.1619964225287
16_RUS,Russia,2040,Labour efficiency,16.512543192584822
16_RUS,Russia,2041,Labour efficiency,16.869222770647383
16_RUS,Russia,2042,Labour efficiency,17.220206973197957
16_RUS,Russia,2043,Labour efficiency,17.57530132333147
16_RUS,Russia,2044,Labour efficiency,17.926031596475777
16_RUS,Russia,2045,Labour efficiency,18.27559945400732
16_RUS,Russia,2046,Labour efficiency,18.62796730594129
16_RUS,Russia,2047,Labour efficiency,18.98145187500574
16_RUS,Russia,2048,Labour efficiency,19.33524280544409
16_RUS,Russia,2049,Labour efficiency,19.68890297839878
16_RUS,Russia,2050,Labour efficiency,20.042043214297735
16_RUS,Russia,2051,Labour efficiency,20.393994458736348
16_RUS,Russia,2052,Labour efficiency,20.743887272555465
16_RUS,Russia,2053,Labour efficiency,21.09221253906611
16_RUS,Russia,2054,Labour efficiency,21.438310387288293
