economy_code,economy,year,variable,value
21_VN,Viet Nam,1990,Population,64808.586
21_VN,Viet Nam,1991,Population,66200.519
21_VN,Viet Nam,1992,Population,67583.031
21_VN,Viet Nam,1993,Population,68937.644
21_VN,Viet Nam,1994,Population,70235.124
21_VN,Viet Nam,1995,Population,71473.658
21_VN,Viet Nam,1996,Population,72626.222
21_VN,Viet Nam,1997,Population,73686.671
21_VN,Viet Nam,1998,Population,74767.106
21_VN,Viet Nam,1999,Population,75832.215
21_VN,Viet Nam,2000,Population,76742.689
21_VN,Viet Nam,2001,Population,77565.332
21_VN,Viet Nam,2002,Population,78373.39
21_VN,Viet Nam,2003,Population,79171.058
21_VN,Viet Nam,2004,Population,79956.496
21_VN,Viet Nam,2005,Population,80721.447
21_VN,Viet Nam,2006,Population,81455.179
21_VN,Viet Nam,2007,Population,82880.614
21_VN,Viet Nam,2008,Population,84386.137
21_VN,Viet Nam,2009,Population,85965.438
21_VN,Viet Nam,2010,Population,86954.597
21_VN,Viet Nam,2011,Population,87955.706
21_VN,Viet Nam,2012,Population,88980.922
21_VN,Viet Nam,2013,Population,90039.789
21_VN,Viet Nam,2014,Population,91106.419
21_VN,Viet Nam,2015,Population,92252.737
21_VN,Viet Nam,2016,Population,93393.771
21_VN,Viet Nam,2017,Population,94606.462
21_VN,Viet Nam,2018,Population,95747.492
21_VN,Viet Nam,2019,Population,96727.147
21_VN,Viet Nam,2020,Population,97620.404
21_VN,Viet Nam,2021,Population,98537.978
21_VN,Viet Nam,2022,Population,99332.219
21_VN,Viet Nam,2023,Population,100029.091
21_VN,Viet Nam,2024,Population,100675.292
21_VN,Viet Nam,2025,Population,101300.081
21_VN,Viet Nam,2026,Population,101896.973
21_VN,Viet Nam,2027,Population,102457.889
21_VN,Viet Nam,2028,Population,102996.902
21_VN,Viet Nam,2029,Population,103514.586
21_VN,Viet Nam,2030,Population,104007.727
21_VN,Viet Nam,2031,Population,104502.078
21_VN,Viet Nam,2032,Population,104973.744
21_VN,Viet Nam,2033,Population,105435.056
21_VN,Viet Nam,2034,Population,105877.564
21_VN,Viet Nam,2035,Population,106317.477
21_VN,Viet Nam,2036,Population,106743.875
21_VN,Viet Nam,2037,Population,107147.808
21_VN,Viet Nam,2038,Population,107544.275
21_VN,Viet Nam,2039,Population,107919.767
21_VN,Viet Nam,2040,Population,108275.546
21_VN,Viet Nam,2041,Population,108599.723
21_VN,Viet Nam,2042,Population,108904.675
21_VN,Viet Nam,2043,Population,109175.946
21_VN,Viet Nam,2044,Population,109409.176
21_VN,Viet Nam,2045,Population,109603.352
21_VN,Viet Nam,2046,Population,109767.445
21_VN,Viet Nam,2047,Population,109887.872
21_VN,Viet Nam,2048,Population,109972.606
21_VN,Viet Nam,2049,Population,110015.443
21_VN,Viet Nam,2050,Population,110020.595
21_VN,Viet Nam,2051,Population,109997.22
21_VN,Viet Nam,2052,Population,109929.158
21_VN,Viet Nam,2053,Population,109833.058
21_VN,Viet Nam,2054,Population,109712.51
21_VN,Viet Nam,2055,Population,109563.855
21_VN,Viet Nam,2056,Population,109392.908
21_VN,Viet Nam,2057,Population,109208.055
21_VN,Viet Nam,2058,Population,108999.173
21_VN,Viet Nam,2059,Population,108766.889
21_VN,Viet Nam,2060,Population,108522.322
21_VN,Viet Nam,2061,Population,108271.632
21_VN,Viet Nam,2062,Population,108004.514
21_VN,Viet Nam,2063,Population,107721.098
21_VN,Viet Nam,2064,Population,107427.762
21_VN,Viet Nam,2065,Population,107127.062
21_VN,Viet Nam,2066,Population,106812.28
21_VN,Viet Nam,2067,Population,106480.916
21_VN,Viet Nam,2068,Population,106141.669
21_VN,Viet Nam,2069,Population,105798.496
21_VN,Viet Nam,2070,Population,105446.483
21_VN,Viet Nam,2071,Population,105075.209
21_VN,Viet Nam,2072,Population,104697.219
21_VN,Viet Nam,2073,Population,104299.667
21_VN,Viet Nam,2074,Population,103891.733
21_VN,Viet Nam,2075,Population,103478.314
21_VN,Viet Nam,2076,Population,103054.737
21_VN,Viet Nam,2077,Population,102625.901
21_VN,Viet Nam,2078,Population,102179.184
21_VN,Viet Nam,2079,Population,101731.008
21_VN,Viet Nam,2080,Population,101270.169
21_VN,Viet Nam,2081,Population,100807.475
21_VN,Viet Nam,2082,Population,100339.039
21_VN,Viet Nam,2083,Population,99868.449
21_VN,Viet Nam,2084,Population,99402.546
21_VN,Viet Nam,2085,Population,98942.428
21_VN,Viet Nam,2086,Population,98482.862
21_VN,Viet Nam,2087,Population,98019.973
21_VN,Viet Nam,2088,Population,97555.587
21_VN,Viet Nam,2089,Population,97098.367
21_VN,Viet Nam,2090,Population,96638.16
21_VN,Viet Nam,2091,Population,96175.816
21_VN,Viet Nam,2092,Population,95718.019
21_VN,Viet Nam,2093,Population,95262.635
21_VN,Viet Nam,2094,Population,94804.57
21_VN,Viet Nam,2095,Population,94348.099
21_VN,Viet Nam,2096,Population,93887.344
21_VN,Viet Nam,2097,Population,93413.483
21_VN,Viet Nam,2098,Population,92938.93
21_VN,Viet Nam,2099,Population,92449.1
21_VN,Viet Nam,2100,Population,91954.468
21_VN,Viet Nam,1990,Labour efficiency,2.198865383970826
21_VN,Viet Nam,1991,Labour efficiency,2.2864485193769886
21_VN,Viet Nam,1992,Labour efficiency,2.417456439778074
21_VN,Viet Nam,1993,Labour efficiency,2.4855433921098418
21_VN,Viet Nam,1994,Labour efficiency,2.5574158520572894
21_VN,Viet Nam,1995,Labour efficiency,2.6627352610681903
21_VN,Viet Nam,1996,Labour efficiency,2.7710881957078413
21_VN,Viet Nam,1997,Labour efficiency,2.850570145060609
21_VN,Viet Nam,1998,Labour efficiency,2.832832774873485
21_VN,Viet Nam,1999,Labour efficiency,2.8068698009829345
21_VN,Viet Nam,2000,Labour efficiency,2.885372958647633
21_VN,Viet Nam,2001,Labour efficiency,2.9622876894546333
21_VN,Viet Nam,2002,Labour efficiency,3.049212470865904
21_VN,Viet Nam,2003,Labour efficiency,3.1629033770607253
21_VN,Viet Nam,2004,Labour efficiency,3.3129235275670315
21_VN,Viet Nam,2005,Labour efficiency,3.471680006647928
21_VN,Viet Nam,2006,Labour efficiency,3.717325199967523
21_VN,Viet Nam,2007,Labour efficiency,3.8787762272262287
21_VN,Viet Nam,2008,Labour efficiency,3.970275712081259
21_VN,Viet Nam,2009,Labour efficiency,4.042755305504496
21_VN,Viet Nam,2010,Labour efficiency,4.189753218826232
21_VN,Viet Nam,2011,Labour efficiency,4.2902387889680575
21_VN,Viet Nam,2012,Labour efficiency,4.358341215823176
21_VN,Viet Nam,2013,Labour efficiency,4.438347440055447
21_VN,Viet Nam,2014,Labour efficiency,4.577471553893715
21_VN,Viet Nam,2015,Labour efficiency,4.75300655709245
21_VN,Viet Nam,2016,Labour efficiency,4.909304902585506
21_VN,Viet Nam,2017,Labour efficiency,5.081796868713342
21_VN,Viet Nam,2018,Labour efficiency,5.3146226710335505
21_VN,Viet Nam,2019,Labour efficiency,5.5670420987073275
21_VN,Viet Nam,2020,Labour efficiency,5.458557403831117
21_VN,Viet Nam,2021,Labour efficiency,5.347255913224388
21_VN,Viet Nam,2022,Labour efficiency,5.758251231468897
21_VN,Viet Nam,2023,Labour efficiency,5.901721727068023
21_VN,Viet Nam,2024,Labour efficiency,6.276628653887175
21_VN,Viet Nam,2025,Labour efficiency,6.738124160822759
