economy_code,lab_eff_periods,high_eff,low_eff,change_eff,high_sav,low_sav,change_sav,high_delta,low_delta,change_del,alpha,notes
01_AUS,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0002,0.4,
02_BD,5,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4, No longer using savings proxied by IMF Total investment
03_CDA,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0002,0.4,
04_CHL,10,0.02,0.016,0.002,0.25,0.22,0.002,0.046,0.044,0.0002,0.4,
05_PRC,10,0.013,0.01,0.003,0.2,0.18,0.006,0.054,0.052,0.0005,0.4,
06_HKC,10,0.015,0.012,0.002,0.25,0.24,0.01,0.046,0.044,0.0002,0.4,
07_INA,5,0.03,0.012,0.001,0.25,0.22,0.0015,0.046,0.04,0.0005,0.4,
08_JPN,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,
09_ROK,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,
10_MAS,10,0.025,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,
11_MEX,10,0.015,0.012,0.002,0.25,0.24,0.001,0.046,0.044,0.0002,0.4,
12_NZ,10,0.015,0.012,0.002,0.25,0.22,0.0005,0.046,0.044,0.0001,0.4,
13_PNG,1,0.08,0.06,0.0075,0.25,0.22,0.002,0.046,0.044,0.0002,0.4, No longer using savings rate fixed at assumed 25%
14_PE,7,0.015,0.012,0.0003,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,
15_PHL,5,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0001,0.4,
16_RUS,10,0.015,0.012,0.002,0.25,0.22,0.001,0.046,0.044,0.0002,0.4,
17_SGP,10,0.015,0.012,0.0005,0.25,0.22,0.001,0.055,0.05,0.0003,0.4,
18_CT,10,0.015,0.012,0.001,0.25,0.22,0.003,0.046,0.044,0.0002,0.4,
19_THA,10,0.02,0.016,0.001,0.34,0.22,0.002,0.046,0.044,0.0005,0.4,
20_USA,10,0.015,0.012,0.002,0.25,0.22,0.002,0.046,0.044,0.0005,0.4,
21_VN,5,0.015,0.012,0.00175,0.25,0.22,0.003,0.046,0.044,0.0003,0.4,
