economy_code,economy,year,value,scenario
01_AUS,Australia,1990,17004.135,Low
01_AUS,Australia,1991,17248.461,Low
01_AUS,Australia,1992,17457.924,Low
01_AUS,Australia,1993,17640.653,Low
01_AUS,Australia,1994,17805.169,Low
01_AUS,Australia,1995,17989.698,Low
01_AUS,Australia,1996,18200.991,Low
01_AUS,Australia,1997,18409.624,Low
01_AUS,Australia,1998,18600.201,Low
01_AUS,Australia,1999,18803.233,Low
01_AUS,Australia,2000,19016.729,Low
01_AUS,Australia,2001,19248.213,Low
01_AUS,Australia,2002,19482.653,Low
01_AUS,Australia,2003,19708.057,Low
01_AUS,Australia,2004,19930.852,Low
01_AUS,Australia,2005,20162.502,Low
01_AUS,Australia,2006,20426.478,Low
01_AUS,Australia,2007,20754.641,Low
01_AUS,Australia,2008,21154.456,Low
01_AUS,Australia,2009,21586.721,Low
01_AUS,Australia,2010,21979.301,Low
01_AUS,Australia,2011,22303.86,Low
01_AUS,Australia,2012,22655.69,Low
01_AUS,Australia,2013,23049.598,Low
01_AUS,Australia,2014,23422.943,Low
01_AUS,Australia,2015,23768.258,Low
01_AUS,Australia,2016,24127.746,Low
01_AUS,Australia,2017,24532.18,Low
01_AUS,Australia,2018,24929.897,Low
01_AUS,Australia,2019,25309.514,Low
01_AUS,Australia,2020,25655.914,Low
01_AUS,Australia,2021,25831.668,Low
01_AUS,Australia,2022,26081.167,Low
01_AUS,Australia,2023,26320.802,Low
01_AUS,Australia,2024,26581.446,Low
01_AUS,Australia,2025,26798.519,Low
01_AUS,Australia,2026,27010.34,Low
01_AUS,Australia,2027,27212.229,Low
01_AUS,Australia,2028,27412.646,Low
01_AUS,Australia,2029,27609.736,Low
01_AUS,Australia,2030,27769.555,Low
01_AUS,Australia,2031,27928.287,Low
01_AUS,Australia,2032,28083.167,Low
01_AUS,Australia,2033,28231.874,Low
01_AUS,Australia,2034,28377.807,Low
01_AUS,Australia,2035,28503.384,Low
01_AUS,Australia,2036,28629.925,Low
01_AUS,Australia,2037,28754.824,Low
01_AUS,Australia,2038,28870.995,Low
01_AUS,Australia,2039,28990.972,Low
01_AUS,Australia,2040,29103.32,Low
01_AUS,Australia,2041,29218.759,Low
01_AUS,Australia,2042,29336.903,Low
01_AUS,Australia,2043,29456.975,Low
01_AUS,Australia,2044,29572.894,Low
01_AUS,Australia,2045,29687.106,Low
01_AUS,Australia,2046,29803.45,Low
01_AUS,Australia,2047,29924.442,Low
01_AUS,Australia,2048,30031.52,Low
01_AUS,Australia,2049,30149.744,Low
01_AUS,Australia,2050,30254.789,Low
01_AUS,Australia,2051,30358.745,Low
01_AUS,Australia,2052,30459.302,Low
01_AUS,Australia,2053,30552.951,Low
01_AUS,Australia,2054,30644.898,Low
01_AUS,Australia,2055,30737.673,Low
01_AUS,Australia,2056,30828.904,Low
01_AUS,Australia,2057,30911.686,Low
01_AUS,Australia,2058,30992.07,Low
01_AUS,Australia,2059,31076.575,Low
01_AUS,Australia,2060,31146.584,Low
01_AUS,Australia,2061,31213.157,Low
01_AUS,Australia,2062,31280.839,Low
01_AUS,Australia,2063,31346.325,Low
01_AUS,Australia,2064,31411.661,Low
01_AUS,Australia,2065,31463.207,Low
01_AUS,Australia,2066,31518.782,Low
01_AUS,Australia,2067,31580.607,Low
01_AUS,Australia,2068,31641.467,Low
01_AUS,Australia,2069,31701.627,Low
01_AUS,Australia,2070,31758.106,Low
01_AUS,Australia,2071,31807.817,Low
01_AUS,Australia,2072,31848.994,Low
01_AUS,Australia,2073,31889.635,Low
01_AUS,Australia,2074,31931.506,Low
01_AUS,Australia,2075,31975.525,Low
01_AUS,Australia,2076,32016.381,Low
01_AUS,Australia,2077,32054.355,Low
01_AUS,Australia,2078,32096.789,Low
01_AUS,Australia,2079,32136.249,Low
01_AUS,Australia,2080,32173.09,Low
01_AUS,Australia,2081,32207.977,Low
01_AUS,Australia,2082,32251.246,Low
01_AUS,Australia,2083,32285.971,Low
01_AUS,Australia,2084,32326.441,Low
01_AUS,Australia,2085,32353.347,Low
01_AUS,Australia,2086,32380.624,Low
01_AUS,Australia,2087,32413.371,Low
01_AUS,Australia,2088,32451.534,Low
01_AUS,Australia,2089,32500.269,Low
01_AUS,Australia,2090,32539.355,Low
01_AUS,Australia,2091,32584.188,Low
01_AUS,Australia,2092,32628.56,Low
01_AUS,Australia,2093,32666.855,Low
01_AUS,Australia,2094,32700.812,Low
01_AUS,Australia,2095,32720.098,Low
01_AUS,Australia,2096,32744.328,Low
01_AUS,Australia,2097,32775.451,Low
01_AUS,Australia,2098,32810.083,Low
01_AUS,Australia,2099,32829.525,Low
01_AUS,Australia,2100,32841.736,Low
02_BD,Brunei Darussalam,1990,251.663,Low
02_BD,Brunei Darussalam,1991,258.922,Low
02_BD,Brunei Darussalam,1992,266.271,Low
